   列号   行号   纬度   经度
    452    542  35.61  47.99
    452    543  35.60  48.08
    452    544  35.59  48.16
    452    545  35.59  48.25
    452    546  35.58  48.33
    452    547  35.58  48.42
    452    548  35.57  48.50
    452    549  35.57  48.59
    452    550  35.56  48.67
    453    451  36.14  39.41
    453    452  36.13  39.52
    453    453  36.13  39.62
    453    454  36.12  39.73
    453    455  36.11  39.84
    453    456  36.10  39.94
    453    457  36.09  40.05
    453    458  36.09  40.15
    453    459  36.08  40.26
    453    460  36.07  40.36
    453    461  36.06  40.47
    453    462  36.05  40.57
    453    463  36.05  40.67
    453    464  36.04  40.78
    453    465  36.03  40.88
    453    466  36.02  40.98
    453    467  36.02  41.09
    453    468  36.01  41.19
    453    469  36.00  41.29
    453    470  35.99  41.39
    453    471  35.99  41.49
    453    472  35.98  41.59
    453    473  35.97  41.69
    453    474  35.97  41.79
    453    475  35.96  41.89
    453    476  35.95  41.99
    453    477  35.94  42.09
    453    478  35.94  42.19
    453    479  35.93  42.29
    453    480  35.92  42.39
    453    481  35.92  42.49
    453    482  35.91  42.59
    453    483  35.90  42.68
    453    484  35.89  42.78
    453    485  35.89  42.88
    453    486  35.88  42.97
    453    487  35.87  43.07
    453    488  35.87  43.17
    453    489  35.86  43.26
    453    490  35.85  43.36
    453    491  35.85  43.45
    453    492  35.84  43.55
    453    493  35.83  43.64
    453    494  35.83  43.74
    453    495  35.82  43.83
    453    496  35.81  43.93
    453    497  35.81  44.02
    453    498  35.80  44.12
    453    499  35.79  44.21
    453    500  35.79  44.30
    453    501  35.78  44.40
    453    502  35.78  44.49
    453    503  35.77  44.58
    453    504  35.76  44.68
    453    505  35.76  44.77
    453    506  35.75  44.86
    453    507  35.74  44.95
    453    508  35.74  45.04
    453    509  35.73  45.13
    453    510  35.73  45.23
    453    511  35.72  45.32
    453    512  35.71  45.41
    453    513  35.71  45.50
    453    514  35.70  45.59
    453    515  35.69  45.68
    453    516  35.69  45.77
    453    517  35.68  45.86
    453    518  35.68  45.95
    453    519  35.67  46.04
    453    520  35.66  46.13
    453    521  35.66  46.21
    453    522  35.65  46.30
    453    523  35.65  46.39
    453    524  35.64  46.48
    453    525  35.64  46.57
    453    526  35.63  46.66
    453    527  35.62  46.74
    453    528  35.62  46.83
    453    529  35.61  46.92
    453    530  35.61  47.01
    453    531  35.60  47.09
    453    532  35.60  47.18
    453    533  35.59  47.27
    453    534  35.58  47.35
    453    535  35.58  47.44
    453    536  35.57  47.53
    453    537  35.57  47.61
    453    538  35.56  47.70
    453    539  35.56  47.78
    453    540  35.55  47.87
    453    541  35.55  47.95
    453    542  35.54  48.04
    453    543  35.53  48.12
    453    544  35.53  48.21
    453    545  35.52  48.29
    453    546  35.52  48.38
    453    547  35.51  48.46
    453    548  35.51  48.54
    453    549  35.50  48.63
    453    550  35.50  48.71
    454    451  36.07  39.48
    454    452  36.06  39.58
    454    453  36.06  39.69
    454    454  36.05  39.80
    454    455  36.04  39.90
    454    456  36.03  40.01
    454    457  36.02  40.11
    454    458  36.02  40.22
    454    459  36.01  40.32
    454    460  36.00  40.43
    454    461  35.99  40.53
    454    462  35.99  40.63
    454    463  35.98  40.74
    454    464  35.97  40.84
    454    465  35.96  40.94
    454    466  35.96  41.05
    454    467  35.95  41.15
    454    468  35.94  41.25
    454    469  35.93  41.35
    454    470  35.93  41.45
    454    471  35.92  41.55
    454    472  35.91  41.65
    454    473  35.90  41.75
    454    474  35.90  41.85
    454    475  35.89  41.95
    454    476  35.88  42.05
    454    477  35.88  42.15
    454    478  35.87  42.25
    454    479  35.86  42.35
    454    480  35.86  42.45
    454    481  35.85  42.54
    454    482  35.84  42.64
    454    483  35.83  42.74
    454    484  35.83  42.84
    454    485  35.82  42.93
    454    486  35.81  43.03
    454    487  35.81  43.13
    454    488  35.80  43.22
    454    489  35.79  43.32
    454    490  35.79  43.41
    454    491  35.78  43.51
    454    492  35.77  43.60
    454    493  35.77  43.70
    454    494  35.76  43.79
    454    495  35.75  43.89
    454    496  35.75  43.98
    454    497  35.74  44.08
    454    498  35.73  44.17
    454    499  35.73  44.26
    454    500  35.72  44.36
    454    501  35.71  44.45
    454    502  35.71  44.54
    454    503  35.70  44.63
    454    504  35.70  44.73
    454    505  35.69  44.82
    454    506  35.68  44.91
    454    507  35.68  45.00
    454    508  35.67  45.09
    454    509  35.66  45.18
    454    510  35.66  45.28
    454    511  35.65  45.37
    454    512  35.65  45.46
    454    513  35.64  45.55
    454    514  35.63  45.64
    454    515  35.63  45.73
    454    516  35.62  45.82
    454    517  35.62  45.91
    454    518  35.61  46.00
    454    519  35.60  46.09
    454    520  35.60  46.17
    454    521  35.59  46.26
    454    522  35.59  46.35
    454    523  35.58  46.44
    454    524  35.57  46.53
    454    525  35.57  46.62
    454    526  35.56  46.70
    454    527  35.56  46.79
    454    528  35.55  46.88
    454    529  35.55  46.97
    454    530  35.54  47.05
    454    531  35.53  47.14
    454    532  35.53  47.23
    454    533  35.52  47.31
    454    534  35.52  47.40
    454    535  35.51  47.48
    454    536  35.51  47.57
    454    537  35.50  47.66
    454    538  35.50  47.74
    454    539  35.49  47.83
    454    540  35.48  47.91
    454    541  35.48  48.00
    454    542  35.47  48.08
    454    543  35.47  48.17
    454    544  35.46  48.25
    454    545  35.46  48.34
    454    546  35.45  48.42
    454    547  35.45  48.50
    454    548  35.44  48.59
    454    549  35.44  48.67
    454    550  35.43  48.76
    455    451  36.00  39.54
    455    452  36.00  39.65
    455    453  35.99  39.75
    455    454  35.98  39.86
    455    455  35.97  39.97
    455    456  35.96  40.07
    455    457  35.96  40.18
    455    458  35.95  40.28
    455    459  35.94  40.39
    455    460  35.93  40.49
    455    461  35.93  40.59
    455    462  35.92  40.70
    455    463  35.91  40.80
    455    464  35.90  40.90
    455    465  35.90  41.00
    455    466  35.89  41.11
    455    467  35.88  41.21
    455    468  35.87  41.31
    455    469  35.87  41.41
    455    470  35.86  41.51
    455    471  35.85  41.61
    455    472  35.84  41.71
    455    473  35.84  41.81
    455    474  35.83  41.91
    455    475  35.82  42.01
    455    476  35.82  42.11
    455    477  35.81  42.21
    455    478  35.80  42.31
    455    479  35.79  42.41
    455    480  35.79  42.50
    455    481  35.78  42.60
    455    482  35.77  42.70
    455    483  35.77  42.80
    455    484  35.76  42.89
    455    485  35.75  42.99
    455    486  35.75  43.09
    455    487  35.74  43.18
    455    488  35.73  43.28
    455    489  35.73  43.37
    455    490  35.72  43.47
    455    491  35.71  43.56
    455    492  35.71  43.66
    455    493  35.70  43.75
    455    494  35.69  43.85
    455    495  35.69  43.94
    455    496  35.68  44.04
    455    497  35.67  44.13
    455    498  35.67  44.22
    455    499  35.66  44.32
    455    500  35.65  44.41
    455    501  35.65  44.50
    455    502  35.64  44.59
    455    503  35.64  44.69
    455    504  35.63  44.78
    455    505  35.62  44.87
    455    506  35.62  44.96
    455    507  35.61  45.05
    455    508  35.60  45.14
    455    509  35.60  45.24
    455    510  35.59  45.33
    455    511  35.59  45.42
    455    512  35.58  45.51
    455    513  35.57  45.60
    455    514  35.57  45.69
    455    515  35.56  45.78
    455    516  35.56  45.87
    455    517  35.55  45.96
    455    518  35.54  46.04
    455    519  35.54  46.13
    455    520  35.53  46.22
    455    521  35.53  46.31
    455    522  35.52  46.40
    455    523  35.51  46.49
    455    524  35.51  46.58
    455    525  35.50  46.66
    455    526  35.50  46.75
    455    527  35.49  46.84
    455    528  35.49  46.92
    455    529  35.48  47.01
    455    530  35.47  47.10
    455    531  35.47  47.19
    455    532  35.46  47.27
    455    533  35.46  47.36
    455    534  35.45  47.44
    455    535  35.45  47.53
    455    536  35.44  47.62
    455    537  35.44  47.70
    455    538  35.43  47.79
    455    539  35.42  47.87
    455    540  35.42  47.96
    455    541  35.41  48.04
    455    542  35.41  48.13
    455    543  35.40  48.21
    455    544  35.40  48.30
    455    545  35.39  48.38
    455    546  35.39  48.46
    455    547  35.38  48.55
    455    548  35.38  48.63
    455    549  35.37  48.72
    455    550  35.37  48.80
    456    451  35.93  39.61
    456    452  35.93  39.71
    456    453  35.92  39.82
    456    454  35.91  39.92
    456    455  35.90  40.03
    456    456  35.90  40.13
    456    457  35.89  40.24
    456    458  35.88  40.34
    456    459  35.87  40.45
    456    460  35.86  40.55
    456    461  35.86  40.65
    456    462  35.85  40.76
    456    463  35.84  40.86
    456    464  35.83  40.96
    456    465  35.83  41.07
    456    466  35.82  41.17
    456    467  35.81  41.27
    456    468  35.81  41.37
    456    469  35.80  41.47
    456    470  35.79  41.57
    456    471  35.78  41.67
    456    472  35.78  41.77
    456    473  35.77  41.87
    456    474  35.76  41.97
    456    475  35.75  42.07
    456    476  35.75  42.17
    456    477  35.74  42.27
    456    478  35.73  42.36
    456    479  35.73  42.46
    456    480  35.72  42.56
    456    481  35.71  42.66
    456    482  35.71  42.76
    456    483  35.70  42.85
    456    484  35.69  42.95
    456    485  35.69  43.04
    456    486  35.68  43.14
    456    487  35.67  43.24
    456    488  35.67  43.33
    456    489  35.66  43.43
    456    490  35.65  43.52
    456    491  35.65  43.62
    456    492  35.64  43.71
    456    493  35.63  43.81
    456    494  35.63  43.90
    456    495  35.62  43.99
    456    496  35.61  44.09
    456    497  35.61  44.18
    456    498  35.60  44.28
    456    499  35.59  44.37
    456    500  35.59  44.46
    456    501  35.58  44.55
    456    502  35.57  44.65
    456    503  35.57  44.74
    456    504  35.56  44.83
    456    505  35.56  44.92
    456    506  35.55  45.01
    456    507  35.54  45.10
    456    508  35.54  45.19
    456    509  35.53  45.29
    456    510  35.53  45.38
    456    511  35.52  45.47
    456    512  35.51  45.56
    456    513  35.51  45.65
    456    514  35.50  45.74
    456    515  35.50  45.83
    456    516  35.49  45.91
    456    517  35.48  46.00
    456    518  35.48  46.09
    456    519  35.47  46.18
    456    520  35.47  46.27
    456    521  35.46  46.36
    456    522  35.45  46.45
    456    523  35.45  46.53
    456    524  35.44  46.62
    456    525  35.44  46.71
    456    526  35.43  46.80
    456    527  35.43  46.88
    456    528  35.42  46.97
    456    529  35.41  47.06
    456    530  35.41  47.14
    456    531  35.40  47.23
    456    532  35.40  47.32
    456    533  35.39  47.40
    456    534  35.39  47.49
    456    535  35.38  47.58
    456    536  35.37  47.66
    456    537  35.37  47.75
    456    538  35.36  47.83
    456    539  35.36  47.92
    456    540  35.35  48.00
    456    541  35.35  48.09
    456    542  35.34  48.17
    456    543  35.34  48.26
    456    544  35.33  48.34
    456    545  35.33  48.42
    456    546  35.32  48.51
    456    547  35.32  48.59
    456    548  35.31  48.67
    456    549  35.31  48.76
    456    550  35.30  48.84
    457    451  35.87  39.67
    457    452  35.86  39.78
    457    453  35.85  39.88
    457    454  35.84  39.99
    457    455  35.83  40.09
    457    456  35.83  40.20
    457    457  35.82  40.30
    457    458  35.81  40.41
    457    459  35.80  40.51
    457    460  35.80  40.61
    457    461  35.79  40.72
    457    462  35.78  40.82
    457    463  35.77  40.92
    457    464  35.77  41.02
    457    465  35.76  41.13
    457    466  35.75  41.23
    457    467  35.74  41.33
    457    468  35.74  41.43
    457    469  35.73  41.53
    457    470  35.72  41.63
    457    471  35.72  41.73
    457    472  35.71  41.83
    457    473  35.70  41.93
    457    474  35.69  42.03
    457    475  35.69  42.13
    457    476  35.68  42.23
    457    477  35.67  42.32
    457    478  35.67  42.42
    457    479  35.66  42.52
    457    480  35.65  42.62
    457    481  35.65  42.71
    457    482  35.64  42.81
    457    483  35.63  42.91
    457    484  35.62  43.00
    457    485  35.62  43.10
    457    486  35.61  43.20
    457    487  35.60  43.29
    457    488  35.60  43.39
    457    489  35.59  43.48
    457    490  35.58  43.58
    457    491  35.58  43.67
    457    492  35.57  43.77
    457    493  35.57  43.86
    457    494  35.56  43.95
    457    495  35.55  44.05
    457    496  35.55  44.14
    457    497  35.54  44.23
    457    498  35.53  44.33
    457    499  35.53  44.42
    457    500  35.52  44.51
    457    501  35.51  44.60
    457    502  35.51  44.70
    457    503  35.50  44.79
    457    504  35.50  44.88
    457    505  35.49  44.97
    457    506  35.48  45.06
    457    507  35.48  45.15
    457    508  35.47  45.24
    457    509  35.46  45.34
    457    510  35.46  45.43
    457    511  35.45  45.52
    457    512  35.45  45.61
    457    513  35.44  45.70
    457    514  35.43  45.78
    457    515  35.43  45.87
    457    516  35.42  45.96
    457    517  35.42  46.05
    457    518  35.41  46.14
    457    519  35.41  46.23
    457    520  35.40  46.32
    457    521  35.39  46.41
    457    522  35.39  46.49
    457    523  35.38  46.58
    457    524  35.38  46.67
    457    525  35.37  46.76
    457    526  35.36  46.84
    457    527  35.36  46.93
    457    528  35.35  47.02
    457    529  35.35  47.10
    457    530  35.34  47.19
    457    531  35.34  47.28
    457    532  35.33  47.36
    457    533  35.33  47.45
    457    534  35.32  47.53
    457    535  35.31  47.62
    457    536  35.31  47.71
    457    537  35.30  47.79
    457    538  35.30  47.88
    457    539  35.29  47.96
    457    540  35.29  48.05
    457    541  35.28  48.13
    457    542  35.28  48.21
    457    543  35.27  48.30
    457    544  35.27  48.38
    457    545  35.26  48.47
    457    546  35.26  48.55
    457    547  35.25  48.63
    457    548  35.24  48.72
    457    549  35.24  48.80
    457    550  35.23  48.88
    458    451  35.80  39.74
    458    452  35.79  39.84
    458    453  35.78  39.95
    458    454  35.77  40.05
    458    455  35.77  40.16
    458    456  35.76  40.26
    458    457  35.75  40.37
    458    458  35.74  40.47
    458    459  35.74  40.57
    458    460  35.73  40.68
    458    461  35.72  40.78
    458    462  35.71  40.88
    458    463  35.71  40.98
    458    464  35.70  41.08
    458    465  35.69  41.19
    458    466  35.68  41.29
    458    467  35.68  41.39
    458    468  35.67  41.49
    458    469  35.66  41.59
    458    470  35.65  41.69
    458    471  35.65  41.79
    458    472  35.64  41.89
    458    473  35.63  41.99
    458    474  35.63  42.09
    458    475  35.62  42.18
    458    476  35.61  42.28
    458    477  35.61  42.38
    458    478  35.60  42.48
    458    479  35.59  42.58
    458    480  35.58  42.67
    458    481  35.58  42.77
    458    482  35.57  42.87
    458    483  35.56  42.96
    458    484  35.56  43.06
    458    485  35.55  43.16
    458    486  35.54  43.25
    458    487  35.54  43.35
    458    488  35.53  43.44
    458    489  35.52  43.54
    458    490  35.52  43.63
    458    491  35.51  43.73
    458    492  35.50  43.82
    458    493  35.50  43.91
    458    494  35.49  44.01
    458    495  35.49  44.10
    458    496  35.48  44.19
    458    497  35.47  44.29
    458    498  35.47  44.38
    458    499  35.46  44.47
    458    500  35.45  44.56
    458    501  35.45  44.66
    458    502  35.44  44.75
    458    503  35.44  44.84
    458    504  35.43  44.93
    458    505  35.42  45.02
    458    506  35.42  45.11
    458    507  35.41  45.20
    458    508  35.40  45.29
    458    509  35.40  45.38
    458    510  35.39  45.47
    458    511  35.39  45.56
    458    512  35.38  45.65
    458    513  35.37  45.74
    458    514  35.37  45.83
    458    515  35.36  45.92
    458    516  35.36  46.01
    458    517  35.35  46.10
    458    518  35.34  46.19
    458    519  35.34  46.28
    458    520  35.33  46.37
    458    521  35.33  46.45
    458    522  35.32  46.54
    458    523  35.32  46.63
    458    524  35.31  46.72
    458    525  35.30  46.80
    458    526  35.30  46.89
    458    527  35.29  46.98
    458    528  35.29  47.06
    458    529  35.28  47.15
    458    530  35.28  47.24
    458    531  35.27  47.32
    458    532  35.27  47.41
    458    533  35.26  47.49
    458    534  35.25  47.58
    458    535  35.25  47.66
    458    536  35.24  47.75
    458    537  35.24  47.84
    458    538  35.23  47.92
    458    539  35.23  48.00
    458    540  35.22  48.09
    458    541  35.22  48.17
    458    542  35.21  48.26
    458    543  35.21  48.34
    458    544  35.20  48.43
    458    545  35.20  48.51
    458    546  35.19  48.59
    458    547  35.18  48.68
    458    548  35.18  48.76
    458    549  35.17  48.84
    458    550  35.17  48.93
    459    451  35.73  39.80
    459    452  35.72  39.91
    459    453  35.71  40.01
    459    454  35.71  40.12
    459    455  35.70  40.22
    459    456  35.69  40.32
    459    457  35.68  40.43
    459    458  35.68  40.53
    459    459  35.67  40.63
    459    460  35.66  40.74
    459    461  35.65  40.84
    459    462  35.65  40.94
    459    463  35.64  41.04
    459    464  35.63  41.14
    459    465  35.62  41.25
    459    466  35.62  41.35
    459    467  35.61  41.45
    459    468  35.60  41.55
    459    469  35.59  41.65
    459    470  35.59  41.75
    459    471  35.58  41.85
    459    472  35.57  41.95
    459    473  35.57  42.04
    459    474  35.56  42.14
    459    475  35.55  42.24
    459    476  35.55  42.34
    459    477  35.54  42.44
    459    478  35.53  42.53
    459    479  35.52  42.63
    459    480  35.52  42.73
    459    481  35.51  42.83
    459    482  35.50  42.92
    459    483  35.50  43.02
    459    484  35.49  43.11
    459    485  35.48  43.21
    459    486  35.48  43.31
    459    487  35.47  43.40
    459    488  35.46  43.50
    459    489  35.46  43.59
    459    490  35.45  43.68
    459    491  35.44  43.78
    459    492  35.44  43.87
    459    493  35.43  43.97
    459    494  35.43  44.06
    459    495  35.42  44.15
    459    496  35.41  44.25
    459    497  35.41  44.34
    459    498  35.40  44.43
    459    499  35.39  44.52
    459    500  35.39  44.62
    459    501  35.38  44.71
    459    502  35.37  44.80
    459    503  35.37  44.89
    459    504  35.36  44.98
    459    505  35.36  45.07
    459    506  35.35  45.16
    459    507  35.34  45.25
    459    508  35.34  45.34
    459    509  35.33  45.43
    459    510  35.33  45.52
    459    511  35.32  45.61
    459    512  35.31  45.70
    459    513  35.31  45.79
    459    514  35.30  45.88
    459    515  35.30  45.97
    459    516  35.29  46.06
    459    517  35.28  46.15
    459    518  35.28  46.24
    459    519  35.27  46.32
    459    520  35.27  46.41
    459    521  35.26  46.50
    459    522  35.26  46.59
    459    523  35.25  46.68
    459    524  35.24  46.76
    459    525  35.24  46.85
    459    526  35.23  46.94
    459    527  35.23  47.02
    459    528  35.22  47.11
    459    529  35.22  47.20
    459    530  35.21  47.28
    459    531  35.21  47.37
    459    532  35.20  47.45
    459    533  35.19  47.54
    459    534  35.19  47.62
    459    535  35.18  47.71
    459    536  35.18  47.79
    459    537  35.17  47.88
    459    538  35.17  47.96
    459    539  35.16  48.05
    459    540  35.16  48.13
    459    541  35.15  48.22
    459    542  35.15  48.30
    459    543  35.14  48.39
    459    544  35.14  48.47
    459    545  35.13  48.55
    459    546  35.12  48.64
    459    547  35.12  48.72
    459    548  35.11  48.80
    459    549  35.11  48.89
    459    550  35.10  48.97
    460    451  35.66  39.86
    460    452  35.65  39.97
    460    453  35.65  40.07
    460    454  35.64  40.18
    460    455  35.63  40.28
    460    456  35.62  40.39
    460    457  35.61  40.49
    460    458  35.61  40.59
    460    459  35.60  40.69
    460    460  35.59  40.80
    460    461  35.58  40.90
    460    462  35.58  41.00
    460    463  35.57  41.10
    460    464  35.56  41.20
    460    465  35.56  41.31
    460    466  35.55  41.41
    460    467  35.54  41.51
    460    468  35.53  41.61
    460    469  35.53  41.71
    460    470  35.52  41.81
    460    471  35.51  41.90
    460    472  35.51  42.00
    460    473  35.50  42.10
    460    474  35.49  42.20
    460    475  35.48  42.30
    460    476  35.48  42.40
    460    477  35.47  42.49
    460    478  35.46  42.59
    460    479  35.46  42.69
    460    480  35.45  42.78
    460    481  35.44  42.88
    460    482  35.44  42.98
    460    483  35.43  43.07
    460    484  35.42  43.17
    460    485  35.42  43.26
    460    486  35.41  43.36
    460    487  35.40  43.45
    460    488  35.40  43.55
    460    489  35.39  43.64
    460    490  35.38  43.74
    460    491  35.38  43.83
    460    492  35.37  43.92
    460    493  35.36  44.02
    460    494  35.36  44.11
    460    495  35.35  44.20
    460    496  35.35  44.30
    460    497  35.34  44.39
    460    498  35.33  44.48
    460    499  35.33  44.57
    460    500  35.32  44.67
    460    501  35.31  44.76
    460    502  35.31  44.85
    460    503  35.30  44.94
    460    504  35.30  45.03
    460    505  35.29  45.12
    460    506  35.28  45.21
    460    507  35.28  45.30
    460    508  35.27  45.39
    460    509  35.27  45.48
    460    510  35.26  45.57
    460    511  35.25  45.66
    460    512  35.25  45.75
    460    513  35.24  45.84
    460    514  35.24  45.93
    460    515  35.23  46.02
    460    516  35.22  46.11
    460    517  35.22  46.20
    460    518  35.21  46.28
    460    519  35.21  46.37
    460    520  35.20  46.46
    460    521  35.20  46.55
    460    522  35.19  46.63
    460    523  35.18  46.72
    460    524  35.18  46.81
    460    525  35.17  46.90
    460    526  35.17  46.98
    460    527  35.16  47.07
    460    528  35.16  47.15
    460    529  35.15  47.24
    460    530  35.15  47.33
    460    531  35.14  47.41
    460    532  35.13  47.50
    460    533  35.13  47.58
    460    534  35.12  47.67
    460    535  35.12  47.75
    460    536  35.11  47.84
    460    537  35.11  47.92
    460    538  35.10  48.01
    460    539  35.10  48.09
    460    540  35.09  48.18
    460    541  35.09  48.26
    460    542  35.08  48.34
    460    543  35.08  48.43
    460    544  35.07  48.51
    460    545  35.06  48.60
    460    546  35.06  48.68
    460    547  35.05  48.76
    460    548  35.05  48.84
    460    549  35.04  48.93
    460    550  35.04  49.01
    461    451  35.59  39.93
    461    452  35.58  40.03
    461    453  35.58  40.14
    461    454  35.57  40.24
    461    455  35.56  40.34
    461    456  35.55  40.45
    461    457  35.55  40.55
    461    458  35.54  40.65
    461    459  35.53  40.76
    461    460  35.52  40.86
    461    461  35.52  40.96
    461    462  35.51  41.06
    461    463  35.50  41.16
    461    464  35.50  41.26
    461    465  35.49  41.36
    461    466  35.48  41.46
    461    467  35.47  41.56
    461    468  35.47  41.66
    461    469  35.46  41.76
    461    470  35.45  41.86
    461    471  35.45  41.96
    461    472  35.44  42.06
    461    473  35.43  42.16
    461    474  35.42  42.26
    461    475  35.42  42.35
    461    476  35.41  42.45
    461    477  35.40  42.55
    461    478  35.40  42.65
    461    479  35.39  42.74
    461    480  35.38  42.84
    461    481  35.38  42.94
    461    482  35.37  43.03
    461    483  35.36  43.13
    461    484  35.36  43.22
    461    485  35.35  43.32
    461    486  35.34  43.41
    461    487  35.34  43.51
    461    488  35.33  43.60
    461    489  35.32  43.70
    461    490  35.32  43.79
    461    491  35.31  43.88
    461    492  35.30  43.98
    461    493  35.30  44.07
    461    494  35.29  44.16
    461    495  35.29  44.26
    461    496  35.28  44.35
    461    497  35.27  44.44
    461    498  35.27  44.53
    461    499  35.26  44.62
    461    500  35.25  44.72
    461    501  35.25  44.81
    461    502  35.24  44.90
    461    503  35.24  44.99
    461    504  35.23  45.08
    461    505  35.22  45.17
    461    506  35.22  45.26
    461    507  35.21  45.35
    461    508  35.21  45.44
    461    509  35.20  45.53
    461    510  35.19  45.62
    461    511  35.19  45.71
    461    512  35.18  45.80
    461    513  35.18  45.89
    461    514  35.17  45.98
    461    515  35.16  46.07
    461    516  35.16  46.15
    461    517  35.15  46.24
    461    518  35.15  46.33
    461    519  35.14  46.42
    461    520  35.14  46.51
    461    521  35.13  46.59
    461    522  35.12  46.68
    461    523  35.12  46.77
    461    524  35.11  46.85
