     经度     纬度      角度       风速
    125.00    -40.00    124.24     28.73
    126.00    -40.00    116.74     27.14
     46.00    -39.00      0.00      0.00
     47.00    -39.00      0.00      0.00
     48.00    -39.00      0.00      0.00
     49.00    -39.00    193.03     21.50
     50.00    -39.00      0.00      0.00
     51.00    -39.00    338.85     89.92
     52.00    -39.00    165.70     76.44
     53.00    -39.00    294.41     67.20
     54.00    -39.00    171.70     37.97
     55.00    -39.00    169.74     30.08
     56.00    -39.00    159.11     27.40
     57.00    -39.00    241.43     45.40
     58.00    -39.00    169.32     27.77
     59.00    -39.00    163.38     24.83
     60.00    -39.00    172.65     25.19
     61.00    -39.00      0.00      0.00
     62.00    -39.00      0.00      0.00
     63.00    -39.00      0.00      0.00
     64.00    -39.00      0.00      0.00
     65.00    -39.00      0.00      0.00
     66.00    -39.00      0.00      0.00
     67.00    -39.00      0.00      0.00
     68.00    -39.00      0.00      0.00
     69.00    -39.00      0.00      0.00
     70.00    -39.00      0.00      0.00
     71.00    -39.00      0.00      0.00
     72.00    -39.00      0.00      0.00
     73.00    -39.00      0.00      0.00
     74.00    -39.00      0.00      0.00
     75.00    -39.00      0.00      0.00
     76.00    -39.00      0.00      0.00
     77.00    -39.00      0.00      0.00
     78.00    -39.00      0.00      0.00
     79.00    -39.00      0.00      0.00
     80.00    -39.00      0.00      0.00
     81.00    -39.00      0.00      0.00
     82.00    -39.00    354.06      8.88
     83.00    -39.00     14.37     13.95
     84.00    -39.00     37.71      7.11
     85.00    -39.00     43.29      8.07
     86.00    -39.00     74.51      6.90
     87.00    -39.00     11.13     10.31
     88.00    -39.00     31.01     11.62
     89.00    -39.00    333.59     79.40
     90.00    -39.00    299.31     61.36
     91.00    -39.00    135.58     10.98
     92.00    -39.00    125.00     14.96
     93.00    -39.00    123.81     16.93
     94.00    -39.00    280.45     14.76
     95.00    -39.00    132.57     16.80
     96.00    -39.00    126.37     14.08
     97.00    -39.00      0.00      0.00
     98.00    -39.00      0.00      0.00
     99.00    -39.00      0.00      0.00
    100.00    -39.00      0.00      0.00
    101.00    -39.00      0.00      0.00
    102.00    -39.00    125.29     32.41
    103.00    -39.00    120.89     23.66
    104.00    -39.00    125.27     32.62
    105.00    -39.00    117.61     27.32
    106.00    -39.00    119.10     31.41
    107.00    -39.00    110.03     27.37
    108.00    -39.00    108.97     23.53
    109.00    -39.00    265.20      5.24
    110.00    -39.00    201.37    105.90
    111.00    -39.00    323.30     29.39
    112.00    -39.00    167.90      9.85
    113.00    -39.00    138.64     12.01
    114.00    -39.00    255.58     37.72
    115.00    -39.00    127.20     27.67
    116.00    -39.00    124.71     28.39
    117.00    -39.00    119.34     22.72
    118.00    -39.00    126.44     32.98
    119.00    -39.00    125.92     32.77
    120.00    -39.00    128.82     22.28
    121.00    -39.00    118.53     30.62
    122.00    -39.00    123.29     25.55
    123.00    -39.00    116.87     32.63
    124.00    -39.00    123.73     25.33
    125.00    -39.00    129.94     36.26
    126.00    -39.00    127.92     38.76
     46.00    -38.00      0.00      0.00
     47.00    -38.00      0.00      0.00
     48.00    -38.00      0.00      0.00
     49.00    -38.00      0.00      0.00
     50.00    -38.00      0.00      0.00
     51.00    -38.00    190.68     20.79
     52.00    -38.00    189.71     59.13
     53.00    -38.00    177.48     36.87
     54.00    -38.00    174.08     33.08
     55.00    -38.00    186.29     29.90
     56.00    -38.00    215.43     12.27
     57.00    -38.00    161.26     27.32
     58.00    -38.00    168.61     27.37
     59.00    -38.00    162.81     28.74
     60.00    -38.00    188.40     67.55
     61.00    -38.00    184.48     21.91
     62.00    -38.00      0.00      0.00
     63.00    -38.00      0.00      0.00
     64.00    -38.00      0.00      0.00
     65.00    -38.00      0.00      0.00
     66.00    -38.00      0.00      0.00
     67.00    -38.00      0.00      0.00
     68.00    -38.00      0.00      0.00
     69.00    -38.00      0.00      0.00
     70.00    -38.00      0.00      0.00
     71.00    -38.00      0.00      0.00
     72.00    -38.00      0.00      0.00
     73.00    -38.00      0.00      0.00
     74.00    -38.00      0.00      0.00
     75.00    -38.00      0.00      0.00
     76.00    -38.00      0.00      0.00
     77.00    -38.00      0.00      0.00
     78.00    -38.00      0.00      0.00
     79.00    -38.00      0.00      0.00
     80.00    -38.00      0.00      0.00
     81.00    -38.00      0.00      0.00
     82.00    -38.00     12.34     12.72
     83.00    -38.00      1.33     12.90
     84.00    -38.00    141.93     14.01
     85.00    -38.00     78.11      6.73
     86.00    -38.00    315.55     96.61
     87.00    -38.00    181.43     39.37
     88.00    -38.00    118.18      5.75
     89.00    -38.00    158.08      7.57
     90.00    -38.00      0.00      0.00
     91.00    -38.00    138.20     10.69
     92.00    -38.00      0.00      0.00
     93.00    -38.00      0.00      0.00
     94.00    -38.00      0.00      0.00
     95.00    -38.00      0.00      0.00
     96.00    -38.00      0.00      0.00
     97.00    -38.00      0.00      0.00
     98.00    -38.00      0.00      0.00
     99.00    -38.00      0.00      0.00
    100.00    -38.00    113.40     73.17
    101.00    -38.00    126.14     27.94
    102.00    -38.00    128.41     29.63
    103.00    -38.00    118.46     25.66
    104.00    -38.00    126.67     31.08
    105.00    -38.00    119.02     16.55
    106.00    -38.00    116.60     34.23
    107.00    -38.00    123.75     23.58
    108.00    -38.00    112.44      7.07
    109.00    -38.00     13.98     84.75
    110.00    -38.00     25.29     82.58
    111.00    -38.00     60.58     83.76
    112.00    -38.00    132.40     15.08
    113.00    -38.00    128.44     29.22
    114.00    -38.00    128.00     28.00
    115.00    -38.00    126.93     27.40
    116.00    -38.00    129.63     24.39
    117.00    -38.00    126.02     17.95
    118.00    -38.00    118.98     51.36
    119.00    -38.00    128.67     29.73
    120.00    -38.00    128.20     29.57
    121.00    -38.00    131.49     26.91
    122.00    -38.00    307.71    109.26
    123.00    -38.00     48.63     67.53
    124.00    -38.00    117.37     42.09
    125.00    -38.00    122.33     35.11
    126.00    -38.00    145.13    114.02
     46.00    -37.00      0.00      0.00
     47.00    -37.00      0.00      0.00
     48.00    -37.00      0.00      0.00
     49.00    -37.00      0.00      0.00
     50.00    -37.00    213.55     16.22
     51.00    -37.00    164.98     25.30
     52.00    -37.00    177.72     29.09
     53.00    -37.00    173.20     25.33
     54.00    -37.00    167.21     25.94
     55.00    -37.00    171.57     26.16
     56.00    -37.00    169.49     26.78
     57.00    -37.00    169.17     27.43
     58.00    -37.00    173.49     23.96
     59.00    -37.00    176.36     24.75
     60.00    -37.00    171.28     17.71
     61.00    -37.00    158.95     19.57
     62.00    -37.00      0.00      0.00
     63.00    -37.00      0.00      0.00
     64.00    -37.00      0.00      0.00
     65.00    -37.00      0.00      0.00
     66.00    -37.00      0.00      0.00
     67.00    -37.00      0.00      0.00
     68.00    -37.00      0.00      0.00
     69.00    -37.00      0.00      0.00
     70.00    -37.00      0.00      0.00
     71.00    -37.00      0.00      0.00
     72.00    -37.00      0.00      0.00
     73.00    -37.00      0.00      0.00
     74.00    -37.00      0.00      0.00
     75.00    -37.00      0.00      0.00
     76.00    -37.00      0.00      0.00
     77.00    -37.00      0.00      0.00
     78.00    -37.00      0.00      0.00
     79.00    -37.00      0.00      0.00
     80.00    -37.00    116.60      5.80
     81.00    -37.00    227.50      8.91
     82.00    -37.00     72.18      8.88
     83.00    -37.00     38.58      4.01
     84.00    -37.00    358.04     11.42
     85.00    -37.00     92.81      4.78
     86.00    -37.00    332.11      8.83
     87.00    -37.00    120.16      8.20
     88.00    -37.00      0.00      0.00
     89.00    -37.00      0.00      0.00
     90.00    -37.00      0.00      0.00
     91.00    -37.00      0.00      0.00
     92.00    -37.00      0.00      0.00
     93.00    -37.00      0.00      0.00
     94.00    -37.00      0.00      0.00
     95.00    -37.00      0.00      0.00
     96.00    -37.00      0.00      0.00
     97.00    -37.00    133.11     22.27
     98.00    -37.00    137.98     16.73
     99.00    -37.00    131.41     21.27
    100.00    -37.00    128.95     18.47
    101.00    -37.00    130.48     27.07
    102.00    -37.00      0.00      0.00
    103.00    -37.00      0.00      0.00
    104.00    -37.00      0.00      0.00
    105.00    -37.00    126.09     15.71
    106.00    -37.00    117.22     96.33
    107.00    -37.00    183.75    106.61
    108.00    -37.00    204.30    108.52
    109.00    -37.00    224.29     56.62
    110.00    -37.00    342.83     24.30
    111.00    -37.00      5.96     78.96
    112.00    -37.00    317.47     30.31
    113.00    -37.00    115.29     15.28
    114.00    -37.00    132.45     20.35
    115.00    -37.00    132.66     19.01
    116.00    -37.00    131.76     18.27
    117.00    -37.00    121.26     14.38
    118.00    -37.00    117.70     15.15
    119.00    -37.00    115.31     38.23
    120.00    -37.00    124.05     26.87
    121.00    -37.00     61.48     27.36
    122.00    -37.00     96.89     21.26
    123.00    -37.00    118.39     21.78
    124.00    -37.00      0.00      0.00
    125.00    -37.00    112.88     28.67
    126.00    -37.00    102.40     39.27
     46.00    -36.00      0.00      0.00
     47.00    -36.00      0.00      0.00
     48.00    -36.00      0.00      0.00
     49.00    -36.00      0.00      0.00
     50.00    -36.00    223.54     16.28
     51.00    -36.00    192.91     28.03
     52.00    -36.00    192.47     28.15
     53.00    -36.00    193.75     28.62
     54.00    -36.00    189.25     28.35
     55.00    -36.00    183.51     24.30
     56.00    -36.00    188.39     21.18
     57.00    -36.00    186.11     17.65
     58.00    -36.00    276.75     50.13
     59.00    -36.00    153.28     24.89
     60.00    -36.00    181.15     19.91
     61.00    -36.00    161.90     21.58
     62.00    -36.00      0.00      0.00
     63.00    -36.00      0.00      0.00
     64.00    -36.00      0.00      0.00
     65.00    -36.00      0.00      0.00
     66.00    -36.00      0.00      0.00
     67.00    -36.00      0.00      0.00
     68.00    -36.00      0.00      0.00
     69.00    -36.00      0.00      0.00
     70.00    -36.00      0.00      0.00
     71.00    -36.00      0.00      0.00
     72.00    -36.00      0.00      0.00
     73.00    -36.00      0.00      0.00
     74.00    -36.00      0.00      0.00
     75.00    -36.00      0.00      0.00
     76.00    -36.00      0.00      0.00
     77.00    -36.00      0.00      0.00
     78.00    -36.00      0.00      0.00
     79.00    -36.00    310.15      8.28
     80.00    -36.00     16.96      6.60
     81.00    -36.00    328.10      3.62
     82.00    -36.00      3.39      3.69
     83.00    -36.00    356.36      8.06
     84.00    -36.00    339.87      4.79
     85.00    -36.00    310.08     66.64
     86.00    -36.00      0.00      0.00
     87.00    -36.00      0.00      0.00
     88.00    -36.00      0.00      0.00
     89.00    -36.00      0.00      0.00
     90.00    -36.00      0.00      0.00
     91.00    -36.00      0.00      0.00
     92.00    -36.00      0.00      0.00
     93.00    -36.00      0.00      0.00
     94.00    -36.00      0.00      0.00
     95.00    -36.00    145.85     13.59
     96.00    -36.00    269.90     20.08
     97.00    -36.00    132.34     14.39
     98.00    -36.00    153.89     12.09
     99.00    -36.00    141.97     20.86
    100.00    -36.00    131.99     27.29
    101.00    -36.00      0.00      0.00
    102.00    -36.00      0.00      0.00
    103.00    -36.00    141.24     14.63
    104.00    -36.00    139.35     12.44
    105.00    -36.00    135.66     10.61
    106.00    -36.00    322.55     83.11
    107.00    -36.00     93.21     74.30
    108.00    -36.00    329.61     20.38
    109.00    -36.00    104.76     24.17
    110.00    -36.00    342.29     86.78
    111.00    -36.00    299.20     81.46
    112.00    -36.00      0.00      0.00
    113.00    -36.00    130.87     19.77
    114.00    -36.00    138.74     21.17
    115.00    -36.00    128.14     18.16
    116.00    -36.00    134.41     20.70
    117.00    -36.00    144.75     21.62
    118.00    -36.00    126.03     23.22
    119.00    -36.00    128.35     28.09
    120.00    -36.00      0.00      0.00
    121.00    -36.00    152.91     17.72
    122.00    -36.00    119.83     25.70
    123.00    -36.00    127.51     27.27
    124.00    -36.00     73.50     13.47
    125.00    -36.00     93.18     31.39
    126.00    -36.00    121.20     24.83
     46.00    -35.00      0.00      0.00
     47.00    -35.00      0.00      0.00
     48.00    -35.00      0.00      0.00
     49.00    -35.00      0.00      0.00
     50.00    -35.00    191.55     22.68
     51.00    -35.00    198.53     19.61
     52.00    -35.00    258.78     23.48
     53.00    -35.00    180.74     26.43
     54.00    -35.00    230.08    183.89
     55.00    -35.00    171.96     23.39
     56.00    -35.00    237.07     90.20
     57.00    -35.00    175.80     24.53
     58.00    -35.00    157.85     22.59
     59.00    -35.00    138.77     18.39
     60.00    -35.00     98.26     19.71
     61.00    -35.00    155.62      9.38
     62.00    -35.00      0.00      0.00
     63.00    -35.00      0.00      0.00
     64.00    -35.00      0.00      0.00
     65.00    -35.00      0.00      0.00
     66.00    -35.00      0.00      0.00
     67.00    -35.00      0.00      0.00
     68.00    -35.00      0.00      0.00
     69.00    -35.00      0.00      0.00
     70.00    -35.00      0.00      0.00
     71.00    -35.00      0.00      0.00
     72.00    -35.00      0.00      0.00
     73.00    -35.00      0.00      0.00
     74.00    -35.00      0.00      0.00
     75.00    -35.00      0.00      0.00
     76.00    -35.00      0.00      0.00
     77.00    -35.00      0.00      0.00
     78.00    -35.00    270.80     14.93
     79.00    -35.00    284.89     19.08
     80.00    -35.00    312.27      3.27
     81.00    -35.00    318.99     13.82
     82.00    -35.00    312.35     10.72
     83.00    -35.00     84.84      1.69
     84.00    -35.00    335.56     13.06
     85.00    -35.00      0.00      0.00
     86.00    -35.00      0.00      0.00
     87.00    -35.00      0.00      0.00
     88.00    -35.00      0.00      0.00
     89.00    -35.00      0.00      0.00
     90.00    -35.00      0.00      0.00
     91.00    -35.00      0.00      0.00
     92.00    -35.00    152.47      9.71
     93.00    -35.00    146.17     34.66
     94.00    -35.00    140.94     23.18
     95.00    -35.00    158.54     11.87
     96.00    -35.00    142.99     10.40
     97.00    -35.00    145.18     16.29
     98.00    -35.00    139.89     24.44
     99.00    -35.00    146.78     23.92
    100.00    -35.00    123.92     18.02
    101.00    -35.00    255.36     39.92
    102.00    -35.00    309.74     65.52
    103.00    -35.00     86.51      6.77
    104.00    -35.00     45.49     71.00
    105.00    -35.00    129.63     11.72
    106.00    -35.00    319.81     39.24
    107.00    -35.00    122.43     94.61
    108.00    -35.00     67.93     12.85
    109.00    -35.00    248.19      2.06
    110.00    -35.00    124.95     13.65
    111.00    -35.00      0.00      0.00
    112.00    -35.00      0.00      0.00
    113.00    -35.00      0.00      0.00
    114.00    -35.00      0.00      0.00
    115.00    -35.00      0.00      0.00
    116.00    -35.00      0.00      0.00
    117.00    -35.00      0.00      0.00
    118.00    -35.00      0.00      0.00
    119.00    -35.00      0.00      0.00
    120.00    -35.00      0.00      0.00
    121.00    -35.00      0.00      0.00
    122.00    -35.00      0.00      0.00
    123.00    -35.00      0.00      0.00
    124.00    -35.00      0.00      0.00
    125.00    -35.00      0.00      0.00
    126.00    -35.00    133.34     22.57
     46.00    -34.00      0.00      0.00
     47.00    -34.00      0.00      0.00
     48.00    -34.00      0.00      0.00
     49.00    -34.00      0.00      0.00
     50.00    -34.00    221.11     20.51
     51.00    -34.00    224.62     27.92
     52.00    -34.00    196.15     23.92
     53.00    -34.00    182.63     22.93
     54.00    -34.00    133.87      5.74
     55.00    -34.00    317.85     46.73
     56.00    -34.00    199.06     22.18
     57.00    -34.00    193.86     22.14
     58.00    -34.00    166.48     18.38
     59.00    -34.00    187.38     19.26
     60.00    -34.00    185.61     16.27
     61.00    -34.00    109.17     15.32
     62.00    -34.00    190.85     10.97
     63.00    -34.00      0.00      0.00
     64.00    -34.00      0.00      0.00
     65.00    -34.00      0.00      0.00
     66.00    -34.00      0.00      0.00
     67.00    -34.00      0.00      0.00
     68.00    -34.00      0.00      0.00
     69.00    -34.00      0.00      0.00
     70.00    -34.00      0.00      0.00
     71.00    -34.00      0.00      0.00
     72.00    -34.00      0.00      0.00
     73.00    -34.00      0.00      0.00
     74.00    -34.00      0.00      0.00
     75.00    -34.00      0.00      0.00
     76.00    -34.00      0.00      0.00
     77.00    -34.00      0.00      0.00
     78.00    -34.00    278.70     17.62
     79.00    -34.00    282.63     16.54
     80.00    -34.00    294.71     19.49
     81.00    -34.00    308.95     14.24
     82.00    -34.00    312.50     14.12
     83.00    -34.00      0.00      0.00
     84.00    -34.00      0.00      0.00
     85.00    -34.00      0.00      0.00
     86.00    -34.00      0.00      0.00
     87.00    -34.00      0.00      0.00
     88.00    -34.00      0.00      0.00
     89.00    -34.00      0.00      0.00
     90.00    -34.00      0.00      0.00
     91.00    -34.00    184.03      5.35
     92.00    -34.00    175.85      5.92
     93.00    -34.00    144.42     12.84
     94.00    -34.00    152.81     12.60
     95.00    -34.00    263.60      5.66
     96.00    -34.00    146.27     15.88
     97.00    -34.00    138.32    103.35
     98.00    -34.00    140.40     20.38
     99.00    -34.00    137.77     17.91
    100.00    -34.00    125.63     25.79
    101.00    -34.00    137.31     17.03
    102.00    -34.00    165.46      6.52
    103.00    -34.00    134.43     17.49
    104.00    -34.00    136.28      3.36
    105.00    -34.00    109.79     14.34
    106.00    -34.00    141.82     18.32
    107.00    -34.00    125.49     57.85
    108.00    -34.00      0.00      0.00
    109.00    -34.00      0.00      0.00
    110.00    -34.00      0.00      0.00
    111.00    -34.00      0.00      0.00
    112.00    -34.00      0.00      0.00
    113.00    -34.00      0.00      0.00
    114.00    -34.00      0.00      0.00
    115.00    -34.00      0.00      0.00
    116.00    -34.00      0.00      0.00
    117.00    -34.00      0.00      0.00
    118.00    -34.00      0.00      0.00
    119.00    -34.00      0.00      0.00
    120.00    -34.00      0.00      0.00
    121.00    -34.00      0.00      0.00
    122.00    -34.00      0.00      0.00
    123.00    -34.00    253.93     76.58
    124.00    -34.00    115.80     39.32
    125.00    -34.00    116.87     37.58
    126.00    -34.00    141.67     35.18
     46.00    -33.00      0.00      0.00
     47.00    -33.00      0.00      0.00
     48.00    -33.00      0.00      0.00
     49.00    -33.00      0.00      0.00
     50.00    -33.00    216.56     15.90
     51.00    -33.00    227.32     19.65
     52.00    -33.00    210.75     19.82
     53.00    -33.00    279.83     54.82
     54.00    -33.00    197.45     22.35
     55.00    -33.00    199.54     31.37
     56.00    -33.00    201.54     28.38
     57.00    -33.00    187.85     19.30
     58.00    -33.00    186.41     19.99
     59.00    -33.00    196.13     21.78
     60.00    -33.00    187.53     18.09
     61.00    -33.00    127.13     11.94
     62.00    -33.00    188.60     20.35
     63.00    -33.00      0.00      0.00
     64.00    -33.00      0.00      0.00
     65.00    -33.00      0.00      0.00
     66.00    -33.00      0.00      0.00
     67.00    -33.00      0.00      0.00
     68.00    -33.00      0.00      0.00
     69.00    -33.00      0.00      0.00
     70.00    -33.00      0.00      0.00
     71.00    -33.00      0.00      0.00
     72.00    -33.00      0.00      0.00
     73.00    -33.00      0.00      0.00
     74.00    -33.00      0.00      0.00
     75.00    -33.00      0.00      0.00
     76.00    -33.00      0.00      0.00
     77.00    -33.00      0.00      0.00
     78.00    -33.00      0.00      0.00
     79.00    -33.00      0.00      0.00
     80.00    -33.00      0.00      0.00
     81.00    -33.00      0.00      0.00
     82.00    -33.00      0.00      0.00
     83.00    -33.00      0.00      0.00
     84.00    -33.00      0.00      0.00
     85.00    -33.00      0.00      0.00
     86.00    -33.00      0.00      0.00
     87.00    -33.00      0.00      0.00
     88.00    -33.00    140.63      8.61
     89.00    -33.00    189.37      3.20
     90.00    -33.00    190.36      3.54
     91.00    -33.00      0.00      0.00
     92.00    -33.00    143.14     66.75
     93.00    -33.00    135.93     12.44
     94.00    -33.00    147.18     11.51
     95.00    -33.00    144.53     17.59
     96.00    -33.00    145.77     14.00
     97.00    -33.00    301.74     75.72
     98.00    -33.00    109.43     82.28
     99.00    -33.00    140.16     24.92
    100.00    -33.00      4.65     78.78
    101.00    -33.00    174.81     10.56
    102.00    -33.00      0.00      0.00
    103.00    -33.00    119.86     21.64
    104.00    -33.00    124.48     15.32
    105.00    -33.00    333.03     72.15
    106.00    -33.00    133.44    122.38
    107.00    -33.00      0.00      0.00
    108.00    -33.00      0.00      0.00
    109.00    -33.00      0.00      0.00
    110.00    -33.00      0.00      0.00
    111.00    -33.00      0.00      0.00
    112.00    -33.00      0.00      0.00
    113.00    -33.00      0.00      0.00
    114.00    -33.00      0.00      0.00
    115.00    -33.00    132.56     25.27
    116.00    -33.00    125.17     21.82
    117.00    -33.00    123.41     29.17
    118.00    -33.00      0.00      0.00
    119.00    -33.00      0.00      0.00
    120.00    -33.00      0.00      0.00
    121.00    -33.00      0.00      0.00
    122.00    -33.00    129.66     33.94
    123.00    -33.00    290.13     36.24
    124.00    -33.00    108.01     34.42
    125.00    -33.00    114.41     23.59
    126.00    -33.00    226.24     36.27
     46.00    -32.00      0.00      0.00
     47.00    -32.00      0.00      0.00
     48.00    -32.00      0.00      0.00
     49.00    -32.00      0.00      0.00
     50.00    -32.00      0.00      0.00
     51.00    -32.00    216.03     14.41
     52.00    -32.00    222.33     16.41
     53.00    -32.00    256.95     27.45
     54.00    -32.00    190.54     24.01
     55.00    -32.00    193.38     24.90
     56.00    -32.00    197.99     30.22
     57.00    -32.00    180.14     25.22
     58.00    -32.00    183.79     18.77
     59.00    -32.00    195.60     16.73
     60.00    -32.00    189.20     17.20
     61.00    -32.00    195.09     11.10
     62.00    -32.00    146.41      5.13
     63.00    -32.00    146.40     83.93
     64.00    -32.00     53.03     19.75
     65.00    -32.00      0.00      0.00
     66.00    -32.00      0.00      0.00
     67.00    -32.00      0.00      0.00
     68.00    -32.00      0.00      0.00
     69.00    -32.00      0.00      0.00
     70.00    -32.00      0.00      0.00
     71.00    -32.00      0.00      0.00
     72.00    -32.00      0.00      0.00
     73.00    -32.00      0.00      0.00
     74.00    -32.00      0.00      0.00
     75.00    -32.00      0.00      0.00
     76.00    -32.00      0.00      0.00
     77.00    -32.00      0.00      0.00
     78.00    -32.00      0.00      0.00
     79.00    -32.00      0.00      0.00
     80.00    -32.00      0.00      0.00
     81.00    -32.00      0.00      0.00
     82.00    -32.00      0.00      0.00
     83.00    -32.00      0.00      0.00
     84.00    -32.00      0.00      0.00
     85.00    -32.00      0.00      0.00
     86.00    -32.00      0.00      0.00
     87.00    -32.00    207.99      7.02
     88.00    -32.00      0.00      0.00
     89.00    -32.00      0.00      0.00
     90.00    -32.00      0.00      0.00
     91.00    -32.00    145.01      8.92
     92.00    -32.00    133.88      6.08
     93.00    -32.00    153.51      9.47
     94.00    -32.00    129.32     20.61
     95.00    -32.00    128.68     16.38
     96.00    -32.00    130.63     17.23
     97.00    -32.00    145.05     19.38
     98.00    -32.00    145.63    111.88
     99.00    -32.00    138.82     24.57
    100.00    -32.00    349.57     79.37
    101.00    -32.00    186.21      6.34
    102.00    -32.00      0.00      0.00
    103.00    -32.00    261.55     12.76
    104.00    -32.00     49.65     26.27
    105.00    -32.00    320.07     59.87
    106.00    -32.00      0.00      0.00
    107.00    -32.00      0.00      0.00
    108.00    -32.00      0.00      0.00
    109.00    -32.00      0.00      0.00
    110.00    -32.00      0.00      0.00
    111.00    -32.00      0.00      0.00
    112.00    -32.00      0.00      0.00
    113.00    -32.00      0.00      0.00
    114.00    -32.00      0.00      0.00
    115.00    -32.00      0.00      0.00
    116.00    -32.00      0.00      0.00
    117.00    -32.00      0.00      0.00
    118.00    -32.00      0.00      0.00
    119.00    -32.00      0.00      0.00
    120.00    -32.00     11.45     21.28
    121.00    -32.00    124.30     29.67
    122.00    -32.00    126.04     34.61
    123.00    -32.00    115.01     30.09
    124.00    -32.00    112.39     33.79
    125.00    -32.00      0.00      0.00
    126.00    -32.00      0.00      0.00
     46.00    -31.00      0.00      0.00
     47.00    -31.00      0.00      0.00
     48.00    -31.00      0.00      0.00
     49.00    -31.00      0.00      0.00
     50.00    -31.00      0.00      0.00
     51.00    -31.00      0.00      0.00
     52.00    -31.00      0.00      0.00
     53.00    -31.00      0.00      0.00
     54.00    -31.00    211.25     19.19
     55.00    -31.00    256.93     55.31
     56.00    -31.00    210.06     24.71
     57.00    -31.00    202.13     19.66
     58.00    -31.00    193.92     19.45
     59.00    -31.00     37.90    100.46
     60.00    -31.00    258.70     68.56
     61.00    -31.00      0.00      0.00
     62.00    -31.00    205.51      9.45
     63.00    -31.00    207.14     11.02
     64.00    -31.00    252.57      0.61
     65.00    -31.00      0.00      0.00
     66.00    -31.00      0.00      0.00
     67.00    -31.00      0.00      0.00
     68.00    -31.00      0.00      0.00
     69.00    -31.00      0.00      0.00
     70.00    -31.00      0.00      0.00
     71.00    -31.00      0.00      0.00
     72.00    -31.00      0.00      0.00
     73.00    -31.00      0.00      0.00
     74.00    -31.00      0.00      0.00
     75.00    -31.00      0.00      0.00
     76.00    -31.00      0.00      0.00
     77.00    -31.00      0.00      0.00
     78.00    -31.00      0.00      0.00
     79.00    -31.00      0.00      0.00
     80.00    -31.00      0.00      0.00
     81.00    -31.00      0.00      0.00
     82.00    -31.00      0.00      0.00
     83.00    -31.00      0.00      0.00
     84.00    -31.00      0.00      0.00
     85.00    -31.00      0.00      0.00
     86.00    -31.00      0.00      0.00
     87.00    -31.00      0.00      0.00
     88.00    -31.00      0.00      0.00
     89.00    -31.00      0.00      0.00
     90.00    -31.00      0.00      0.00
     91.00    -31.00    132.20      6.62
     92.00    -31.00     29.05     54.72
