纬度 经度 角度(北顺) 速度(m/s) 压强(毫巴)
37.00 119.00 56.15 5.04 876.08
37.00 121.00 33.79 3.32 775.64
36.00 46.00 279.46 17.63 406.44
36.00 47.00 280.67 18.31 641.24
36.00 48.00 284.65 13.67 408.50
36.00 49.00 294.41 8.38 580.11
36.00 50.00 292.27 10.15 617.34
36.00 51.00 274.75 7.76 547.06
36.00 55.00 258.96 11.57 680.60
36.00 56.00 219.06 22.18 327.16
36.00 57.00 227.85 19.88 338.71
36.00 58.00 231.92 21.63 113.25
36.00 59.00 243.42 21.71 262.71
36.00 60.00 252.57 22.04 485.12
36.00 64.00 254.22 22.76 371.58
36.00 65.00 255.14 27.04 361.14
36.00 66.00 250.84 24.96 459.57
36.00 67.00 263.80 25.03 330.72
36.00 68.00 260.80 24.75 288.15
36.00 69.00 265.06 24.31 462.88
36.00 70.00 276.55 24.62 482.67
36.00 120.00 78.72 2.61 815.75
35.00 46.00 281.47 16.29 620.79
35.00 47.00 282.92 16.31 705.38
35.00 48.00 293.31 18.87 381.45
35.00 49.00 288.08 13.24 524.49
35.00 50.00 288.03 14.24 601.16
35.00 51.00 277.36 7.31 734.37
35.00 52.00 278.81 6.44 744.01
35.00 53.00 277.78 8.53 663.03
35.00 54.00 276.09 13.44 684.12
35.00 55.00 260.81 12.11 778.90
35.00 56.00 220.07 21.78 364.65
35.00 57.00 216.65 21.47 391.85
35.00 58.00 236.44 22.91 285.61
35.00 59.00 245.79 22.75 269.39
35.00 64.00 286.93 10.17 319.71
35.00 65.00 261.25 24.35 324.32
35.00 66.00 260.29 27.42 433.69
35.00 67.00 264.52 27.14 459.51
35.00 68.00 261.47 26.14 312.95
35.00 69.00 265.22 25.00 416.81
35.00 70.00 275.96 27.61 489.94
35.00 89.00 4.61 0.44 422.87
35.00 90.00 88.58 1.67 416.92
35.00 118.00 74.27 2.47 832.69
35.00 119.00 69.61 2.16 810.28
34.00 47.00 289.17 20.27 652.82
34.00 48.00 283.03 15.22 585.67
34.00 49.00 291.34 19.82 538.48
34.00 50.00 283.72 16.82 635.33
34.00 51.00 298.05 15.66 605.66
34.00 52.00 273.57 4.00 714.63
34.00 53.00 273.73 5.47 732.61
34.00 54.00 273.33 17.33 738.11
34.00 55.00 272.84 16.76 758.13
34.00 56.00 234.48 22.03 320.28
34.00 57.00 236.54 23.43 369.14
34.00 58.00 223.33 19.62 329.59
34.00 59.00 240.03 20.79 253.41
34.00 64.00 279.39 13.44 341.33
34.00 65.00 253.71 27.53 311.31
34.00 66.00 258.00 26.79 311.09
34.00 67.00 262.02 25.74 324.78
34.00 68.00 265.97 24.39 420.43
34.00 69.00 277.67 23.81 567.18
34.00 70.00 274.23 23.90 608.93
34.00 88.00 41.09 3.90 402.77
34.00 89.00 37.53 3.44 392.72
34.00 90.00 32.78 2.86 392.17
34.00 91.00 24.09 2.15 407.87
34.00 94.00 24.29 3.72 422.33
34.00 101.00 67.97 3.15 532.29
34.00 107.00 0.32 3.38 677.22
34.00 109.00 4.81 1.95 688.70
34.00 117.00 37.87 4.21 855.42
34.00 118.00 47.28 5.18 897.43
33.00 46.00 275.04 21.94 852.59
33.00 47.00 285.87 19.06 742.50
33.00 48.00 288.70 16.69 744.10
33.00 49.00 288.88 17.36 554.18
33.00 50.00 289.82 16.98 557.37
33.00 51.00 291.71 15.64 660.00
33.00 52.00 288.51 6.63 679.26
33.00 53.00 294.09 14.00 692.12
33.00 54.00 278.33 18.28 730.02
33.00 55.00 268.19 18.98 750.74
33.00 56.00 267.91 20.60 396.07
33.00 57.00 238.45 21.38 550.33
33.00 58.00 237.81 21.78 517.54
33.00 64.00 263.83 21.87 479.44
33.00 65.00 256.57 27.13 447.69
33.00 66.00 258.92 22.78 424.04
33.00 67.00 264.50 24.25 496.17
33.00 68.00 269.05 25.43 432.13
33.00 69.00 266.08 25.59 572.23
33.00 70.00 276.05 29.85 436.13
33.00 71.00 273.33 25.86 729.89
33.00 89.00 57.35 0.78 423.02
33.00 100.00 135.64 3.76 489.42
33.00 116.00 50.97 1.73 864.70
33.00 117.00 69.37 4.20 877.88
33.00 118.00 51.58 2.71 950.54
33.00 126.00 318.39 9.91 809.08
32.00 46.00 282.72 30.08 854.16
32.00 48.00 288.57 20.56 741.63
32.00 49.00 289.12 20.51 341.97
32.00 50.00 290.41 19.46 413.18
32.00 51.00 292.68 17.46 574.21
32.00 52.00 305.09 11.34 677.84
32.00 53.00 296.58 14.58 712.04
32.00 54.00 297.74 13.66 713.28
32.00 55.00 270.68 21.70 748.60
32.00 56.00 269.50 19.00 582.73
32.00 57.00 268.51 19.16 647.16
32.00 58.00 250.04 21.25 340.72
32.00 59.00 253.71 16.90 499.08
32.00 60.00 256.51 21.67 724.44
32.00 61.00 262.21 19.53 658.74
32.00 62.00 260.11 19.72 545.63
32.00 63.00 251.12 22.69 378.51
32.00 64.00 250.92 25.00 297.66
32.00 65.00 257.21 26.47 466.57
32.00 66.00 259.28 21.51 585.63
32.00 67.00 256.59 22.27 449.34
32.00 68.00 261.64 22.48 535.22
32.00 69.00 266.82 25.48 470.43
32.00 70.00 276.74 29.10 568.02
32.00 71.00 273.60 30.52 540.24
32.00 90.00 43.41 0.40 387.28
32.00 116.00 56.29 3.30 922.33
32.00 117.00 47.40 3.27 942.46
32.00 119.00 46.16 3.93 981.71
32.00 126.00 322.29 15.01 816.97
31.00 49.00 291.57 18.15 872.87
31.00 50.00 289.70 20.35 746.35
31.00 51.00 297.74 14.14 650.99
31.00 52.00 305.72 11.06 597.50
31.00 53.00 307.08 10.50 687.41
31.00 54.00 300.25 12.26 685.51
31.00 55.00 304.83 16.47 702.57
31.00 56.00 269.16 20.05 448.59
31.00 57.00 268.00 19.60 459.94
31.00 58.00 255.80 17.87 517.17
31.00 59.00 251.98 16.29 779.74
31.00 60.00 263.87 20.76 750.03
31.00 61.00 255.65 23.95 741.86
31.00 62.00 253.43 23.67 673.43
31.00 63.00 250.39 22.93 316.07
31.00 64.00 257.31 24.35 537.43
31.00 65.00 255.62 25.49 680.36
31.00 66.00 258.92 22.94 457.74
31.00 67.00 263.84 23.11 512.03
31.00 68.00 260.41 22.66 528.74
31.00 69.00 265.48 24.97 519.56
31.00 70.00 275.35 30.81 656.61
31.00 71.00 272.53 28.61 641.44
31.00 115.00 61.55 2.35 870.22
31.00 116.00 62.65 3.53 798.41
31.00 117.00 59.41 3.97 838.06
31.00 118.00 50.77 3.71 974.66
31.00 119.00 27.22 2.98 1000.00
31.00 122.00 42.93 4.02 1000.00
31.00 126.00 318.01 15.86 824.44
30.00 50.00 297.61 12.29 879.29
30.00 51.00 305.86 9.53 807.87
30.00 52.00 306.10 9.31 646.79
30.00 54.00 268.18 19.89 662.34
30.00 55.00 300.72 16.23 469.54
30.00 56.00 297.37 9.64 477.31
30.00 57.00 300.55 14.60 396.99
30.00 60.00 269.53 22.85 757.70
30.00 61.00 249.05 28.39 752.52
30.00 62.00 246.49 27.73 655.28
30.00 63.00 255.26 22.51 637.66
30.00 64.00 255.86 26.68 620.88
30.00 65.00 253.85 27.26 447.85
30.00 66.00 263.88 24.13 470.75
30.00 67.00 261.99 26.57 549.22
30.00 68.00 256.80 22.60 391.81
30.00 69.00 269.25 24.46 589.06
30.00 70.00 266.03 25.38 646.67
30.00 71.00 269.68 29.33 685.45
30.00 100.00 59.55 3.92 452.25
30.00 101.00 6.83 4.09 516.24
30.00 102.00 2.76 5.92 431.99
30.00 113.00 2.52 2.14 888.12
30.00 114.00 50.54 4.39 903.51
30.00 115.00 33.99 4.15 933.21
30.00 116.00 78.27 2.63 933.86
30.00 117.00 74.05 3.58 949.82
30.00 118.00 69.12 3.74 725.44
30.00 119.00 59.15 3.10 704.02
30.00 120.00 68.01 5.01 964.34
30.00 121.00 43.86 2.73 984.14
30.00 123.00 0.11 9.21 921.71
30.00 126.00 321.66 14.40 559.88
29.00 46.00 274.53 3.30 801.16
29.00 51.00 287.00 14.14 855.85
29.00 52.00 287.33 13.25 680.85
29.00 53.00 299.23 14.27 530.97
29.00 54.00 272.23 21.61 522.83
29.00 60.00 297.35 14.78 667.39
29.00 63.00 254.46 28.18 309.82
29.00 64.00 257.45 25.46 392.69
29.00 65.00 262.05 25.41 298.38
29.00 66.00 259.05 24.76 603.18
29.00 67.00 264.02 26.77 580.90
29.00 68.00 258.84 22.11 691.97
29.00 69.00 271.20 26.62 725.12
29.00 70.00 268.05 26.86 791.53
29.00 92.00 41.01 1.08 541.91
29.00 98.00 24.29 2.36 574.89
29.00 99.00 66.35 2.04 585.76
29.00 100.00 48.03 4.19 554.88
29.00 101.00 9.39 1.44 574.21
29.00 102.00 11.80 3.33 549.14
29.00 103.00 65.00 3.50 567.96
29.00 114.00 49.84 1.02 854.81
29.00 115.00 70.15 4.00 839.29
29.00 116.00 53.37 3.15 936.18
29.00 117.00 59.15 4.68 853.94
29.00 118.00 58.89 5.45 731.13
29.00 119.00 54.67 5.46 957.23
29.00 121.00 84.19 3.33 965.27
29.00 126.00 318.97 12.94 588.30
28.00 52.00 293.32 11.62 367.69
28.00 53.00 297.02 9.35 611.17
28.00 54.00 294.06 9.66 769.76
28.00 55.00 264.32 20.58 741.65
28.00 60.00 292.43 9.89 478.20
28.00 61.00 296.10 21.93 533.83
28.00 62.00 303.17 21.85 628.10
28.00 63.00 259.51 23.93 299.74
28.00 64.00 265.39 27.19 369.02
28.00 65.00 262.76 26.36 405.43
28.00 66.00 259.54 25.12 626.98
28.00 67.00 264.12 26.56 677.51
28.00 68.00 260.21 24.34 822.09
28.00 98.00 47.08 2.84 476.77
28.00 99.00 39.94 0.96 512.43
28.00 100.00 41.50 3.62 485.99
28.00 101.00 67.97 3.42 688.48
28.00 102.00 20.98 3.39 632.85
28.00 103.00 39.61 1.94 598.83
28.00 114.00 62.03 2.35 879.64
28.00 115.00 50.74 2.82 885.77
28.00 116.00 31.08 2.84 772.69
28.00 117.00 50.09 4.61 744.47
28.00 118.00 86.89 3.36 960.68
28.00 119.00 81.29 3.70 934.75
28.00 120.00 74.63 3.14 969.97
28.00 122.00 0.37 4.69 1000.00
28.00 126.00 324.32 13.46 634.98
27.00 52.00 287.41 15.94 769.47
27.00 54.00 273.36 25.68 783.68
27.00 55.00 279.10 25.97 726.22
27.00 56.00 271.09 22.41 633.81
27.00 60.00 302.95 12.05 824.84
27.00 61.00 297.00 12.54 629.81
27.00 62.00 299.56 9.51 646.56
27.00 63.00 294.60 8.81 466.13
27.00 64.00 306.56 15.27 363.60
27.00 65.00 261.57 26.86 706.29
27.00 66.00 258.01 25.13 949.21
27.00 67.00 262.40 25.95 848.78
27.00 68.00 257.85 23.28 827.09
27.00 87.00 65.21 2.25 762.35
27.00 88.00 20.04 0.98 690.91
27.00 89.00 65.14 1.58 720.91
27.00 100.00 36.14 2.18 647.53
27.00 101.00 81.30 2.67 639.37
27.00 102.00 30.01 2.56 704.13
27.00 103.00 71.30 1.92 617.75
27.00 104.00 49.99 3.47 591.10
27.00 114.00 73.73 2.63 907.76
27.00 115.00 65.42 3.50 998.83
27.00 120.00 16.09 7.87 734.21
27.00 121.00 7.34 7.95 1000.00
27.00 126.00 276.14 28.61 628.17
26.00 46.00 292.01 3.93 735.94
26.00 53.00 279.97 23.00 728.87
26.00 54.00 278.18 25.79 714.25
26.00 55.00 277.41 23.97 746.12
26.00 56.00 275.96 24.92 783.43
26.00 57.00 274.87 21.45 680.95
26.00 58.00 273.23 17.29 686.37
26.00 61.00 278.22 8.77 663.26
26.00 62.00 289.57 10.12 564.23
26.00 63.00 284.97 9.07 407.68
26.00 67.00 295.83 0.85 857.10
26.00 68.00 332.84 2.45 854.08
26.00 100.00 46.46 4.63 679.03
26.00 101.00 51.39 2.99 723.27
26.00 102.00 62.42 0.98 720.44
26.00 104.00 22.90 0.67 611.45
26.00 116.00 16.51 4.56 669.01
26.00 117.00 8.63 5.09 601.41
26.00 118.00 29.78 6.47 633.08
26.00 120.00 14.22 10.33 583.33
26.00 126.00 314.95 14.69 462.17
25.00 46.00 288.75 1.10 743.11
25.00 52.00 277.71 21.32 793.56
25.00 68.00 319.50 3.93 860.64
25.00 69.00 320.95 1.80 774.09
25.00 70.00 314.74 4.17 727.10
25.00 100.00 66.54 1.61 737.07
25.00 101.00 30.85 3.01 706.74
25.00 113.00 51.72 5.14 648.29
25.00 114.00 67.85 2.25 617.38
25.00 120.00 3.28 8.28 677.62
25.00 126.00 345.21 6.99 489.35
24.00 46.00 301.93 3.64 758.69
24.00 53.00 287.16 21.34 748.78
24.00 54.00 286.90 19.45 603.62
24.00 55.00 284.51 20.22 691.43
24.00 115.00 7.27 5.63 961.70
24.00 117.00 24.42 4.32 619.52
24.00 126.00 308.92 11.80 497.85
23.00 54.00 286.88 20.05 636.89
23.00 113.00 47.28 5.06 1000.00
23.00 114.00 40.25 5.85 1000.00
23.00 115.00 28.89 6.22 679.20
23.00 119.00 57.05 4.05 866.03
23.00 121.00 80.04 1.37 593.78
23.00 123.00 14.90 4.70 534.41
23.00 126.00 310.48 7.98 501.69
22.00 52.00 292.77 17.06 793.84
22.00 111.00 78.25 0.93 642.21
22.00 115.00 9.67 4.71 642.73
22.00 116.00 2.39 8.80 606.36
22.00 117.00 2.18 3.29 640.35
22.00 118.00 47.09 6.08 647.05
22.00 119.00 40.09 6.45 910.70
22.00 120.00 26.29 6.34 717.87
22.00 126.00 305.88 8.89 539.53
21.00 117.00 26.72 5.82 587.50
21.00 119.00 37.08 4.76 581.71
21.00 126.00 295.74 10.56 575.53
20.00 113.00 10.53 8.36 612.53
20.00 116.00 16.18 8.92 604.54
20.00 117.00 32.57 7.66 607.79
20.00 118.00 37.13 9.35 647.79
20.00 119.00 16.69 5.48 727.29
20.00 126.00 310.13 5.98 862.26
19.00 104.00 55.00 1.22 753.37
19.00 105.00 39.38 3.21 678.63
19.00 106.00 60.97 2.37 694.10
19.00 112.00 45.00 5.79 587.74
19.00 113.00 24.61 9.39 588.04
19.00 114.00 13.10 6.89 607.14
19.00 115.00 17.70 8.34 602.09
19.00 116.00 16.09 9.48 646.28
19.00 117.00 49.31 10.94 649.96
19.00 126.00 282.64 9.43 612.22
18.00 62.00 11.85 5.52 866.31
18.00 105.00 16.14 1.86 794.91
18.00 106.00 62.37 1.09 667.89
18.00 107.00 30.38 2.57 753.90
18.00 112.00 27.50 4.32 751.14
18.00 113.00 28.30 12.92 680.78
18.00 114.00 38.70 12.35 799.52
18.00 116.00 38.69 15.63 728.45
18.00 117.00 47.98 10.79 738.41
18.00 121.00 34.02 2.68 731.80
18.00 122.00 34.67 7.71 805.14
17.00 106.00 51.04 3.73 789.73
17.00 107.00 70.71 3.35 599.24
17.00 108.00 49.82 4.32 572.79
17.00 113.00 33.43 12.69 722.48
17.00 117.00 45.50 9.71 770.36
17.00 122.00 5.81 3.28 689.89
17.00 123.00 17.87 7.79 649.72
17.00 124.00 16.42 8.78 735.34
17.00 125.00 36.05 7.79 772.63
17.00 126.00 41.36 9.66 722.72
16.00 99.00 205.21 1.67 696.90
16.00 106.00 51.06 1.05 784.99
16.00 107.00 36.88 3.08 680.58
16.00 123.00 19.22 7.51 693.89
15.00 103.00 210.77 18.90 791.92
15.00 106.00 49.32 2.28 563.41
15.00 122.00 27.80 9.22 746.54
15.00 123.00 55.77 11.40 794.62
14.00 103.00 216.96 16.23 705.23
14.00 104.00 206.63 15.56 650.55
14.00 105.00 197.37 15.60 642.64
14.00 106.00 200.72 17.01 517.13
14.00 107.00 208.69 15.98 574.86
14.00 108.00 209.12 13.92 596.69
14.00 109.00 207.35 15.01 526.33
14.00 110.00 203.09 9.33 568.55
14.00 113.00 239.09 6.89 745.26
14.00 116.00 215.08 13.20 647.05
14.00 119.00 40.45 7.52 708.18
14.00 122.00 16.31 7.13 725.51
13.00 96.00 174.02 81.94 591.35
13.00 97.00 202.24 6.58 266.85
13.00 98.00 220.67 8.74 496.49
13.00 99.00 205.28 8.03 710.85
13.00 100.00 203.31 11.80 745.69
13.00 101.00 203.77 15.82 631.77
13.00 102.00 191.10 9.56 678.03
13.00 103.00 198.94 13.88 415.31
13.00 104.00 185.41 14.03 435.41
13.00 105.00 187.07 12.03 678.62
13.00 106.00 190.88 13.13 504.95
13.00 107.00 199.15 11.59 525.22
13.00 108.00 200.23 6.48 565.13
13.00 109.00 195.32 7.42 460.32
13.00 110.00 200.86 5.69 601.52
13.00 112.00 213.90 9.27 528.05
13.00 113.00 231.58 9.64 708.79
12.00 80.00 32.99 3.93 715.78
12.00 87.00 198.51 10.65 442.75
12.00 89.00 210.64 5.19 676.26
12.00 96.00 175.30 3.59 194.41
12.00 97.00 209.52 4.65 240.43
12.00 98.00 215.73 9.18 522.79
12.00 99.00 199.25 8.50 761.02
12.00 100.00 183.74 11.56 683.11
12.00 101.00 190.61 9.45 571.66
12.00 102.00 198.62 10.55 780.43
12.00 103.00 192.90 11.02 621.58
12.00 104.00 189.01 14.62 512.11
12.00 105.00 190.00 12.55 486.78
12.00 106.00 194.27 10.64 423.74
12.00 107.00 203.79 9.08 372.10
12.00 108.00 158.40 3.61 420.22
12.00 109.00 155.71 4.75 632.02
12.00 116.00 70.27 7.32 713.72
11.00 81.00 43.31 2.99 645.23
11.00 89.00 198.85 6.22 786.83
11.00 90.00 205.91 6.68 807.09
11.00 94.00 146.84 1.46 483.85
11.00 96.00 181.93 4.84 669.60
11.00 97.00 175.32 5.28 708.10
11.00 98.00 201.17 6.16 706.95
11.00 99.00 166.88 3.45 739.17
11.00 100.00 178.51 6.81 296.01
11.00 101.00 162.77 7.72 436.91
11.00 102.00 173.14 8.10 278.36
11.00 103.00 157.69 6.27 196.92
11.00 104.00 179.52 6.56 697.56
11.00 105.00 196.80 10.69 272.11
11.00 106.00 179.21 5.21 227.67
11.00 107.00 141.45 3.94 265.01
11.00 108.00 168.05 4.08 590.82
11.00 109.00 160.57 5.18 636.26
11.00 110.00 142.78 3.63 724.05
11.00 111.00 168.79 6.95 667.52
11.00 113.00 165.83 6.14 406.91
11.00 115.00 85.27 9.30 599.05
10.00 89.00 190.59 7.75 342.91
10.00 94.00 90.50 2.58 740.30
10.00 95.00 161.99 3.36 518.63
10.00 96.00 97.38 5.13 674.21
10.00 97.00 178.50 3.95 621.38
10.00 100.00 146.31 6.37 344.91
10.00 101.00 134.09 4.28 271.33
10.00 102.00 125.18 6.11 541.48
10.00 103.00 139.97 5.44 436.80
10.00 104.00 136.89 6.56 434.79
10.00 105.00 137.88 7.37 298.69
10.00 106.00 149.64 3.90 303.65
10.00 107.00 104.70 4.71 520.69
10.00 111.00 172.10 7.59 725.41
10.00 112.00 180.52 8.46 714.19
10.00 113.00 165.75 6.68 532.16
10.00 114.00 126.79 7.42 517.51
9.00 79.00 172.17 13.52 634.54
9.00 83.00 172.04 9.84 766.28
9.00 89.00 192.11 4.04 332.46
9.00 95.00 111.32 6.14 452.55
9.00 96.00 109.74 7.50 156.76
9.00 97.00 109.44 8.63 461.00
9.00 101.00 145.42 5.66 410.77
9.00 105.00 143.09 5.10 518.03
9.00 106.00 146.20 5.69 494.86
9.00 109.00 112.51 10.15 343.08
9.00 110.00 124.13 8.36 280.51
9.00 111.00 128.50 8.82 289.75
9.00 112.00 138.73 4.66 183.32
9.00 113.00 132.37 6.42 229.73
9.00 114.00 132.77 7.65 729.91
9.00 116.00 129.61 6.52 712.22
9.00 122.00 134.65 10.47 718.69
9.00 124.00 140.05 12.53 698.55
9.00 125.00 59.54 7.72 630.90
8.00 71.00 35.67 5.23 552.53
8.00 78.00 155.35 17.41 698.42
8.00 79.00 165.90 13.13 385.72
8.00 88.00 121.70 6.36 514.81
8.00 89.00 144.36 4.21 328.80
8.00 94.00 116.49 9.32 659.64
8.00 95.00 102.25 7.52 693.52
8.00 100.00 134.92 4.70 466.90
8.00 101.00 140.07 4.90 670.19
8.00 103.00 136.99 6.42 427.40
8.00 106.00 94.85 7.31 581.05
8.00 107.00 99.81 7.14 317.05
8.00 108.00 101.09 9.44 281.37
8.00 109.00 102.68 11.15 107.91
8.00 110.00 91.26 12.03 161.56
8.00 111.00 96.29 9.10 149.69
8.00 112.00 101.53 8.66 255.23
8.00 113.00 158.31 8.97 97.05
8.00 116.00 138.98 6.60 630.96
8.00 118.00 133.33 9.73 732.48
8.00 121.00 119.76 13.03 591.06
8.00 122.00 122.38 13.88 433.93
8.00 123.00 127.00 9.27 464.34
8.00 124.00 136.86 13.02 697.31
8.00 126.00 88.82 6.40 696.69
7.00 87.00 109.98 8.94 289.04
7.00 88.00 95.61 2.88 170.51
7.00 89.00 166.36 0.35 331.34
7.00 94.00 98.33 6.91 352.71
7.00 95.00 114.68 9.62 634.87
7.00 96.00 112.14 11.28 668.00
7.00 97.00 116.63 10.11 322.01
7.00 98.00 123.57 8.75 522.15
7.00 100.00 134.77 7.86 689.50
7.00 102.00 112.96 8.88 539.86
7.00 105.00 105.85 7.33 542.48
7.00 106.00 103.11 10.90 398.86
7.00 107.00 90.86 10.71 491.15
7.00 108.00 94.05 10.06 347.12
7.00 109.00 96.09 11.89 229.30
7.00 110.00 100.87 9.94 195.12
7.00 111.00 110.02 7.36 208.74
7.00 112.00 92.66 6.70 337.52
7.00 113.00 126.18 6.52 286.39
7.00 114.00 145.52 5.55 216.00
7.00 115.00 146.50 6.34 628.23
7.00 116.00 114.96 7.31 444.72
7.00 117.00 113.69 9.48 371.52
7.00 118.00 128.72 16.48 589.10
7.00 120.00 109.52 9.81 735.84
7.00 121.00 123.29 12.73 578.35
7.00 122.00 124.95 13.67 183.61
7.00 123.00 111.78 7.89 224.24
7.00 124.00 143.24 8.46 430.94
7.00 125.00 127.42 7.78 656.33
7.00 126.00 135.04 7.99 618.56
6.00 88.00 94.51 3.09 262.69
6.00 89.00 95.11 3.25 506.41
6.00 90.00 96.18 3.33 637.42
6.00 91.00 97.82 3.32 480.49
6.00 94.00 96.17 7.97 682.00
6.00 95.00 111.02 10.70 233.06
6.00 96.00 114.22 9.87 428.49
6.00 97.00 111.99 11.42 332.05
6.00 98.00 126.63 7.64 701.51
6.00 99.00 124.41 8.55 495.50
6.00 100.00 123.99 9.18 748.34
6.00 101.00 116.94 11.99 383.50
6.00 102.00 105.73 10.93 607.44
6.00 103.00 108.80 10.34 554.49
6.00 104.00 94.36 11.69 511.48
6.00 105.00 97.53 9.97 450.56
6.00 106.00 99.30 10.71 412.17
6.00 107.00 101.55 10.88 612.54
6.00 108.00 104.68 10.47 385.91
6.00 109.00 91.37 12.21 354.12
6.00 110.00 94.52 10.34 492.29
6.00 111.00 97.04 10.93 246.44
6.00 112.00 104.61 7.60 598.09
6.00 113.00 104.41 9.91 253.14
6.00 114.00 93.12 4.52 115.60
6.00 115.00 118.30 1.86 573.32
6.00 117.00 101.21 10.56 578.41
6.00 118.00 121.62 5.30 146.63
6.00 119.00 112.30 8.99 632.83
6.00 120.00 118.72 8.56 629.13
6.00 121.00 110.01 13.91 210.22
6.00 122.00 121.69 15.96 118.55
6.00 123.00 138.39 8.47 131.72
6.00 124.00 151.91 8.08 235.50
6.00 126.00 135.61 12.09 705.42
5.00 63.00 40.25 3.69 591.24
5.00 82.00 143.20 7.71 477.51
5.00 83.00 129.13 9.65 432.25
5.00 84.00 141.09 7.75 204.15
5.00 89.00 56.35 4.27 267.43
5.00 90.00 97.37 3.77 270.00
5.00 91.00 71.45 7.03 607.73
5.00 92.00 72.13 6.97 700.84
5.00 95.00 95.40 11.13 540.39
5.00 96.00 96.81 10.31 545.62
5.00 97.00 115.01 9.98 414.91
5.00 98.00 124.84 12.67 249.79
5.00 99.00 131.11 11.38 385.04
5.00 100.00 127.57 8.09 464.57
5.00 101.00 127.89 8.48 257.47
5.00 102.00 130.12 8.53 244.98
5.00 103.00 116.63 6.67 690.59
5.00 105.00 95.06 9.29 622.50
5.00 106.00 99.65 7.10 588.07
