(38.865, 36.325)	(38.974, 36.317)	(39.083, 36.308)	(39.192, 36.300)	(39.300, 36.292)	(39.408, 36.284)	(39.515, 36.276)	(39.622, 36.268)	(39.729, 36.260)	(39.835, 36.252)	(39.941, 36.244)	(40.047, 36.236)	(40.152, 36.228)	(40.257, 36.220)	(40.362, 36.213)	(40.466, 36.205)	(40.570, 36.197)	(40.674, 36.190)	(40.777, 36.182)	(40.880, 36.174)	(40.983, 36.167)	(41.085, 36.159)	(41.187, 36.152)	(41.289, 36.144)	(41.390, 36.137)	(41.491, 36.130)	(41.592, 36.122)	(41.693, 36.115)	(41.793, 36.108)	(41.893, 36.101)	(41.992, 36.093)	(42.092, 36.086)	(42.191, 36.079)	(42.290, 36.072)	(42.388, 36.065)	(42.487, 36.058)	(42.585, 36.051)	(42.682, 36.044)	(42.780, 36.037)	(42.877, 36.030)	(42.974, 36.023)	(43.071, 36.016)	(43.167, 36.009)	(43.263, 36.003)	(43.359, 35.996)	(43.455, 35.989)	(43.550, 35.982)	(43.645, 35.976)	(43.740, 35.969)	(43.835, 35.962)	(43.929, 35.956)	(44.024, 35.949)	(44.118, 35.943)	(44.211, 35.936)	(44.305, 35.930)	(44.398, 35.923)	(44.491, 35.917)	(44.584, 35.910)	(44.676, 35.904)	(44.769, 35.898)	(44.861, 35.891)	(44.953, 35.885)	(45.045, 35.879)	(45.136, 35.873)	(45.227, 35.866)	(45.318, 35.860)	(45.409, 35.854)	(45.500, 35.848)	(45.590, 35.842)	(45.681, 35.836)	(45.771, 35.830)	(45.860, 35.823)	(45.950, 35.817)	(46.040, 35.811)	(46.129, 35.805)	(46.218, 35.800)	(46.307, 35.794)	(46.395, 35.788)	(46.484, 35.782)	(46.572, 35.776)	(46.660, 35.770)	(46.748, 35.764)	(46.836, 35.759)	(46.923, 35.753)	(47.010, 35.747)	(47.098, 35.741)	(47.185, 35.736)	(47.271, 35.730)	(47.358, 35.724)	(47.444, 35.719)	(47.531, 35.713)	(47.617, 35.707)	(47.703, 35.702)	(47.788, 35.696)	(47.874, 35.691)	(47.959, 35.685)	(48.045, 35.680)	(48.130, 35.674)	(48.215, 35.669)	(48.299, 35.663)	
(39.591, 35.570)	(39.697, 35.562)	(39.802, 35.554)	(39.907, 35.547)	(40.012, 35.539)	(40.116, 35.531)	(40.220, 35.524)	(40.323, 35.516)	(40.426, 35.509)	(40.529, 35.501)	(40.632, 35.494)	(40.734, 35.486)	(40.836, 35.479)	(40.938, 35.472)	(41.039, 35.464)	(41.140, 35.457)	(41.241, 35.450)	(41.341, 35.443)	(41.441, 35.435)	(41.541, 35.428)	(41.641, 35.421)	(41.740, 35.414)	(41.839, 35.407)	(41.937, 35.400)	(42.036, 35.393)	(42.134, 35.386)	(42.232, 35.379)	(42.329, 35.372)	(42.427, 35.366)	(42.524, 35.359)	(42.621, 35.352)	(42.717, 35.345)	(42.813, 35.338)	(42.909, 35.332)	(43.005, 35.325)	(43.101, 35.318)	(43.196, 35.312)	(43.291, 35.305)	(43.386, 35.299)	(43.480, 35.292)	(43.575, 35.286)	(43.669, 35.279)	(43.762, 35.273)	(43.856, 35.266)	(43.949, 35.260)	(44.042, 35.253)	(44.135, 35.247)	(44.228, 35.241)	(44.320, 35.234)	(44.413, 35.228)	(44.505, 35.222)	(44.596, 35.216)	(44.688, 35.210)	(44.779, 35.203)	(44.870, 35.197)	(44.961, 35.191)	(45.052, 35.185)	(45.142, 35.179)	(45.233, 35.173)	(45.323, 35.167)	(45.413, 35.161)	(45.502, 35.155)	(45.592, 35.149)	(45.681, 35.143)	(45.770, 35.137)	(45.859, 35.131)	(45.947, 35.126)	(46.036, 35.120)	(46.124, 35.114)	(46.212, 35.108)	(46.300, 35.102)	(46.388, 35.097)	(46.475, 35.091)	(46.563, 35.085)	(46.650, 35.080)	(46.737, 35.074)	(46.824, 35.068)	(46.910, 35.063)	(46.997, 35.057)	(47.083, 35.052)	(47.169, 35.046)	(47.255, 35.040)	(47.340, 35.035)	(47.426, 35.029)	(47.511, 35.024)	(47.597, 35.019)	(47.682, 35.013)	(47.767, 35.008)	(47.851, 35.002)	(47.936, 34.997)	(48.020, 34.992)	(48.104, 34.986)	(48.188, 34.981)	(48.272, 34.976)	(48.356, 34.971)	(48.440, 34.965)	(48.523, 34.960)	(48.606, 34.955)	(48.689, 34.950)	(48.772, 34.945)	
(39.655, 35.502)	(39.760, 35.494)	(39.865, 35.486)	(39.969, 35.479)	(40.074, 35.471)	(40.178, 35.464)	(40.281, 35.456)	(40.384, 35.449)	(40.487, 35.441)	(40.590, 35.434)	(40.692, 35.426)	(40.794, 35.419)	(40.896, 35.412)	(40.997, 35.404)	(41.098, 35.397)	(41.199, 35.390)	(41.299, 35.383)	(41.399, 35.375)	(41.499, 35.368)	(41.599, 35.361)	(41.698, 35.354)	(41.797, 35.347)	(41.896, 35.340)	(41.994, 35.333)	(42.092, 35.326)	(42.190, 35.319)	(42.288, 35.312)	(42.385, 35.306)	(42.482, 35.299)	(42.579, 35.292)	(42.676, 35.285)	(42.772, 35.278)	(42.868, 35.272)	(42.964, 35.265)	(43.059, 35.258)	(43.155, 35.252)	(43.250, 35.245)	(43.344, 35.239)	(43.439, 35.232)	(43.533, 35.226)	(43.627, 35.219)	(43.721, 35.213)	(43.815, 35.206)	(43.908, 35.200)	(44.001, 35.194)	(44.094, 35.187)	(44.187, 35.181)	(44.279, 35.175)	(44.371, 35.168)	(44.463, 35.162)	(44.555, 35.156)	(44.647, 35.150)	(44.738, 35.144)	(44.829, 35.137)	(44.920, 35.131)	(45.011, 35.125)	(45.101, 35.119)	(45.191, 35.113)	(45.281, 35.107)	(45.371, 35.101)	(45.461, 35.095)	(45.550, 35.089)	(45.640, 35.083)	(45.729, 35.077)	(45.818, 35.072)	(45.906, 35.066)	(45.995, 35.060)	(46.083, 35.054)	(46.171, 35.048)	(46.259, 35.043)	(46.347, 35.037)	(46.434, 35.031)	(46.522, 35.025)	(46.609, 35.020)	(46.696, 35.014)	(46.782, 35.009)	(46.869, 35.003)	(46.955, 34.997)	(47.042, 34.992)	(47.128, 34.986)	(47.214, 34.981)	(47.299, 34.975)	(47.385, 34.970)	(47.470, 34.964)	(47.555, 34.959)	(47.641, 34.953)	(47.725, 34.948)	(47.810, 34.943)	(47.895, 34.937)	(47.979, 34.932)	(48.063, 34.927)	(48.147, 34.921)	(48.231, 34.916)	(48.315, 34.911)	(48.398, 34.906)	(48.482, 34.900)	(48.565, 34.895)	(48.648, 34.890)	(48.731, 34.885)	(48.814, 34.880)	
(39.718, 35.434)	(39.823, 35.426)	(39.927, 35.419)	(40.032, 35.411)	(40.135, 35.404)	(40.239, 35.396)	(40.342, 35.388)	(40.445, 35.381)	(40.548, 35.374)	(40.650, 35.366)	(40.752, 35.359)	(40.854, 35.352)	(40.955, 35.344)	(41.056, 35.337)	(41.157, 35.330)	(41.257, 35.323)	(41.358, 35.315)	(41.458, 35.308)	(41.557, 35.301)	(41.656, 35.294)	(41.755, 35.287)	(41.854, 35.280)	(41.953, 35.273)	(42.051, 35.266)	(42.149, 35.259)	(42.246, 35.252)	(42.344, 35.246)	(42.441, 35.239)	(42.538, 35.232)	(42.634, 35.225)	(42.730, 35.218)	(42.826, 35.212)	(42.922, 35.205)	(43.018, 35.199)	(43.113, 35.192)	(43.208, 35.185)	(43.303, 35.179)	(43.397, 35.172)	(43.492, 35.166)	(43.586, 35.159)	(43.680, 35.153)	(43.773, 35.146)	(43.867, 35.140)	(43.960, 35.134)	(44.053, 35.127)	(44.145, 35.121)	(44.238, 35.115)	(44.330, 35.109)	(44.422, 35.102)	(44.514, 35.096)	(44.605, 35.090)	(44.697, 35.084)	(44.788, 35.078)	(44.879, 35.072)	(44.969, 35.065)	(45.060, 35.059)	(45.150, 35.053)	(45.240, 35.047)	(45.330, 35.041)	(45.420, 35.035)	(45.509, 35.029)	(45.598, 35.024)	(45.688, 35.018)	(45.776, 35.012)	(45.865, 35.006)	(45.954, 35.000)	(46.042, 34.994)	(46.130, 34.989)	(46.218, 34.983)	(46.305, 34.977)	(46.393, 34.971)	(46.480, 34.966)	(46.567, 34.960)	(46.654, 34.954)	(46.741, 34.949)	(46.828, 34.943)	(46.914, 34.938)	(47.000, 34.932)	(47.087, 34.927)	(47.172, 34.921)	(47.258, 34.916)	(47.344, 34.910)	(47.429, 34.905)	(47.514, 34.899)	(47.599, 34.894)	(47.684, 34.888)	(47.769, 34.883)	(47.853, 34.878)	(47.938, 34.872)	(48.022, 34.867)	(48.106, 34.862)	(48.190, 34.857)	(48.274, 34.851)	(48.357, 34.846)	(48.441, 34.841)	(48.524, 34.836)	(48.607, 34.830)	(48.690, 34.825)	(48.773, 34.820)	(48.855, 34.815)	
(39.780, 35.366)	(39.885, 35.359)	(39.989, 35.351)	(40.093, 35.344)	(40.197, 35.336)	(40.300, 35.329)	(40.403, 35.321)	(40.506, 35.314)	(40.608, 35.306)	(40.710, 35.299)	(40.812, 35.292)	(40.913, 35.284)	(41.014, 35.277)	(41.115, 35.270)	(41.216, 35.263)	(41.316, 35.255)	(41.416, 35.248)	(41.515, 35.241)	(41.615, 35.234)	(41.714, 35.227)	(41.812, 35.220)	(41.911, 35.213)	(42.009, 35.206)	(42.107, 35.199)	(42.205, 35.193)	(42.302, 35.186)	(42.399, 35.179)	(42.496, 35.172)	(42.592, 35.165)	(42.689, 35.159)	(42.785, 35.152)	(42.881, 35.145)	(42.976, 35.139)	(43.071, 35.132)	(43.167, 35.125)	(43.261, 35.119)	(43.356, 35.112)	(43.450, 35.106)	(43.544, 35.099)	(43.638, 35.093)	(43.732, 35.087)	(43.825, 35.080)	(43.918, 35.074)	(44.011, 35.068)	(44.104, 35.061)	(44.196, 35.055)	(44.289, 35.049)	(44.381, 35.043)	(44.472, 35.036)	(44.564, 35.030)	(44.655, 35.024)	(44.746, 35.018)	(44.837, 35.012)	(44.928, 35.006)	(45.018, 35.000)	(45.109, 34.994)	(45.199, 34.988)	(45.289, 34.982)	(45.378, 34.976)	(45.468, 34.970)	(45.557, 34.964)	(45.646, 34.958)	(45.735, 34.952)	(45.824, 34.946)	(45.912, 34.940)	(46.000, 34.935)	(46.089, 34.929)	(46.176, 34.923)	(46.264, 34.917)	(46.352, 34.912)	(46.439, 34.906)	(46.526, 34.900)	(46.613, 34.895)	(46.700, 34.889)	(46.787, 34.884)	(46.873, 34.878)	(46.959, 34.872)	(47.045, 34.867)	(47.131, 34.861)	(47.217, 34.856)	(47.302, 34.850)	(47.388, 34.845)	(47.473, 34.840)	(47.558, 34.834)	(47.643, 34.829)	(47.728, 34.823)	(47.812, 34.818)	(47.897, 34.813)	(47.981, 34.808)	(48.065, 34.802)	(48.149, 34.797)	(48.232, 34.792)	(48.316, 34.787)	(48.399, 34.781)	(48.483, 34.776)	(48.566, 34.771)	(48.649, 34.766)	(48.731, 34.761)	(48.814, 34.756)	(48.896, 34.750)	
(39.843, 35.299)	(39.947, 35.291)	(40.051, 35.284)	(40.155, 35.276)	(40.258, 35.269)	(40.361, 35.261)	(40.464, 35.254)	(40.566, 35.246)	(40.668, 35.239)	(40.770, 35.232)	(40.871, 35.224)	(40.972, 35.217)	(41.073, 35.210)	(41.173, 35.203)	(41.274, 35.196)	(41.374, 35.188)	(41.473, 35.181)	(41.573, 35.174)	(41.672, 35.167)	(41.770, 35.160)	(41.869, 35.153)	(41.967, 35.146)	(42.065, 35.140)	(42.163, 35.133)	(42.260, 35.126)	(42.357, 35.119)	(42.454, 35.112)	(42.551, 35.106)	(42.647, 35.099)	(42.743, 35.092)	(42.839, 35.086)	(42.934, 35.079)	(43.030, 35.072)	(43.125, 35.066)	(43.220, 35.059)	(43.314, 35.053)	(43.409, 35.046)	(43.503, 35.040)	(43.597, 35.033)	(43.690, 35.027)	(43.784, 35.021)	(43.877, 35.014)	(43.970, 35.008)	(44.062, 35.002)	(44.155, 34.995)	(44.247, 34.989)	(44.339, 34.983)	(44.431, 34.977)	(44.522, 34.970)	(44.614, 34.964)	(44.705, 34.958)	(44.796, 34.952)	(44.887, 34.946)	(44.977, 34.940)	(45.067, 34.934)	(45.157, 34.928)	(45.247, 34.922)	(45.337, 34.916)	(45.426, 34.910)	(45.516, 34.904)	(45.605, 34.898)	(45.694, 34.893)	(45.782, 34.887)	(45.871, 34.881)	(45.959, 34.875)	(46.047, 34.869)	(46.135, 34.864)	(46.223, 34.858)	(46.310, 34.852)	(46.398, 34.847)	(46.485, 34.841)	(46.572, 34.835)	(46.659, 34.830)	(46.745, 34.824)	(46.832, 34.818)	(46.918, 34.813)	(47.004, 34.807)	(47.090, 34.802)	(47.176, 34.796)	(47.261, 34.791)	(47.346, 34.786)	(47.432, 34.780)	(47.517, 34.775)	(47.602, 34.769)	(47.686, 34.764)	(47.771, 34.759)	(47.855, 34.753)	(47.939, 34.748)	(48.023, 34.743)	(48.107, 34.737)	(48.191, 34.732)	(48.275, 34.727)	(48.358, 34.722)	(48.441, 34.717)	(48.524, 34.711)	(48.607, 34.706)	(48.690, 34.701)	(48.773, 34.696)	(48.855, 34.691)	(48.937, 34.686)	
(39.904, 35.231)	(40.008, 35.224)	(40.112, 35.216)	(40.215, 35.209)	(40.319, 35.201)	(40.421, 35.194)	(40.524, 35.187)	(40.626, 35.179)	(40.727, 35.172)	(40.829, 35.165)	(40.930, 35.157)	(41.031, 35.150)	(41.131, 35.143)	(41.232, 35.136)	(41.331, 35.129)	(41.431, 35.122)	(41.530, 35.115)	(41.630, 35.108)	(41.728, 35.101)	(41.827, 35.094)	(41.925, 35.087)	(42.023, 35.080)	(42.121, 35.073)	(42.218, 35.066)	(42.315, 35.059)	(42.412, 35.053)	(42.509, 35.046)	(42.605, 35.039)	(42.701, 35.032)	(42.797, 35.026)	(42.893, 35.019)	(42.988, 35.013)	(43.083, 35.006)	(43.178, 35.000)	(43.272, 34.993)	(43.367, 34.987)	(43.461, 34.980)	(43.555, 34.974)	(43.648, 34.967)	(43.742, 34.961)	(43.835, 34.955)	(43.928, 34.948)	(44.021, 34.942)	(44.113, 34.936)	(44.205, 34.929)	(44.297, 34.923)	(44.389, 34.917)	(44.481, 34.911)	(44.572, 34.905)	(44.663, 34.899)	(44.754, 34.893)	(44.845, 34.886)	(44.935, 34.880)	(45.026, 34.874)	(45.116, 34.868)	(45.206, 34.862)	(45.295, 34.856)	(45.385, 34.851)	(45.474, 34.845)	(45.563, 34.839)	(45.652, 34.833)	(45.741, 34.827)	(45.829, 34.821)	(45.918, 34.816)	(46.006, 34.810)	(46.094, 34.804)	(46.181, 34.798)	(46.269, 34.793)	(46.356, 34.787)	(46.443, 34.781)	(46.530, 34.776)	(46.617, 34.770)	(46.704, 34.765)	(46.790, 34.759)	(46.876, 34.753)	(46.963, 34.748)	(47.048, 34.742)	(47.134, 34.737)	(47.220, 34.731)	(47.305, 34.726)	(47.390, 34.721)	(47.475, 34.715)	(47.560, 34.710)	(47.645, 34.705)	(47.729, 34.699)	(47.814, 34.694)	(47.898, 34.689)	(47.982, 34.683)	(48.066, 34.678)	(48.150, 34.673)	(48.233, 34.668)	(48.317, 34.662)	(48.400, 34.657)	(48.483, 34.652)	(48.566, 34.647)	(48.649, 34.642)	(48.731, 34.637)	(48.814, 34.632)	(48.896, 34.627)	(48.978, 34.622)	
(39.966, 35.164)	(40.070, 35.156)	(40.173, 35.149)	(40.276, 35.142)	(40.379, 35.134)	(40.481, 35.127)	(40.583, 35.119)	(40.685, 35.112)	(40.786, 35.105)	(40.888, 35.098)	(40.988, 35.090)	(41.089, 35.083)	(41.189, 35.076)	(41.289, 35.069)	(41.389, 35.062)	(41.488, 35.055)	(41.587, 35.048)	(41.686, 35.041)	(41.785, 35.034)	(41.883, 35.027)	(41.981, 35.020)	(42.079, 35.013)	(42.176, 35.006)	(42.273, 35.000)	(42.370, 34.993)	(42.467, 34.986)	(42.563, 34.980)	(42.659, 34.973)	(42.755, 34.966)	(42.851, 34.960)	(42.946, 34.953)	(43.041, 34.946)	(43.136, 34.940)	(43.231, 34.933)	(43.325, 34.927)	(43.419, 34.920)	(43.513, 34.914)	(43.607, 34.908)	(43.700, 34.901)	(43.793, 34.895)	(43.886, 34.889)	(43.979, 34.882)	(44.071, 34.876)	(44.164, 34.870)	(44.256, 34.864)	(44.347, 34.857)	(44.439, 34.851)	(44.530, 34.845)	(44.622, 34.839)	(44.713, 34.833)	(44.803, 34.827)	(44.894, 34.821)	(44.984, 34.815)	(45.074, 34.809)	(45.164, 34.803)	(45.254, 34.797)	(45.343, 34.791)	(45.433, 34.785)	(45.522, 34.779)	(45.611, 34.773)	(45.699, 34.768)	(45.788, 34.762)	(45.876, 34.756)	(45.964, 34.750)	(46.052, 34.745)	(46.140, 34.739)	(46.227, 34.733)	(46.315, 34.728)	(46.402, 34.722)	(46.489, 34.716)	(46.576, 34.711)	(46.662, 34.705)	(46.749, 34.700)	(46.835, 34.694)	(46.921, 34.688)	(47.007, 34.683)	(47.093, 34.678)	(47.178, 34.672)	(47.264, 34.667)	(47.349, 34.661)	(47.434, 34.656)	(47.519, 34.650)	(47.603, 34.645)	(47.688, 34.640)	(47.772, 34.634)	(47.857, 34.629)	(47.941, 34.624)	(48.024, 34.619)	(48.108, 34.613)	(48.192, 34.608)	(48.275, 34.603)	(48.358, 34.598)	(48.441, 34.593)	(48.524, 34.588)	(48.607, 34.582)	(48.690, 34.577)	(48.772, 34.572)	(48.855, 34.567)	(48.937, 34.562)	(49.019, 34.557)	
(40.027, 35.097)	(40.130, 35.089)	(40.233, 35.082)	(40.336, 35.074)	(40.439, 35.067)	(40.541, 35.060)	(40.643, 35.052)	(40.744, 35.045)	(40.845, 35.038)	(40.946, 35.031)	(41.047, 35.024)	(41.147, 35.016)	(41.247, 35.009)	(41.347, 35.002)	(41.446, 34.995)	(41.545, 34.988)	(41.644, 34.981)	(41.743, 34.974)	(41.841, 34.967)	(41.939, 34.961)	(42.036, 34.954)	(42.134, 34.947)	(42.231, 34.940)	(42.328, 34.933)	(42.425, 34.927)	(42.521, 34.920)	(42.617, 34.913)	(42.713, 34.907)	(42.809, 34.900)	(42.904, 34.893)	(42.999, 34.887)	(43.094, 34.880)	(43.189, 34.874)	(43.283, 34.867)	(43.377, 34.861)	(43.471, 34.855)	(43.565, 34.848)	(43.658, 34.842)	(43.751, 34.835)	(43.844, 34.829)	(43.937, 34.823)	(44.030, 34.817)	(44.122, 34.810)	(44.214, 34.804)	(44.306, 34.798)	(44.397, 34.792)	(44.489, 34.786)	(44.580, 34.780)	(44.671, 34.774)	(44.762, 34.767)	(44.852, 34.761)	(44.942, 34.755)	(45.033, 34.749)	(45.122, 34.743)	(45.212, 34.738)	(45.302, 34.732)	(45.391, 34.726)	(45.480, 34.720)	(45.569, 34.714)	(45.658, 34.708)	(45.746, 34.702)	(45.834, 34.697)	(45.923, 34.691)	(46.010, 34.685)	(46.098, 34.679)	(46.186, 34.674)	(46.273, 34.668)	(46.360, 34.663)	(46.447, 34.657)	(46.534, 34.651)	(46.621, 34.646)	(46.707, 34.640)	(46.793, 34.635)	(46.879, 34.629)	(46.965, 34.624)	(47.051, 34.618)	(47.137, 34.613)	(47.222, 34.607)	(47.307, 34.602)	(47.392, 34.597)	(47.477, 34.591)	(47.562, 34.586)	(47.646, 34.580)	(47.731, 34.575)	(47.815, 34.570)	(47.899, 34.565)	(47.983, 34.559)	(48.067, 34.554)	(48.150, 34.549)	(48.234, 34.544)	(48.317, 34.539)	(48.400, 34.533)	(48.483, 34.528)	(48.566, 34.523)	(48.648, 34.518)	(48.731, 34.513)	(48.813, 34.508)	(48.895, 34.503)	(48.977, 34.498)	(49.059, 34.493)	
(40.088, 35.030)	(40.191, 35.022)	(40.293, 35.015)	(40.396, 35.007)	(40.498, 35.000)	(40.600, 34.993)	(40.701, 34.986)	(40.803, 34.978)	(40.904, 34.971)	(41.004, 34.964)	(41.104, 34.957)	(41.204, 34.950)	(41.304, 34.943)	(41.404, 34.936)	(41.503, 34.929)	(41.602, 34.922)	(41.700, 34.915)	(41.798, 34.908)	(41.896, 34.901)	(41.994, 34.894)	(42.092, 34.887)	(42.189, 34.881)	(42.286, 34.874)	(42.383, 34.867)	(42.479, 34.860)	(42.575, 34.854)	(42.671, 34.847)	(42.767, 34.840)	(42.862, 34.834)	(42.957, 34.827)	(43.052, 34.821)	(43.147, 34.814)	(43.241, 34.808)	(43.335, 34.801)	(43.429, 34.795)	(43.523, 34.789)	(43.616, 34.782)	(43.709, 34.776)	(43.802, 34.770)	(43.895, 34.763)	(43.988, 34.757)	(44.080, 34.751)	(44.172, 34.745)	(44.264, 34.739)	(44.355, 34.732)	(44.447, 34.726)	(44.538, 34.720)	(44.629, 34.714)	(44.720, 34.708)	(44.810, 34.702)	(44.901, 34.696)	(44.991, 34.690)	(45.081, 34.684)	(45.170, 34.678)	(45.260, 34.672)	(45.349, 34.666)	(45.438, 34.661)	(45.527, 34.655)	(45.616, 34.649)	(45.704, 34.643)	(45.793, 34.637)	(45.881, 34.632)	(45.969, 34.626)	(46.057, 34.620)	(46.144, 34.614)	(46.231, 34.609)	(46.319, 34.603)	(46.406, 34.598)	(46.492, 34.592)	(46.579, 34.586)	(46.665, 34.581)	(46.752, 34.575)	(46.838, 34.570)	(46.924, 34.564)	(47.009, 34.559)	(47.095, 34.553)	(47.180, 34.548)	(47.266, 34.543)	(47.351, 34.537)	(47.436, 34.532)	(47.520, 34.527)	(47.605, 34.521)	(47.689, 34.516)	(47.773, 34.511)	(47.857, 34.505)	(47.941, 34.500)	(48.025, 34.495)	(48.109, 34.490)	(48.192, 34.485)	(48.275, 34.479)	(48.358, 34.474)	(48.441, 34.469)	(48.524, 34.464)	(48.607, 34.459)	(48.689, 34.454)	(48.772, 34.449)	(48.854, 34.444)	(48.936, 34.439)	(49.018, 34.434)	(49.099, 34.429)	
(40.148, 34.963)	(40.251, 34.955)	(40.353, 34.948)	(40.455, 34.941)	(40.557, 34.933)	(40.659, 34.926)	(40.760, 34.919)	(40.861, 34.912)	(40.962, 34.904)	(41.062, 34.897)	(41.162, 34.890)	(41.262, 34.883)	(41.361, 34.876)	(41.460, 34.869)	(41.559, 34.862)	(41.658, 34.855)	(41.756, 34.848)	(41.854, 34.842)	(41.952, 34.835)	(42.049, 34.828)	(42.147, 34.821)	(42.244, 34.814)	(42.340, 34.808)	(42.437, 34.801)	(42.533, 34.794)	(42.629, 34.788)	(42.724, 34.781)	(42.820, 34.774)	(42.915, 34.768)	(43.010, 34.761)	(43.105, 34.755)	(43.199, 34.748)	(43.293, 34.742)	(43.387, 34.736)	(43.481, 34.729)	(43.574, 34.723)	(43.667, 34.717)	(43.760, 34.710)	(43.853, 34.704)	(43.946, 34.698)	(44.038, 34.692)	(44.130, 34.685)	(44.222, 34.679)	(44.314, 34.673)	(44.405, 34.667)	(44.496, 34.661)	(44.587, 34.655)	(44.678, 34.649)	(44.768, 34.643)	(44.859, 34.637)	(44.949, 34.631)	(45.039, 34.625)	(45.129, 34.619)	(45.218, 34.613)	(45.307, 34.607)	(45.396, 34.601)	(45.485, 34.595)	(45.574, 34.590)	(45.663, 34.584)	(45.751, 34.578)	(45.839, 34.572)	(45.927, 34.567)	(46.015, 34.561)	(46.102, 34.555)	(46.190, 34.550)	(46.277, 34.544)	(46.364, 34.538)	(46.451, 34.533)	(46.537, 34.527)	(46.624, 34.522)	(46.710, 34.516)	(46.796, 34.511)	(46.882, 34.505)	(46.968, 34.500)	(47.053, 34.494)	(47.139, 34.489)	(47.224, 34.483)	(47.309, 34.478)	(47.394, 34.473)	(47.479, 34.467)	(47.563, 34.462)	(47.648, 34.457)	(47.732, 34.451)	(47.816, 34.446)	(47.900, 34.441)	(47.983, 34.436)	(48.067, 34.431)	(48.150, 34.425)	(48.234, 34.420)	(48.317, 34.415)	(48.400, 34.410)	(48.482, 34.405)	(48.565, 34.400)	(48.648, 34.395)	(48.730, 34.390)	(48.812, 34.385)	(48.894, 34.380)	(48.976, 34.375)	(49.058, 34.370)	(49.139, 34.365)	
(40.208, 34.896)	(40.310, 34.888)	(40.412, 34.881)	(40.514, 34.874)	(40.616, 34.867)	(40.717, 34.859)	(40.818, 34.852)	(40.919, 34.845)	(41.019, 34.838)	(41.119, 34.831)	(41.219, 34.824)	(41.319, 34.817)	(41.418, 34.810)	(41.517, 34.803)	(41.615, 34.796)	(41.714, 34.789)	(41.812, 34.782)	(41.909, 34.775)	(42.007, 34.768)	(42.104, 34.762)	(42.201, 34.755)	(42.298, 34.748)	(42.394, 34.742)	(42.490, 34.735)	(42.586, 34.728)	(42.682, 34.722)	(42.778, 34.715)	(42.873, 34.709)	(42.968, 34.702)	(43.062, 34.696)	(43.157, 34.689)	(43.251, 34.683)	(43.345, 34.676)	(43.439, 34.670)	(43.532, 34.664)	(43.625, 34.657)	(43.718, 34.651)	(43.811, 34.645)	(43.904, 34.638)	(43.996, 34.632)	(44.088, 34.626)	(44.180, 34.620)	(44.271, 34.614)	(44.363, 34.608)	(44.454, 34.602)	(44.545, 34.595)	(44.636, 34.589)	(44.726, 34.583)	(44.817, 34.577)	(44.907, 34.571)	(44.997, 34.566)	(45.087, 34.560)	(45.176, 34.554)	(45.265, 34.548)	(45.355, 34.542)	(45.443, 34.536)	(45.532, 34.530)	(45.621, 34.525)	(45.709, 34.519)	(45.797, 34.513)	(45.885, 34.507)	(45.973, 34.502)	(46.060, 34.496)	(46.148, 34.490)	(46.235, 34.485)	(46.322, 34.479)	(46.409, 34.474)	(46.496, 34.468)	(46.582, 34.462)	(46.668, 34.457)	(46.754, 34.451)	(46.840, 34.446)	(46.926, 34.441)	(47.012, 34.435)	(47.097, 34.430)	(47.182, 34.424)	(47.267, 34.419)	(47.352, 34.414)	(47.437, 34.408)	(47.521, 34.403)	(47.606, 34.398)	(47.690, 34.392)	(47.774, 34.387)	(47.858, 34.382)	(47.942, 34.377)	(48.025, 34.371)	(48.109, 34.366)	(48.192, 34.361)	(48.275, 34.356)	(48.358, 34.351)	(48.441, 34.346)	(48.523, 34.341)	(48.606, 34.336)	(48.688, 34.331)	(48.770, 34.326)	(48.852, 34.321)	(48.934, 34.316)	(49.016, 34.311)	(49.098, 34.306)	(49.179, 34.301)	
