纬度       经度      角度（北顺）   速度（米/秒）   压强 （毫巴）
36         81        230.82          19.20         450.0 
36         82        104.38          16.22           3.0 
36         92         89.98           5.00        1000.0 
36         94         89.98           5.00         900.0 
36         97         89.98           5.00         550.0 
36         99         69.78          23.48         750.0 
36        100        270.10          24.99         900.0 
36        101         75.31          64.72         925.0 
36        107        125.10          42.15         700.0 
36        108         72.01          39.53         700.0 
36        111        130.88           6.18         750.0 
36        113        300.61           7.94         750.0 
36        119         53.87          34.31         750.0 
36        125         49.12           6.18         750.0 
36        126        261.16          51.54         700.0 
35         50         51.60          13.35         600.0 
35         51         69.49          11.85         600.0 
35         52         58.71           7.98         550.0 
35         56         51.60          13.35         300.0 
35         60         89.92          20.24         350.0 
35         66        301.29           7.98         950.0 
35         77        249.58          11.86         925.0 
35         79        243.15          27.47         750.0 
35         80        128.37          13.35         600.0 
35         81        229.67          19.21           2.0 
35         82        235.19          29.02         450.0 
35         83        229.67          19.21         550.0 
35         84        132.15          18.53         800.0 
35         85         78.46          63.38         975.0 
35         94         89.98           5.06         700.0 
35         96         89.98           5.06         550.0 
35         99         69.49          11.85         700.0 
35        101         55.77          36.90         700.0 
35        103        121.23          15.98         700.0 
35        106        242.16          35.41         750.0 
35        107        277.81          30.97         750.0 
35        108        110.37          23.74         750.0 
35        111        127.55          61.14         750.0 
35        112        301.29           7.98         800.0 
35        114         89.98           5.06         750.0 
35        122        238.87          47.98         800.0 
35        126        308.40          13.35         750.0 
34         50        309.43          13.37         650.0 
34         51        118.27          71.35         550.0 
34         55         46.58          12.36           2.0 
34         56         50.57          13.37         350.0 
34         57         50.57          13.37           0.2 
34         58         69.16          11.96           5.0 
34         59         58.03           8.02           1.0 
34         67        301.99          16.04         750.0 
34         77        249.25          11.97         850.0 
34         78        244.56          19.73         750.0 
34         83        228.52          19.23         850.0 
34         91        238.08           8.03         800.0 
34         93         89.98           5.12         650.0 
34         94        133.42           6.18         550.0 
34         96        312.92          37.42         450.0 
34         97         80.62          26.33           1.5 
34         98         89.98           5.12         550.0 
34         99         69.16          11.96         600.0 
34        100        257.82          59.40         700.0 
34        111        301.97           8.02         800.0 
34        118         89.94          15.37         750.0 
34        125         62.26          82.63         500.0 
33         50        302.63           8.06         650.0 
33         52        255.13          50.26         500.0 
33         53         45.30           6.18         500.0 
33         54         47.35          19.24         650.0 
33         55        302.84          80.44         500.0 
33         60         57.37           8.06           4.0 
33         63        122.56          16.13         650.0 
33         67        302.63           8.06         925.0 
33         68        291.16          12.06         900.0 
33         75        270.02           5.18         850.0 
33         76        270.02           5.18         850.0 
33         89        134.70           6.18         750.0 
33         90        237.41           8.07         850.0 
33         95         89.98           5.18         500.0 
33         98        236.05          77.56         700.0 
33         99         74.88          16.72         650.0 
33        100         74.88          16.72         700.0 
33        101        302.63           8.06         750.0 
33        102        270.02           5.18         900.0 
33        104         82.00          31.68         750.0 
33        105         89.98           5.18         700.0 
33        106        237.41           8.07         750.0 
33        115         68.84          12.06         600.0 
33        116        281.75          43.21         650.0 
33        118         89.96          10.36         700.0 
32         54         48.52          13.42         700.0 
32         55         44.01          12.36           2.0 
32         57         48.52          13.42           1.0 
32         58         68.53          12.16         350.0 
32         61         89.98           5.24         500.0 
32         62         89.98           5.24         500.0 
32         63        313.81          19.26         600.0 
32         64         89.94          15.72         650.0 
32         65        116.32          20.01         850.0 
32         80        270.04          10.48         850.0 
32         82        270.02           5.24         800.0 
32         84        270.02           5.24         800.0 
32         87        236.76           8.10         800.0 
32         90         89.98           5.24         925.0 
32         92         89.98           5.24         550.0 
32        100        236.76           8.10         700.0 
32        103        248.62          12.17         750.0 
32        104         44.01           6.18         700.0 
32        107         59.09          52.06         800.0 
32        108        121.59          92.84         750.0 
32        114         89.96          10.48         750.0 
32        120        135.99          18.54         700.0 
32        121         56.67          24.29         550.0 
31         55         42.72           6.18         550.0 
31         56         42.72          12.36         400.0 
31         57         42.72          12.36           1.5 
31         58         56.07           8.14           1.0 
31         60         42.72          24.72         700.0 
31         62         89.98           5.30         600.0 
31         85        293.76          56.70         925.0 
31         91        137.28           6.18         800.0 
31         95         42.72           6.18         850.0 
31         96         89.98           5.30         800.0 
31         98         97.94          32.39         850.0 
31         99         51.25          79.96         750.0 
31        102        248.32          12.27         750.0 
31        103        248.32          12.27         700.0 
31        105         68.23          12.26         750.0 
31        123        109.03          41.50         700.0 
31        125         89.94          15.89         500.0 
31        126         78.05          22.06         600.0 
30         53         94.75          53.90         650.0 
30         54         46.49          13.47         450.0 
30         55         41.41          12.36           1.5 
30         57         55.44           8.17         500.0 
30         59        296.22          52.71         450.0 
30         60         89.98           5.35         600.0 
30         61        138.29          55.87         800.0 
30         66        117.16          20.27         650.0 
30         68        117.16          20.27         700.0 
30         85        235.49           8.18         900.0 
30         91        124.51           8.18         700.0 
30         92        235.49           8.18         800.0 
30         93        270.02           5.35         700.0 
30         95        270.02           5.35         800.0 
30         96        270.02           5.35         800.0 
30         97        227.42          75.25         800.0 
30         98        124.47          24.54         975.0 
30         99        270.02           5.35         800.0 
30        100         74.25          34.37         700.0 
30        102        235.49           8.18         750.0 
30        104         44.45          51.96         800.0 
30        119         62.71          20.25         600.0 
30        120         67.93          12.35         500.0 
30        122         46.49          13.47         600.0 
30        123        238.94          89.35         650.0 
29         55         45.48          13.49           1.5 
29         56         54.80          16.41         450.0 
29         57         54.82           8.21         600.0 
29         58         54.82           8.21         500.0 
29         59         89.98           5.40         550.0 
29         66        112.23          24.92         750.0 
29         67        112.23          24.92         800.0 
29         68        112.23          24.92         650.0 
29         69        112.23          24.92         800.0 
29         72        132.58          34.91         800.0 
29         84        234.87           8.21         900.0 
29         91        139.90           6.18         925.0 
29         92        270.02           5.40         900.0 
29         93        270.02           5.40         800.0 
29         95        270.02           5.40         900.0 
29         97        270.02           5.40         850.0 
29        100        234.87           8.21         900.0 
29        101        234.87           8.21         950.0 
29        102        270.02           5.40         750.0 
29        105         77.79          22.47         750.0 
29        120         89.96          10.81         500.0 
29        121         89.96          10.81         550.0 
28         55         44.49          13.51         400.0 
28         57         54.22           8.24         600.0 
28         69        117.95          20.52         800.0 
28         72        117.95          20.52         800.0 
28         73        117.95          20.52         700.0 
28         74        234.26           8.25         650.0 
28         75         89.84          49.11         700.0 
28         76        270.02           5.46         750.0 
28         77        234.26           8.25         800.0 
28         78        270.02           5.46         850.0 
28         79        270.02           5.46         850.0 
28         80        141.22           6.18         750.0 
28         93        141.22           6.18         650.0 
28         94        270.02           5.46         800.0 
28         95        270.02           5.46         900.0 
28         96        270.02           5.46         900.0 
28         98        234.26           8.25         900.0 
28         99        234.26           8.25         850.0 
28        104        270.02           5.46         750.0 
28        105        234.26           8.25         700.0 
28        106        234.26           8.25         750.0 
28        119        141.22          12.36         450.0 
28        120         44.45          40.51         500.0 
27         49         67.10          12.62         800.0 
27         51         67.10          12.62         750.0 
27         54         53.60          16.55         700.0 
27         55         43.50          13.53           0.5 
27         56        126.33           8.28         550.0 
27         58         53.63           8.28         550.0 
27         76        270.02           5.51         850.0 
27         78        233.67           8.28         850.0 
27         80        221.02          71.49         800.0 
27         94        142.55           6.18         850.0 
27         96        270.02           5.51         900.0 
27        100        270.02           5.51         900.0 
27        101        270.02           5.51         800.0 
27        102        142.55           6.18         750.0 
27        103        233.67           8.28         750.0 
27        118        226.19          56.64         500.0 
27        120         67.10          12.62         650.0 
26         48         53.05           8.31         700.0 
26         49         53.05           8.31         650.0 
26         51         89.98           5.55         700.0 
26         54         53.03          16.61         450.0 
26         55         42.52          13.55         550.0 
26         56         66.83          12.71         650.0 
26         57        227.63          81.33         750.0 
26         82        270.02           5.55         850.0 
26         83        233.09           8.31         800.0 
26         92        270.02           5.55         850.0 
26         95        270.02           5.55         850.0 
26        101        233.09           8.31         850.0 
25         48         52.49           8.34           0.5 
25         50         52.49           8.34         750.0 
25         54        232.73          83.57         650.0 
25         55         89.98           5.60         600.0 
25         56         52.49           8.34         700.0 
25         58         66.58          12.79         650.0 
25         82         89.93          22.41         750.0 
25         83         89.93          22.41         650.0 
25         84         89.93          22.41         650.0 
25         86        270.02           5.60         900.0 
25         95        145.22           6.18         950.0 
25         96        270.02           5.60         900.0 
25         98        270.02           5.60         925.0 
25         99        270.02           5.60         800.0 
25        103        145.22           6.18         750.0 
24         56        317.17          70.42         700.0 
24         88        270.02           5.65         900.0 
24         93        270.02           5.65         900.0 
24         97        146.57           6.18         925.0 
24        100         60.47          20.96         925.0 
24        116        270.03          11.29         750.0 
24        122         66.30          25.73         750.0 
24        124         66.34          12.87         700.0 
24        126        270.02           5.65         600.0 
23         48         89.98           5.69           1.5 
23         49         89.95          17.07         600.0 
23         89        128.33          92.58         750.0 
23         90         51.41           8.40         800.0 
23         93        270.02           5.69         850.0 
23        121         51.39          16.80         500.0 
23        125        263.59          45.95         750.0 
22         48         50.90           8.43         550.0 
22         50         89.95          17.19         700.0 
22         90         89.98           5.73         850.0 
22        118        230.94           8.43         600.0 
22        119         34.77          19.41         650.0 
22        120         42.97          21.79         450.0 
22        121         38.73          13.63         650.0 
22        122        146.86          25.38         700.0 
22        124        245.96          13.03         700.0 
22        126        270.02           5.73           1.0 
21         48         65.66          13.09         400.0 
21         50         89.97          11.54         500.0 
21         51         89.97          11.54         650.0 
21         54         50.40           8.46         600.0 
21        119         29.36          12.36         450.0 
21        120         42.23          21.84         450.0 
21        124        230.47          16.92         550.0 
21        125        270.02           5.77         450.0 
20         46        294.54          13.16         700.0 
20         47         27.99           6.18         450.0 
20         48         49.93           8.48           5.0 
20         49         89.97          11.62         250.0 
20         50         65.46          13.16         550.0 
20         91         27.99           6.18         850.0 
20        118        323.07          13.66         600.0 
20        119         49.93           8.48         450.0 
20        120         27.99          12.36         450.0 
20        124        310.07           8.48         500.0 
20        126         89.98           5.81         500.0 
19         47         43.11          30.30           5.0 
19         49         89.97          11.69         500.0 
19         52         26.62           6.18         600.0 
19         90         49.47           8.51         800.0 
19        118        310.53           8.51         400.0 
19        119         26.62          12.36         400.0 
19        120        310.53           8.51           4.0 
19        124         26.62          12.36          10.0 
19        125        310.53           8.51           4.0 
18         49         89.96          17.64         700.0 
18         50         49.03           8.53         650.0 
18         51        152.22          56.88         700.0 
18         52         25.24           6.18         650.0 
18        117        324.79          13.69         600.0 
18        123        310.97           8.53          30.0 
17         48         48.59          17.10           1.0 
17         50         48.61           8.55         400.0 
17         51         64.90          13.34         650.0 
17         53         48.61           8.55         600.0 
17        117        311.41          17.10         450.0 
17        120        311.41          17.10         100.0 
17        122        311.39           8.55         100.0 
17        124         23.86           6.18         150.0 
16         49         48.21           8.58           2.0 
16         50         48.21           8.58         500.0 
16         63         22.48           6.18         750.0 
16         64         22.48           6.18         650.0 
16         65         22.48           6.18         500.0 
16         67         22.48           6.18         500.0 
16         71        270.01           5.94         900.0 
16         78         89.97          11.89         650.0 
16         79         89.99           5.94         750.0 
16         80         89.99           5.94         900.0 
16         81         89.97          11.89         800.0 
16        118        213.63          13.72           5.0 
16        121        157.52          18.55         100.0 
16        123         89.99           5.94          10.0 
16        124         48.21           8.58         150.0 
16        125         48.21           8.58          10.0 
16        126        276.21          53.83           0.5 
15         63        312.17           8.60         600.0 
15         64        312.17           8.60         550.0 
15         66        270.02          11.94         700.0 
15         68        270.02          11.94         600.0 
15         72        270.01           5.97         700.0 
15         79        270.01           5.97         700.0 
15        120        212.86          13.73         100.0 
15        121        312.27          60.13         100.0 
15        122         89.99           5.97         100.0 
15        124         47.83           8.60         100.0 
14         62        312.52           8.61         800.0 
14         63        312.52           8.61         400.0 
14         64        270.01           6.00         600.0 
14         65        270.02          12.00         600.0 
14         66        327.91          13.74         600.0 
14         67         19.70          18.55         550.0 
14         71        234.91          30.34         700.0 
14         72        270.01           6.00         650.0 
14         77        270.01           6.00         550.0 
14        117        312.59          43.05         450.0 
14        119        270.02          12.00           1.0 
14        124        160.30          12.37           5.0 
14        125        132.49           8.62           3.0 
13         63        270.01           6.02         350.0 
13         64        270.01           6.02         750.0 
13         66        328.61          13.76           1.5 
13         67        328.61          13.76           0.1 
13         72        270.01           6.02         500.0 
13         74        270.01           6.02         400.0 
13         78         18.31           6.18         350.0 
13         87         18.31           6.18         700.0 
13         90         89.99           6.02         800.0 
13         91         47.14           8.63         650.0 
13         92        161.69          61.83         550.0 
13        117        295.71          13.54         750.0 
13        118        270.01           6.02         400.0 
13        119        244.34          13.55           7.0 
13        120        244.34          13.55         400.0 
13        122        217.27          22.12           1.0 
13        123        217.27          22.12         300.0 
13        126        227.17           8.63         450.0 
12         63        270.01           6.05         450.0 
12         68         16.91           6.18         150.0 
12         73        270.01           6.05         350.0 
12         87         46.83           8.65         500.0 
12         88         89.99           6.05         600.0 
12         89         89.99           6.05         700.0 
12         90         89.99           6.05         650.0 
12         92         89.99           6.05         450.0 
12         93         89.99           6.05         700.0 
12        116         62.09          76.11         700.0 
12        118        244.21          13.59         550.0 
12        120        270.01           6.05         350.0 
12        121        244.21          13.59         500.0 
12        122        226.87          17.30         500.0 
12        125        226.86           8.65         700.0 
11         51        270.01           6.07         650.0 
11         66        270.01           6.07         150.0 
11         77         15.51           6.18         650.0 
11         78         15.51           6.18         600.0 
11         79         15.51           6.18         650.0 
11         80         15.51           6.18         550.0 
11         81        210.13          13.78         700.0 
11         87         46.54           8.66         600.0 
11         88        143.71          22.17         550.0 
11         90         89.99           6.07         600.0 
11         91         46.54           8.66         750.0 
11         92         89.99           6.07         650.0 
11         93         89.98          12.14         800.0 
11        118        270.02          12.14         550.0 
11        119        270.02          12.14         600.0 
11        120        270.02          12.14         500.0 
11        121        270.01           6.07         700.0 
11        122        244.09          13.63         700.0 
11        123        226.57           8.67         350.0 
11        124        226.57           8.67         500.0 
11        125        244.09          13.63         550.0 
11        126        244.09          13.63         300.0 
10         63        270.02          12.18         700.0 
10         64        270.02          12.18         550.0 
10         67        209.55          13.79         250.0 
10         68        313.72           8.68           0.5 
10         72         24.48          52.73         800.0 
10         76        270.01           6.09         700.0 
10         79         14.11           6.18         450.0 
10         80         14.11           6.18         300.0 
10         82        165.89          18.55         500.0 
10         86         14.11           6.18         650.0 
10         88         14.11           6.18         650.0 
10         89         46.28           8.68         400.0 
10         90         46.28           8.68         600.0 
10         91         46.28           8.68         500.0 
10         93         89.93          48.72         850.0 
10        118        270.03          18.27         700.0 
10        119        270.02          12.18         650.0 
10        120        270.01           6.09         650.0 
10        122        296.06          13.66         350.0 
10        124        283.84          25.13         650.0 
10        125        243.98          13.66         700.0 
10        126        270.01           6.09         500.0 
 9         64        167.30           6.18         800.0 
 9         65        340.42          70.44         800.0 
 9         66        226.07          17.39         850.0 
 9         67        243.88          13.69         550.0 
 9         68        270.01           6.11           1.0 
 9         69         12.70           6.18         850.0 
 9         70        313.96           8.69         900.0 
 9         80        270.01           6.11         250.0 
 9         82         46.04           8.69         200.0 
 9         87         89.99           6.11         750.0 
 9         88         89.99           6.11         550.0 
 9         89         46.04           8.69           1.5 
 9         91         89.99           6.11         500.0 
 9        118         12.70           6.18         450.0 
 9        120        270.02          12.22         500.0 
 9        122        313.96           8.69         300.0 
 9        123        251.85          19.34         400.0 
 8         51        314.18           8.70         850.0 
 8         71        235.06          52.88         700.0 
 8         73        296.25          13.72         650.0 
 8         75        270.01           6.12         650.0 
 8         82        270.01           6.12         400.0 
 8         84         45.82           8.70         450.0 
 8         87         45.82           8.70           7.0 
 8         89         89.99           6.12         300.0 
 8         90         89.99           6.12          10.0 
 8        104         11.30           6.18         700.0 
 8        105        314.19          17.40         600.0 
 8        115        296.25          13.72         550.0 
 8        117        314.18           8.70         550.0 
 8        118        296.25          13.72         400.0 
 8        122        243.79          13.72          20.0 
 8        123        270.01          12.25         350.0 
 8        125        314.18           8.70         250.0 
 8        126        314.18           8.70         200.0 
 7         51        270.01           6.14         600.0 
 7         71        225.65           8.71         650.0 
 7         72        314.37           8.71         450.0 
 7         73        314.37           8.71         400.0 
 7         74        314.37           8.71         650.0 
 7         82        270.01           6.14           7.0 
 7         83        314.37           8.71           0.1 
 7         84         89.99           6.14         400.0 
 7         85         89.99           6.14         450.0 
 7         87         89.99           6.14           3.0 
 7         88         89.99           6.14           4.0 
 7         90         89.99           6.14           7.0 
 7         93         45.63           8.71         700.0 
 7         98        314.37           8.71         750.0 
 7         99         66.96          46.79         650.0 
 7        102          9.89           6.18         450.0 
 7        104        331.95          13.81         650.0 
 7        105          9.89           6.18         450.0 
 7        107        263.76          55.59         550.0 
 7        112        270.01           6.14           5.0 
 7        114        270.01           6.14         350.0 
 7        119        270.01          12.28         400.0 
 7        121        243.71          13.75           0.5 
 7        123        225.66          26.14         600.0 
 7        125        270.01           6.14          30.0 
 6         50        270.01           6.15         700.0 
 6         52        314.54           8.72         400.0 
 6         53         89.99           6.15         700.0 
 6         72        314.54           8.72         300.0 
 6         76          8.48           6.18         750.0 
 6         78        123.38          44.44         750.0 
 6         79        194.07          63.06         550.0 
 6         80        225.55         104.72         450.0 
 6         82        270.01           6.15          10.0 
 6         84         89.99           6.15           0.5 
 6         85        171.52           6.18         400.0 
 6         89        320.18          87.66         550.0 
 6         92         89.99           6.15         500.0 
 6         93         89.99           6.15         650.0 
 6         94         45.46           8.72         850.0 
 6         97         89.99           6.15         600.0 
 6        104        296.39          13.77           1.0 
 6        105          8.48           6.18         450.0 
 6        112        225.48           8.72         700.0 
 6        113        270.01           6.15         500.0 
 6        114        270.01          12.30         600.0 
 6        115        167.34          75.22         350.0 
 6        120        270.01           6.15         350.0 
 6        121        270.01          12.30         450.0 
 6        124        270.01           6.15         600.0 
 6        126        100.19          68.79         350.0 
 5         50        270.00           6.16         750.0 
 5         68        314.68           8.73         500.0 
 5         75         27.29          82.89         600.0 
 5         80         42.30          83.03         400.0 
 5         82        225.33           8.73         400.0 
 5         84        172.93           6.18         350.0 
 5         85         90.00           6.16         550.0 
 5         94         90.00           6.16         600.0 
 5         97        296.44          13.79           7.0 
 5        100        314.69          26.18         700.0 
 5        103        195.66          76.48         400.0 
 5        104          8.75          68.30         300.0 
 5        105        160.33          78.20         400.0 
 5        106        296.44          13.79         500.0 
 5        109        172.93           6.18         700.0 
 5        125         45.32           8.73         650.0 
 4         53        270.00           6.17           7.0 
 4         57        314.80           8.74         800.0 
 4         61        296.49          13.80           1.5 
 4         62        314.80           8.74         400.0 
 4         64        314.80           8.74         450.0 
 4         66          5.65           6.18         450.0 
 4         67        314.80           8.74         400.0 
 4         68          5.65           6.18         550.0 
 4         70          5.65           6.18         500.0 
 4         72         90.00           6.17         550.0 
 4         76        130.40          56.95         550.0 
 4         78        317.32         100.52         750.0 
 4         80         90.00           6.17         450.0 
 4         81         63.51          13.80         550.0 
 4         83        174.35           6.18         500.0 
 4         84         63.51          13.80         500.0 
 4         91         90.00           6.17         800.0 
 4         92         63.51          13.80         600.0 
 4         94         90.00           6.17         450.0 
 4         96        286.69          64.41         350.0 
 4         97        270.00           6.17         450.0 
 4         99          5.65           6.18         500.0 
 4        103        270.00           6.17         350.0 
 4        108         90.00           6.17         500.0 
 4        109         90.00           6.17         600.0 
 4        111         84.27          62.00         650.0 
 4        118         89.99          12.34         400.0 
 4        121         98.09          43.63         600.0 
 4        124        270.01          12.34         650.0 
 3         53         18.87          19.55         600.0 
 3         55        175.76           6.18          20.0 
 3         56          4.24           6.18           4.0 
 3         57         90.00           6.18           7.0 
 3         63        270.00           6.18         450.0 
 3         64          4.24           6.18         350.0 
 3         65         90.00           6.18         450.0 
 3         66        314.89           8.74         400.0 
 3         69          4.24           6.18         550.0 
 3         70         36.17          84.06         550.0 
 3         76         90.00           6.18         500.0 
 3         77         90.00           6.18         750.0 
 3         80         90.00           6.18         700.0 
 3         83          4.24           6.18         600.0 
 3         85         90.00           6.18         700.0 
 3         87        285.26          70.41         600.0 
 3         89        134.88           8.74         850.0 
 3         90        134.88           8.74         750.0 
 3         93         90.00           6.18         550.0 
 3         94        270.00           6.18         450.0 
 3         95        284.03          25.46         450.0 
 3        101         90.00           6.18         400.0 
 3        102        212.71          80.61         350.0 
 3        104        270.00           6.18           7.0 
 3        106        314.89           8.74         150.0 
 3        110        153.15          13.83         500.0 
 3        111         90.00           6.18         450.0 
 3        112        134.88           8.74         500.0 
 3        117        175.76           6.18         400.0 
 3        118        175.76           6.18         650.0 
 3        121        296.54          41.44         500.0 
 2         56        177.17           6.18           2.0 
 2         57        177.17           6.18         350.0 
 2         58          2.83           6.18         650.0 
 2         61        270.00           6.18         500.0 
 2         63        270.00           6.18         700.0 
 2         69        314.95           8.74         450.0 
 2         70         75.97          25.48         550.0 
 2         74         90.00           6.18         650.0 
 2         77         45.05           8.74         550.0 
 2         83        156.64          47.10         550.0 
 2         85         90.00           6.18         550.0 
 2         89        134.95           8.74         850.0 
 2         91         90.00           6.18         650.0 
 2         92        270.00           6.18         600.0 
 2         94        270.00           6.18         600.0 
 2         95         89.98          55.63         600.0 
 2         97        177.17           6.18         500.0 
 2         98        296.55          13.82           7.0 
 2         99        134.95           8.74           1.0 
 2        100        270.00           6.18           5.0 
 2        103         18.63          19.56         400.0 
 2        104        314.95           8.74           1.0 
 2        105        296.55          13.82          10.0 
 2        106        116.54          27.65          70.0 
 2        107        177.17           6.18          50.0 
 2        112        134.95           8.74         450.0 
 2        114        314.95           8.74         650.0 
 2        115         90.00           6.18         500.0 
 2        116        255.98          25.48         450.0 
 2        117        251.58          19.55         450.0 
 2        118        225.05           8.74         550.0 
 2        119        270.00           6.18         600.0 
 1         59         45.01           8.75         600.0 
 1         65          1.41           6.18         400.0 
 1         68          1.41           6.18           0.5 
 1         72        270.00           6.18         450.0 
 1         75         63.44          13.83         550.0 
 1         82         45.01          17.49         800.0 
 1         84         45.01          34.98         550.0 
 1         85         90.00           6.18         800.0 
 1         86        260.55          75.23         750.0 
 1         92        178.59           6.18         800.0 
 1         93        134.99           8.75         600.0 
 1         94        270.00          12.37         600.0 
 1        100        270.00           6.18          10.0 
 1        101        314.99           8.75          10.0 
 1        107        233.99          84.11         600.0 
 1        113        225.01           8.75         400.0 
 1        115         90.00           6.18         450.0 
 1        117        201.85          66.61         450.0 
 0         66         90.00          12.37          20.0 
 0         67         90.00           6.18          10.0 
 0         72        225.00           8.75         550.0 
 0         78        165.96          51.00         800.0 
 0         83         30.96          72.12         450.0 
 0         90        270.00           6.18         700.0 
 0         94         90.00           6.18         550.0 
 0         95        245.55          74.73         500.0 
 0         96        180.00           6.18         400.0 
 0         98        270.00           6.18           0.2 
 0         99        270.00           6.18           0.5 
 0        101        270.00           6.18          20.0 
 0        102        270.00          18.55         250.0 
 0        106        300.97          72.12         700.0 
 0        108        225.00           8.75         550.0 
 0        110        315.00           8.75         450.0 
 0        112        270.00           6.18         400.0 
 0        114        225.00           8.75         550.0 
 0        115        270.00           6.18         500.0 
 0        117        225.00           8.75         700.0 
-1         65        270.00           6.18           2.0 
-1         66         90.00           6.18         150.0 
-1         71        225.01           8.75         750.0 
-1         76        225.01           8.75           1.5 
-1         77         90.00           6.18         450.0 
-1         79        178.59           6.18         600.0 
-1         81        128.66          39.59         600.0 
-1         83         90.00           6.18         650.0 
-1         88        225.01           8.75         750.0 
-1         93         56.33          66.89         600.0 
-1         97        270.00           6.18           1.0 
-1         99        270.00           6.18         250.0 
-1        100        270.00           6.18           7.0 
-1        101        225.01           8.75         300.0 
-1        102        225.01           8.75           1.0 
-1        104        225.01           8.75         350.0 
-1        106        270.00          12.37         700.0 
-1        107        270.00          12.37         650.0 
-1        108        270.00          12.37         550.0 
-1        109        270.00          12.37         350.0 
-1        111        178.59           6.18         350.0 
-1        114        225.01           8.75         600.0 
-1        115        150.93          63.67         650.0 
-1        126        296.56          13.83         700.0 
-2         75        270.00           6.18         450.0 
-2         76        225.05           8.74         450.0 
-2         77        177.17           6.18         650.0 
-2         79        225.05          17.49         500.0 
-2         91        270.00           6.18         650.0 
-2         95        177.17           6.18         400.0 
-2         97        314.94          43.72         300.0 
