Index_Num,starttime,resolution,speed,volume,occupancy,速度,车流量,占有率,年,月,日,日期,时间,速度均值,车流量均值,占有率均值,ID,filter_$
636,2/2/2014 4:30:00,0:00:05,64.55,33,1.87,64.55,33,1.87,2014,2,2,2/2/2014,4:30:00,63.0733333333334,18.1428571428571,1.45428571428571,55,1
638,2/2/2014 4:35:00,0:00:05,66.95,41,3.5,66.95,41,3.5,2014,2,2,2/2/2014,4:35:00,63.4293029898324,23.9713113988379,2.16157894736842,56,1
640,2/2/2014 4:40:00,0:00:05,65.18,50,3.47,65.18,50,3.47,2014,2,2,2/2/2014,4:40:00,63.9394444444445,27.9141620321067,1.97833333333333,57,1
641,2/2/2014 4:45:00,0:00:05,65.84,37,3.08,65.84,37,3.08,2014,2,2,2/2/2014,4:45:00,63.9747058823529,22.4117647058824,2.03235294117647,58,1
643,2/2/2014 4:50:00,0:00:05,65.89,18,.73,65.89,18,.73,2014,2,2,2/2/2014,4:50:00,64.7933333333333,21.2380952380952,2.70253832876434,59,1
645,2/2/2014 4:55:00,0:00:05,67.12,25,1.17,67.12,25,1.17,2014,2,2,2/2/2014,4:55:00,61.2061904761905,16.2121388846628,1.44182505838156,60,1
647,2/2/2014 5:00:00,0:00:05,64.03,30,2,64.03,30,2,2014,2,2,2/2/2014,5:00:00,64.0761689201704,25.822745828896,1.7375,61,1
650,2/2/2014 5:05:00,0:00:05,64.19,31,2.42,64.19,31,2.42,2014,2,2,2/2/2014,5:05:00,63.6159672843899,26.4736842105263,2.36210526315789,62,1
652,2/2/2014 5:10:00,0:00:05,67.15,27,2.78,67.15,27,2.78,2014,2,2,2/2/2014,5:10:00,63.0525418287337,36.0952380952381,2.89857142857143,63,1
654,2/2/2014 5:15:00,0:00:05,63.24,66,4.67,63.24,66,4.67,2014,2,2,2/2/2014,5:15:00,63.3282608695652,36.193692025127,3.73695652173913,64,1
656,2/2/2014 5:20:00,0:00:05,64.67,86,6.2,64.67,86,6.2,2014,2,2,2/2/2014,5:20:00,62.0530434782609,44.7826086956522,4.18391304347826,65,1
658,2/2/2014 5:25:00,0:00:05,64.23,80,6,64.23,80,6,2014,2,2,2/2/2014,5:25:00,62.5649351361363,47.8981966631168,5.54913304904051,66,1
665,2/2/2014 5:45:00,0:00:05,62.96, ,13.42,62.96,59.4549165779198,13.42,2014,2,2,2/2/2014,5:45:00,62.5885714285714,71.307376979901,7.93952380952381,67,1
673,2/2/2014 6:05:00,0:00:05,61.54,109,11.33,61.54,109,11.33,2014,2,2,2/2/2014,6:05:00,59.4563513525432,87.70999205504,10.898015534572,68,1
676,2/2/2014 6:10:00,0:00:05,57.11,188,16.67,57.11,188,16.67,2014,2,2,2/2/2014,6:10:00,55.5333357054425,93.3157894736842,12.8146487487375,69,1
677,2/2/2014 6:15:00,0:00:05,53.47,210,21.07,53.47,210,21.07,2014,2,2,2/2/2014,6:15:00,52.0821052631579,91.3157894736842,15.9584210526316,70,1
680,2/2/2014 6:20:00,0:00:05,37.22,162,24.67,37.22,162,24.67,2014,2,2,2/2/2014,6:20:00,47.9752380952381,99.8571428571429,16.7252380952381,71,1
682,2/2/2014 6:25:00,0:00:05,42.53,142,23,42.53,142,23,2014,2,2,2/2/2014,6:25:00,43.55,78.4166666666667,18.6070833333333,72,1
683,2/2/2014 6:30:00,0:00:05,43.57,178,22,43.57,178,22,2014,2,2,2/2/2014,6:30:00,46.5278260869565,98.4347826086957,17.0995652173913,73,1
686,2/2/2014 6:35:00,0:00:05,35.76,132,26.08,35.76,132,26.08,2014,2,2,2/2/2014,6:35:00,44.7778260869565,76.5652173913043,16.131231575044,74,1
687,2/2/2014 6:40:00,0:00:05,30.13,149,27.67,30.13,149,27.67,2014,2,2,2/2/2014,6:40:00,41.5677272727273,85.2934052989964,18.5854545454545,75,1
690,2/2/2014 6:45:00,0:00:05,25.06,96,29.5,25.06,96,29.5,2014,2,2,2/2/2014,6:45:00,43.9534782608696,70.4545615903443,17.9986228793919,76,1
692,2/2/2014 6:50:00,0:00:05,50.54,154,16.93,50.54,154,16.93,2014,2,2,2/2/2014,6:50:00,44.3927272727273,86.2479507535418,16.6495454545455,77,1
693,2/2/2014 6:55:00,0:00:05,53.98,150,18.17,53.98,150,18.17,2014,2,2,2/2/2014,6:55:00,46.3168181818182,81.1818181818182,15.1094693739097,78,1
695,2/2/2014 7:00:00,0:00:05,52.67,157,18.2,52.67,157,18.2,2014,2,2,2/2/2014,7:00:00,44.2215,84.85,17.8335,79,1
698,2/2/2014 7:05:00,0:00:05,26.32,120,31.4,26.32,120,31.4,2014,2,2,2/2/2014,7:05:00,43.972,81.3,18.069,80,1
699,2/2/2014 7:10:00,0:00:05,34.39,151,28.67,34.39,151,28.67,2014,2,2,2/2/2014,7:10:00,43.7684210526316,83.6842105263158,19.3562276961059,81,1
708,2/2/2014 7:30:00,0:00:05, ,152,27.93,56.8433784034081,152,27.93,2014,2,2,2/2/2014,7:30:00,44.941672300426,87.75,20.56875,82,1
715,2/2/2014 7:50:00,0:00:05,31.46,139,28.4,31.46,139,28.4,2014,2,2,2/2/2014,7:50:00,41.2833357054425,100,21.9863157894737,83,1
717,2/2/2014 7:55:00,0:00:05,30.76,80,31.89,30.76,80,31.89,2014,2,2,2/2/2014,7:55:00,41.744852582128,71.7272727272727,19.798105737546,84,1
720,2/2/2014 8:00:00,0:00:05,37.13,147,28.33,37.13,147,28.33,2014,2,2,2/2/2014,8:00:00,41.143,98.7,22.5014163113006,85,1
721,2/2/2014 8:05:00,0:00:05,32.73,133,31.47,32.73,133,31.47,2014,2,2,2/2/2014,8:05:00,38.6065,86.95,23.261,86,1
723,2/2/2014 8:10:00,0:00:05,44.19,104,20.56,44.19,104,20.56,2014,2,2,2/2/2014,8:10:00,39.0866666666667,96.35499602752,24.33,87,1
725,2/2/2014 8:15:00,0:00:05,38.29,143,28.27,38.29,143,28.27,2014,2,2,2/2/2014,8:15:00,42.1405816697134,89.695652173913,21.0773913043478,88,1
728,2/2/2014 8:20:00,0:00:05,30.74,74,32.56,30.74,74,32.56,2014,2,2,2/2/2014,8:20:00,41.6240909090909,100.045454545455,21.4727272727273,89,1
735,2/2/2014 8:40:00,0:00:05,28.76, ,37.33,28.76,59.4549165779198,37.33,2014,2,2,2/2/2014,8:40:00,44.1588425392786,97.7352101372104,21.6178260869565,90,1
744,2/2/2014 9:00:00,0:00:05,33.41,157,28.93,33.41,157,28.93,2014,2,2,2/2/2014,9:00:00,49.2221739130435,101,16.2617391304348,91,1
746,2/2/2014 9:05:00,0:00:05,55.84,122,16.33,55.84,122,16.33,2014,2,2,2/2/2014,9:05:00,50.3216,78.5781966631168,14.9892,92,1
747,2/2/2014 9:10:00,0:00:05,59.13,164,14.27,59.13,164,14.27,2014,2,2,2/2/2014,9:10:00,50.9504166666667,102.375,16.4611802594172,93,1
750,2/2/2014 9:15:00,0:00:05,62.23,148,12.4,62.23,148,12.4,2014,2,2,2/2/2014,9:15:00,51.3495,84.1,15.5735,94,1
752,2/2/2014 9:20:00,0:00:05,61.64,146,11.27,61.64,146,11.27,2014,2,2,2/2/2014,9:20:00,48.8783333333333,100,18.6255555555556,95,1
753,2/2/2014 9:25:00,0:00:05,59.93,152,15.47,59.93,152,15.47,2014,2,2,2/2/2014,9:25:00,48.5143883370215,102.157894736842,18.2273684210526,96,1
756,2/2/2014 9:30:00,0:00:05,61.34,142,12.67,61.34,142,12.67,2014,2,2,2/2/2014,9:30:00,51.0660360384198,108.142857142857,18.4032536298101,97,1
764,2/2/2014 9:50:00,0:00:05, ,149,13.47,56.8433784034081,149,13.47,2014,2,2,2/2/2014,9:50:00,48.8046689201704,102.15,17.5759163113006,98,1
772,2/2/2014 10:10:00,0:00:05,63.43,116,9.4,63.43,116,9.4,2014,2,2,2/2/2014,10:10:00,52.3508695652174,100.869565217391,15.0847826086956,99,1
773,2/2/2014 10:15:00,0:00:05,62.63,90,7.4,62.63,90,7.4,2014,2,2,2/2/2014,10:15:00,53.042,89.1,14.689,100,1
775,2/2/2014 10:20:00,0:00:05,61.53,122,11.8,61.53,122,11.8,2014,2,2,2/2/2014,10:20:00,53.5940909090909,99.92976893536,14.4218181818182,101,1
777,2/2/2014 10:25:00,0:00:05,63.14,123,9.93,63.14,123,9.93,2014,2,2,2/2/2014,10:25:00,56.0481689201704,82.7,12.1655,102,1
779,2/2/2014 10:30:00,0:00:05,63.36,107,8.87,63.36,107,8.87,2014,2,2,2/2/2014,10:30:00,56.130637066829,89.6623730074209,12.9219047619048,103,1
782,2/2/2014 10:35:00,0:00:05,62.93,73,10.11,62.93,73,10.11,2014,2,2,2/2/2014,10:35:00,55.4733333333333,81,12.9621292347785,104,1
783,2/2/2014 10:40:00,0:00:05,60.43,139,13.13,60.43,139,13.13,2014,2,2,2/2/2014,10:40:00,54.6954409686004,95.9473684210526,12.5935961171586,105,1
786,2/2/2014 10:45:00,0:00:05,63.38,93,7.47,63.38,93,7.47,2014,2,2,2/2/2014,10:45:00,56.7277777777778,84.8888888888889,12.8332403458896,106,1
788,2/2/2014 10:50:00,0:00:05,62.79,127,11.27,62.79,127,11.27,2014,2,2,2/2/2014,10:50:00,57.490637066829,98.5238095238095,12.0757142857143,107,1
790,2/2/2014 10:55:00,0:00:05,62.7,71,6.92,62.7,71,6.92,2014,2,2,2/2/2014,10:55:00,58.4831818181818,73.2727272727273,10.9271966466369,108,1
791,2/2/2014 11:00:00,0:00:05,62.8,130,10.67,62.8,130,10.67,2014,2,2,2/2/2014,11:00:00,57.7918181818182,101.045454545455,12.0799239193642,109,1
794,2/2/2014 11:05:00,0:00:05,65.26,89,6.73,65.26,89,6.73,2014,2,2,2/2/2014,11:05:00,57.5495,86.05,12.4105,110,1
795,2/2/2014 11:10:00,0:00:05,61.02,133,12.93,61.02,133,12.93,2014,2,2,2/2/2014,11:10:00,58.1005,98.5,12.235,111,1
798,2/2/2014 11:15:00,0:00:05,63.55,100,8.13,63.55,100,8.13,2014,2,2,2/2/2014,11:15:00,57.1430180192099,87.5714285714286,12.5727774393339,112,1
800,2/2/2014 11:20:00,0:00:05,62.47,92,6.8,62.47,92,6.8,2014,2,2,2/2/2014,11:20:00,56.4712741336579,97.2380952380952,12.1704761904762,113,1
801,2/2/2014 11:25:00,0:00:05,62.23,97,8.4,62.23,97,8.4,2014,2,2,2/2/2014,11:25:00,57.1926315789473,85.8660482409432,12.5305263157895,114,1
804,2/2/2014 11:30:00,0:00:05,64.01,117,9.33,64.01,117,9.33,2014,2,2,2/2/2014,11:30:00,57.0791689201704,95.222745828896,12.1735,115,1
806,2/2/2014 11:35:00,0:00:05,62.5,96,10.83,62.5,96,10.83,2014,2,2,2/2/2014,11:35:00,55.3346689201704,90.35,14.0715,116,1
808,2/2/2014 11:40:00,0:00:05,63.27,104,8,63.27,104,8,2014,2,2,2/2/2014,11:40:00,57.2577777777778,100.525273143218,13.1316666666667,117,1
810,2/2/2014 11:45:00,0:00:05,64,32,3,64,32,3,2014,2,2,2/2/2014,11:45:00,56.6641176470588,82,13.3382352941176,118,1
812,2/2/2014 11:50:00,0:00:05,63.33,85,7.07,63.33,85,7.07,2014,2,2,2/2/2014,11:50:00,57.475,101.05,11.6814163113006,119,1
813,2/2/2014 11:55:00,0:00:05,62.87,119,9.67,62.87,119,9.67,2014,2,2,2/2/2014,11:55:00,59.1812162184916,81.8843143899054,11.2190148284551,120,1
816,2/2/2014 12:00:00,0:00:05,61.68,68,9,61.68,68,9,2014,2,2,2/2/2014,12:00:00,59.2184210526316,91.7607850830484,11.2047368421053,121,1
817,2/2/2014 12:05:00,0:00:05,63.12,65,9.78,63.12,65,9.78,2014,2,2,2/2/2014,12:05:00,59.5747058823529,87.2941176470588,10.8264705882353,122,1
820,2/2/2014 12:10:00,0:00:05,63.18,80,6.73,63.18,80,6.73,2014,2,2,2/2/2014,12:10:00,60.5770199159688,83.7368421052632,9.81675401189541,123,1
821,2/2/2014 12:15:00,0:00:05,62.15,113,9.6,62.15,113,9.6,2014,2,2,2/2/2014,12:15:00,58.3421689201704,80.7,11.504,124,1
823,2/2/2014 12:20:00,0:00:05,61.76,70,11.56,61.76,70,11.56,2014,2,2,2/2/2014,12:20:00,60.2784210526316,99.6315789473684,11.0093855908428,125,1
826,2/2/2014 12:25:00,0:00:05,63.78,123,10.53,63.78,123,10.53,2014,2,2,2/2/2014,12:25:00,60.2547368421053,85.0765745567326,10.4763157894737,126,1
834,2/2/2014 12:45:00,0:00:05,61.63, ,14.42,61.63,59.4549165779198,14.42,2014,2,2,2/2/2014,12:45:00,58.4113752002005,91.4973480339953,11.8399015427066,127,1
848,2/2/2014 13:20:00,0:00:05, ,126,10.07,56.8433784034081,126,10.07,2014,2,2,2/2/2014,13:20:00,59.1239434912189,107.475223480815,11.6368181818182,128,1
856,2/2/2014 13:40:00,0:00:05,59.34,76,6.27,59.34,76,6.27,2014,2,2,2/2/2014,13:40:00,57.9746990183367,97.9959015070836,11.8786363636364,129,1
858,2/2/2014 13:45:00,0:00:05,62.37,115,10.27,62.37,115,10.27,2014,2,2,2/2/2014,13:45:00,59.5205882352941,94.5882352941177,11.6035294117647,130,1
859,2/2/2014 13:50:00,0:00:05,62.1,83,6.87,62.1,83,6.87,2014,2,2,2/2/2014,13:50:00,59.1741689201704,103.8,11.6369163113006,131,1
862,2/2/2014 13:55:00,0:00:05,59.53,97,14.44,59.53,97,14.44,2014,2,2,2/2/2014,13:55:00,59.884,83.096994438528,11.576,132,1
863,2/2/2014 14:00:00,0:00:05,62.93,147,12.4,62.93,147,12.4,2014,2,2,2/2/2014,14:00:00,59.5601778107057,105.708153504101,11.4731578947368,133,1
865,2/2/2014 14:05:00,0:00:05,63.44,122,9.87,63.44,122,9.87,2014,2,2,2/2/2014,14:05:00,60.95375,85.875,10.4075,134,1
868,2/2/2014 14:10:00,0:00:05,61.59,136,12,61.59,136,12,2014,2,2,2/2/2014,14:10:00,58.4625418287337,105.83118650371,11.4573799370494,135,1
870,2/2/2014 14:15:00,0:00:05,60.75,113,10,60.75,113,10,2014,2,2,2/2/2014,14:15:00,59.04375,99.75,13.089375,136,1
872,2/2/2014 14:20:00,0:00:05,62.8,110,8.73,62.8,110,8.73,2014,2,2,2/2/2014,14:20:00,60.7776470588235,101,10.436960366236,137,1
873,2/2/2014 14:25:00,0:00:05,60.74,43,5.44,60.74,43,5.44,2014,2,2,2/2/2014,14:25:00,60.064375,86.99436457224,11.293125,138,1
875,2/2/2014 14:30:00,0:00:05,62.52,102,8.2,62.52,102,8.2,2014,2,2,2/2/2014,14:30:00,57.8221052631579,107.315789473684,11.6514908540007,139,1
878,2/2/2014 14:35:00,0:00:05,62.06,163,14.47,62.06,163,14.47,2014,2,2,2/2/2014,14:35:00,60.0957894736842,94.0526315789474,11.0414027606329,140,1
880,2/2/2014 14:40:00,0:00:05,63.59,107,8.93,63.59,107,8.93,2014,2,2,2/2/2014,14:40:00,58.9559672843899,121.421052631579,13.0462276961059,141,1
882,2/2/2014 14:45:00,0:00:05,62.31,112,11.33,62.31,112,11.33,2014,2,2,2/2/2014,14:45:00,58.11,101.722745828896,12.8475,142,1
884,2/2/2014 14:50:00,0:00:05,62.03,151,13,62.03,151,13,2014,2,2,2/2/2014,14:50:00,57.312,117.25,12.5209163113006,143,1
885,2/2/2014 14:55:00,0:00:05,60.51,143,12.67,60.51,143,12.67,2014,2,2,2/2/2014,14:55:00,57.1555,103.072745828896,13.485,144,1
888,2/2/2014 15:00:00,0:00:05,62.35,171,14.27,62.35,171,14.27,2014,2,2,2/2/2014,15:00:00,55.8771428571429,112.857142857143,13.5280952380952,145,1
890,2/2/2014 15:05:00,0:00:05,61.64,152,12.47,61.64,152,12.47,2014,2,2,2/2/2014,15:05:00,57.8615789473684,99.6842105263158,13.0493855908428,146,1
892,2/2/2014 15:10:00,0:00:05,64.15,132,9.87,64.15,132,9.87,2014,2,2,2/2/2014,15:10:00,56.6636689201704,108.7,13.7549163113006,147,1
893,2/2/2014 15:15:00,0:00:05,59.29,170,14.93,59.29,170,14.93,2014,2,2,2/2/2014,15:15:00,56.2988235294118,100.764705882353,13.6758823529412,148,1
896,2/2/2014 15:20:00,0:00:05,58.58,174,15.27,58.58,174,15.27,2014,2,2,2/2/2014,15:20:00,55.0298378403408,118.722745828896,14.0649163113006,149,1
898,2/2/2014 15:25:00,0:00:05,62.39,154,12.2,62.39,154,12.2,2014,2,2,2/2/2014,15:25:00,55.2472222222222,104.858606476551,14.9311111111111,150,1
899,2/2/2014 15:30:00,0:00:05,61.67,172,15.13,61.67,172,15.13,2014,2,2,2/2/2014,15:30:00,53.8515894477813,120.904761904762,15.6670631536197,151,1
902,2/2/2014 15:35:00,0:00:05,63.03,147,12.27,63.03,147,12.27,2014,2,2,2/2/2014,15:35:00,52.9255,102.922745828896,16.1455,152,1
903,2/2/2014 15:40:00,0:00:05,62.34,160,12.67,62.34,160,12.67,2014,2,2,2/2/2014,15:40:00,54.0669565217391,127.260869565217,15.1595652173913,153,1
906,2/2/2014 15:45:00,0:00:05,60.86,152,15.92,60.86,152,15.92,2014,2,2,2/2/2014,15:45:00,50.5666666666667,98.4166666666667,17.8895833333333,154,1
908,2/2/2014 15:50:00,0:00:05,60.96,150,13.2,60.96,150,13.2,2014,2,2,2/2/2014,15:50:00,50.6504,115.72,17.0496,155,1
910,2/2/2014 15:55:00,0:00:05,60.9,136,14.92,60.9,136,14.92,2014,2,2,2/2/2014,15:55:00,47.5913043478261,99.4347826086957,18.6586956521739,156,1
911,2/2/2014 16:00:00,0:00:05,62.55,141,12.07,62.55,141,12.07,2014,2,2,2/2/2014,16:00:00,48.2428571428571,113.047619047619,17.7185714285714,157,1
913,2/2/2014 16:05:00,0:00:05,61.18,176,14.53,61.18,176,14.53,2014,2,2,2/2/2014,16:05:00,49.4411132573051,95.5714285714286,18.002380952381,158,1
916,2/2/2014 16:10:00,0:00:05,61.73,116,15.89,61.73,116,15.89,2014,2,2,2/2/2014,16:10:00,48.5144465906385,92.3766587217066,18.0833333333333,159,1
918,2/2/2014 16:15:00,0:00:05,62.07,122,12.42,62.07,122,12.42,2014,2,2,2/2/2014,16:15:00,43.33625,87.8125,20.8166657782516,160,1
920,2/2/2014 16:20:00,0:00:05,58.68,151,16.5,58.68,151,16.5,2014,2,2,2/2/2014,16:20:00,42.2561538461539,98.6153846153846,20.7475635558471,161,1
921,2/2/2014 16:25:00,0:00:05,63.33,21,8.33,63.33,21,8.33,2014,2,2,2/2/2014,16:25:00,46.7868918935605,78.9636611051947,16.6873333333333,162,1
924,2/2/2014 16:30:00,0:00:05,62.29,31,13.33,62.29,31,13.33,2014,2,2,2/2/2014,16:30:00,49.0117567580741,107.526315789474,16.4423672988441,163,1
