Index_Num,starttime,resolution,speed,volume,occupancy,speed_处理后,volume_处理后,occupancy_处理后
136,2011-03-01T05:35:00,0:05:00,NA,NA,NA,62.22,133,11.04
138,2011-03-01T05:40:00,0:05:00,NA,NA,NA,62.71,108,10.15
140,2011-03-01T05:45:00,0:05:00,NA,NA,NA,61.59,140,13.36
142,2011-03-01T05:50:00,0:05:00,NA,NA,NA,64.51,104,9.06
144,2011-03-01T05:55:00,0:05:00,NA,NA,NA,62.96,114,11.39
146,2011-03-01T06:00:00,0:05:00,NA,NA,NA,62.57,128,11.86
148,2011-03-01T06:05:00,0:05:00,NA,NA,NA,60.58,146,12.16
150,2011-03-01T06:10:00,0:05:00,NA,NA,NA,59.56,93,12.38
152,2011-03-01T06:15:00,0:05:00,NA,NA,NA,54.71,126,17.9
154,2011-03-01T06:20:00,0:05:00,NA,NA,NA,51.52,114,17.89
156,2011-03-01T06:25:00,0:05:00,NA,NA,NA,47.13,119,19.91
158,2011-03-01T06:30:00,0:05:00,NA,NA,NA,47.94,159,18.71
160,2011-03-01T06:35:00,0:05:00,NA,NA,NA,40.84,127,26.98
162,2011-03-01T06:40:00,0:05:00,NA,NA,NA,33.34,88,28.66
164,2011-03-01T06:45:00,0:05:00,NA,NA,NA,33.34,118,31.73
166,2011-03-01T06:50:00,0:05:00,NA,NA,NA,42.33,135,22.4
168,2011-03-01T06:55:00,0:05:00,NA,NA,NA,34.8,112,24.7
170,2011-03-01T07:00:00,0:05:00,NA,NA,NA,34.17,75,28.04
172,2011-03-01T07:05:00,0:05:00,NA,NA,NA,50.05,152,16.34
174,2011-03-01T07:10:00,0:05:00,NA,NA,NA,37.42,115,24.46
176,2011-03-01T07:15:00,0:05:00,NA,NA,NA,33.25,130,29.95
178,2011-03-01T07:20:00,0:05:00,NA,NA,NA,46.55,130,19.87
180,2011-03-01T07:25:00,0:05:00,NA,NA,NA,40.95,114,23.06
182,2011-03-01T07:30:00,0:05:00,NA,NA,NA,38.29,118,23.43
184,2011-03-01T07:35:00,0:05:00,NA,NA,NA,30.97,108,31.91
186,2011-03-01T07:40:00,0:05:00,NA,NA,NA,31.52,144,30.49
188,2011-03-01T07:45:00,0:05:00,NA,NA,NA,22.69,122,36.32
190,2011-03-01T07:50:00,0:05:00,NA,NA,NA,39.98,145,23.4
192,2011-03-01T07:55:00,0:05:00,NA,NA,NA,44.47,165,23.22
194,2011-03-01T08:00:00,0:05:00,NA,NA,NA,45.79,136,20.17
196,2011-03-01T08:05:00,0:05:00,NA,NA,NA,29.31,128,36.28
198,2011-03-01T08:10:00,0:05:00,NA,NA,NA,46.24,146,18.9
200,2011-03-01T08:15:00,0:05:00,NA,NA,NA,31.27,82,30.77
202,2011-03-01T08:20:00,0:05:00,NA,NA,NA,27.36,110,33.17
204,2011-03-01T08:25:00,0:05:00,NA,NA,NA,28.44,131,32.78
206,2011-03-01T08:30:00,0:05:00,NA,NA,NA,37.76,140,25.72
208,2011-03-01T08:35:00,0:05:00,NA,NA,NA,35.57,136,26.84
210,2011-03-01T08:40:00,0:05:00,NA,NA,NA,42.37,144,23.05
212,2011-03-01T08:45:00,0:05:00,NA,NA,NA,46.73,148,19.98
214,2011-03-01T08:50:00,0:05:00,NA,NA,NA,49.05,158,21.4
216,2011-03-01T08:55:00,0:05:00,NA,NA,NA,34.36,132,30.41
218,2011-03-01T09:00:00,0:05:00,NA,NA,NA,32.86,136,30.43
220,2011-03-01T09:05:00,0:05:00,NA,NA,NA,34.16,91,26.74
222,2011-03-01T09:10:00,0:05:00,NA,NA,NA,32.83,129,28.7
224,2011-03-01T09:15:00,0:05:00,NA,NA,NA,19.39,85,37.99
226,2011-03-01T09:20:00,0:05:00,NA,NA,NA,38.67,124,23.82
228,2011-03-01T09:25:00,0:05:00,NA,NA,NA,41.8,140,22.58
230,2011-03-01T09:30:00,0:05:00,NA,NA,NA,47.97,135,19.4
232,2011-03-01T09:35:00,0:05:00,NA,NA,NA,49.9,142,22.65
234,2011-03-01T09:40:00,0:05:00,NA,NA,NA,53.49,122,13.6
236,2011-03-01T09:45:00,0:05:00,NA,NA,NA,58.86,101,12.97
238,2011-03-01T09:50:00,0:05:00,NA,NA,NA,61.59,109,10.7
240,2011-03-01T09:55:00,0:05:00,NA,NA,NA,60.95,121,11.87
242,2011-03-01T10:00:00,0:05:00,NA,NA,NA,61.25,77,11.81
244,2011-03-01T10:05:00,0:05:00,NA,NA,NA,61.4,94,9.57
246,2011-03-01T10:10:00,0:05:00,NA,NA,NA,62.22,113,9.53
248,2011-03-01T10:15:00,0:05:00,NA,NA,NA,60.77,111,10.95
250,2011-03-01T10:20:00,0:05:00,NA,NA,NA,63.14,96,8.78
252,2011-03-01T10:25:00,0:05:00,NA,NA,NA,61.44,112,11.65
254,2011-03-01T10:30:00,0:05:00,NA,NA,NA,61.21,76,10.81
256,2011-03-01T10:35:00,0:05:00,NA,NA,NA,60.33,134,14.61
258,2011-03-01T10:40:00,0:05:00,NA,NA,NA,60.69,66,9.61
260,2011-03-01T10:45:00,0:05:00,NA,NA,NA,60.52,113,12.05
262,2011-03-01T10:50:00,0:05:00,NA,NA,NA,59.79,102,10.57
264,2011-03-01T10:55:00,0:05:00,NA,NA,NA,61.37,59,7.98
266,2011-03-01T11:00:00,0:05:00,NA,NA,NA,61.55,92,10.29
268,2011-03-01T11:05:00,0:05:00,NA,NA,NA,61.06,109,11.65
270,2011-03-01T11:10:00,0:05:00,NA,NA,NA,62.51,131,10.98
272,2011-03-01T11:15:00,0:05:00,NA,NA,NA,60.19,104,11.17
274,2011-03-01T11:20:00,0:05:00,NA,NA,NA,60.72,99,11.18
276,2011-03-01T11:25:00,0:05:00,NA,NA,NA,61.4,69,8.29
278,2011-03-01T11:30:00,0:05:00,NA,NA,NA,61.65,98,10.52
280,2011-03-01T11:35:00,0:05:00,NA,NA,NA,61.75,128,10.81
282,2011-03-01T11:40:00,0:05:00,NA,NA,NA,62.37,66,8.23
284,2011-03-01T11:45:00,0:05:00,NA,NA,NA,61.82,83,9.82
286,2011-03-01T11:50:00,0:05:00,NA,NA,NA,60.98,103,11.09
288,2011-03-01T11:55:00,0:05:00,NA,NA,NA,60.96,68,10.08
290,2011-03-01T12:00:00,0:05:00,NA,NA,NA,60.7,77,12.7
292,2011-03-01T12:05:00,0:05:00,NA,NA,NA,62.7,78,9.25
294,2011-03-01T12:10:00,0:05:00,NA,NA,NA,61.72,82,10.38
296,2011-03-01T12:15:00,0:05:00,NA,NA,NA,61.21,94,9.82
298,2011-03-01T12:20:00,0:05:00,NA,NA,NA,61.22,123,12.79
300,2011-03-01T12:25:00,0:05:00,NA,NA,NA,61.58,119,11.93
302,2011-03-01T12:30:00,0:05:00,NA,NA,NA,62.49,72,8.67
304,2011-03-01T12:35:00,0:05:00,NA,NA,NA,62.61,100,10.12
306,2011-03-01T12:40:00,0:05:00,NA,NA,NA,62.06,101,11.05
308,2011-03-01T12:45:00,0:05:00,NA,NA,NA,61.59,130,12.23
310,2011-03-01T12:50:00,0:05:00,NA,NA,NA,63.1,100,9.06
312,2011-03-01T12:55:00,0:05:00,NA,NA,NA,61.53,68,10.06
314,2011-03-01T13:00:00,0:05:00,NA,NA,NA,60.92,136,12.88
316,2011-03-01T13:05:00,0:05:00,NA,NA,NA,61.87,106,10.42
318,2011-03-01T13:10:00,0:05:00,NA,NA,NA,61.71,87,11.09
320,2011-03-01T13:15:00,0:05:00,NA,NA,NA,61.09,91,11.71
322,2011-03-01T13:20:00,0:05:00,NA,NA,NA,60.21,117,10.52
324,2011-03-01T13:25:00,0:05:00,NA,NA,NA,61.01,105,10.26
326,2011-03-01T13:30:00,0:05:00,NA,NA,NA,61.63,89,11.99
328,2011-03-01T13:35:00,0:05:00,NA,NA,NA,58.61,140,12.37
330,2011-03-01T13:40:00,0:05:00,NA,NA,NA,60.55,102,9.81
332,2011-03-01T13:45:00,0:05:00,NA,NA,NA,60.42,121,10.68
334,2011-03-01T13:50:00,0:05:00,NA,NA,NA,61.39,107,9.86
336,2011-03-01T13:55:00,0:05:00,NA,NA,NA,58.83,133,11.74
338,2011-03-01T14:00:00,0:05:00,NA,NA,NA,61.56,107,10.9
340,2011-03-01T14:05:00,0:05:00,NA,NA,NA,58.94,57,8.48
342,2011-03-01T14:10:00,0:05:00,NA,NA,NA,59.66,113,10.24
344,2011-03-01T14:15:00,0:05:00,NA,NA,NA,61.7,106,9.31
346,2011-03-01T14:20:00,0:05:00,NA,NA,NA,61.65,136,13.49
348,2011-03-01T14:25:00,0:05:00,NA,NA,NA,59.99,143,14.74
350,2011-03-01T14:30:00,0:05:00,NA,NA,NA,61.04,132,12.26
352,2011-03-01T14:35:00,0:05:00,NA,NA,NA,53.84,123,16.03
354,2011-03-01T14:40:00,0:05:00,NA,NA,NA,46.86,133,20
356,2011-03-01T14:45:00,0:05:00,NA,NA,NA,50.93,105,15.79
358,2011-03-01T14:50:00,0:05:00,NA,NA,NA,53.81,81,12.69
360,2011-03-01T14:55:00,0:05:00,NA,NA,NA,47.58,72,18
362,2011-03-01T15:00:00,0:05:00,NA,NA,NA,52.01,138,17.24
364,2011-03-01T15:05:00,0:05:00,NA,NA,NA,42.71,118,27.37
366,2011-03-01T15:10:00,0:05:00,NA,NA,NA,41.14,124,27.67
368,2011-03-01T15:15:00,0:05:00,NA,NA,NA,43.37,111,14.81
370,2011-03-01T15:20:00,0:05:00,NA,NA,NA,44.58,120,19.07
372,2011-03-01T15:25:00,0:05:00,NA,NA,NA,43.12,96,27.18
374,2011-03-01T15:30:00,0:05:00,NA,NA,NA,50.99,136,19.05
376,2011-03-01T15:35:00,0:05:00,NA,NA,NA,54.68,153,16.37
378,2011-03-01T15:40:00,0:05:00,NA,NA,NA,39.77,146,28.53
380,2011-03-01T15:45:00,0:05:00,NA,NA,NA,47.47,145,18.62
382,2011-03-01T15:50:00,0:05:00,NA,NA,NA,48.06,87,14.41
384,2011-03-01T15:55:00,0:05:00,NA,NA,NA,51.32,121,14.92
386,2011-03-01T16:00:00,0:05:00,NA,NA,NA,49.87,128,17.26
388,2011-03-01T16:05:00,0:05:00,NA,NA,NA,50.7,83,17.54
390,2011-03-01T16:10:00,0:05:00,NA,NA,NA,39.13,118,20.93
392,2011-03-01T16:15:00,0:05:00,NA,NA,NA,34.93,138,27.94
394,2011-03-01T16:20:00,0:05:00,NA,NA,NA,42.75,116,24.3
396,2011-03-01T16:25:00,0:05:00,NA,NA,NA,43.91,145,22.83
398,2011-03-01T16:30:00,0:05:00,NA,NA,NA,33.32,94,27.13
400,2011-03-01T16:35:00,0:05:00,NA,NA,NA,31.18,132,27.09
402,2011-03-01T16:40:00,0:05:00,NA,NA,NA,25.79,131,33.02
404,2011-03-01T16:45:00,0:05:00,NA,NA,NA,35.44,142,26.06
406,2011-03-01T16:50:00,0:05:00,NA,NA,NA,41.25,126,21.36
408,2011-03-01T16:55:00,0:05:00,NA,NA,NA,36.97,108,21.26
410,2011-03-01T17:00:00,0:05:00,NA,NA,NA,38.18,127,24.22
412,2011-03-01T17:05:00,0:05:00,NA,NA,NA,39.76,87,28.58
414,2011-03-01T17:10:00,0:05:00,NA,NA,NA,53.44,110,12.75
416,2011-03-01T17:15:00,0:05:00,NA,NA,NA,57.86,101,12.2
418,2011-03-01T17:20:00,0:05:00,NA,NA,NA,52.85,130,17.36
420,2011-03-01T17:25:00,0:05:00,NA,NA,NA,58.3,146,13.94
422,2011-03-01T17:30:00,0:05:00,NA,NA,NA,59.12,145,14.39
424,2011-03-01T17:35:00,0:05:00,NA,NA,NA,57.25,123,12.45
426,2011-03-01T17:40:00,0:05:00,NA,NA,NA,57.96,120,12.08
428,2011-03-01T17:45:00,0:05:00,NA,NA,NA,57.24,112,12.77
430,2011-03-01T17:50:00,0:05:00,NA,NA,NA,58.93,76,10.24
432,2011-03-01T17:55:00,0:05:00,NA,NA,NA,59.62,84,11.67
434,2011-03-01T18:00:00,0:05:00,NA,NA,NA,59.75,94,10.04
436,2011-03-01T18:05:00,0:05:00,NA,NA,NA,58.78,95,9.81
438,2011-03-01T18:10:00,0:05:00,NA,NA,NA,56.89,119,12.09
440,2011-03-01T18:15:00,0:05:00,NA,NA,NA,59.29,104,9.22
442,2011-03-01T18:20:00,0:05:00,NA,NA,NA,58.92,93,11.02
444,2011-03-01T18:25:00,0:05:00,NA,NA,NA,59.3,97,8.4
446,2011-03-01T18:30:00,0:05:00,NA,NA,NA,59.9,82,7.91
448,2011-03-01T18:35:00,0:05:00,NA,NA,NA,60.23,84,7.1
450,2011-03-01T18:40:00,0:05:00,NA,NA,NA,59.77,93,7.48
452,2011-03-01T18:45:00,0:05:00,NA,NA,NA,61.56,86,6.95
454,2011-03-01T18:50:00,0:05:00,NA,NA,NA,60.45,58,4.74
456,2011-03-01T18:55:00,0:05:00,NA,NA,NA,60.86,71,5.67
458,2011-03-01T19:00:00,0:05:00,NA,NA,NA,62.34,45,5.61
460,2011-03-01T19:05:00,0:05:00,NA,NA,NA,60.67,58,8.07
462,2011-03-01T19:10:00,0:05:00,NA,NA,NA,61.29,69,5.65
464,2011-03-01T19:15:00,0:05:00,NA,NA,NA,61.51,72,6.99
466,2011-03-01T19:20:00,0:05:00,NA,NA,NA,60.94,83,7.22
468,2011-03-01T19:25:00,0:05:00,NA,NA,NA,62.73,58,4.53
470,2011-03-01T19:30:00,0:05:00,NA,NA,NA,62.4,36,2.81
472,2011-03-01T19:35:00,0:05:00,NA,NA,NA,61.83,59,5.22
474,2011-03-01T19:40:00,0:05:00,NA,NA,NA,62.83,30,2.96
476,2011-03-01T19:45:00,0:05:00,NA,NA,NA,62.25,47,5.2
478,2011-03-01T19:50:00,0:05:00,NA,NA,NA,63.5,57,5.14
480,2011-03-01T19:55:00,0:05:00,NA,NA,NA,62.77,42,3.38
482,2011-03-01T20:00:00,0:05:00,NA,NA,NA,62.69,23,2.4
484,2011-03-01T20:05:00,0:05:00,NA,NA,NA,62.23,28,2.14
486,2011-03-01T20:10:00,0:05:00,NA,NA,NA,63.57,50,4
488,2011-03-01T20:15:00,0:05:00,NA,NA,NA,62.45,37,2.81
490,2011-03-01T20:20:00,0:05:00,NA,NA,NA,63.07,43,4.17
492,2011-03-01T20:25:00,0:05:00,NA,NA,NA,63.55,33,3.52
494,2011-03-01T20:30:00,0:05:00,NA,NA,NA,61.52,47,6.33
496,2011-03-01T20:35:00,0:05:00,NA,NA,NA,62.67,46,3.25
498,2011-03-01T20:40:00,0:05:00,NA,NA,NA,62.93,36,3.49
500,2011-03-01T20:45:00,0:05:00,NA,NA,NA,62.05,27,2.34
502,2011-03-01T20:50:00,0:05:00,NA,NA,NA,62.6,53,4.55
504,2011-03-01T20:55:00,0:05:00,NA,NA,NA,63.23,31,3.26
506,2011-03-01T21:00:00,0:05:00,NA,NA,NA,63.88,27,3.04
508,2011-03-01T21:05:00,0:05:00,NA,NA,NA,62.89,38,2.74
510,2011-03-01T21:10:00,0:05:00,NA,NA,NA,62.81,42,3.54
512,2011-03-01T21:15:00,0:05:00,NA,NA,NA,62.79,61,4.55
514,2011-03-01T21:20:00,0:05:00,NA,NA,NA,62.86,35,2.49
516,2011-03-01T21:25:00,0:05:00,NA,NA,NA,62.5,32,2.24
518,2011-03-01T21:30:00,0:05:00,NA,NA,NA,62.29,28,2.48
520,2011-03-01T21:35:00,0:05:00,NA,NA,NA,62.87,23,2.24
522,2011-03-01T21:40:00,0:05:00,NA,NA,NA,62.44,32,2.45
524,2011-03-01T21:45:00,0:05:00,NA,NA,NA,64.81,15,1.41
526,2011-03-01T21:50:00,0:05:00,NA,NA,NA,64.01,19,1.65
528,2011-03-01T21:55:00,0:05:00,NA,NA,NA,64.26,31,2.48
530,2011-03-01T22:00:00,0:05:00,NA,NA,NA,64.4,14,0.92
532,2011-03-01T22:05:00,0:05:00,NA,NA,NA,64.2,12,0.73
534,2011-03-01T22:10:00,0:05:00,NA,NA,NA,62.37,21,1.66
536,2011-03-01T22:15:00,0:05:00,NA,NA,NA,64.37,18,2.06
538,2011-03-01T22:20:00,0:05:00,NA,NA,NA,62.58,22,1.93
540,2011-03-01T22:25:00,0:05:00,NA,NA,NA,59.75,15,0.86
542,2011-03-01T22:30:00,0:05:00,NA,NA,NA,63.43,10,0.84
544,2011-03-01T22:35:00,0:05:00,NA,NA,NA,65.05,12,0.76
546,2011-03-01T22:40:00,0:05:00,NA,NA,NA,60.97,27,2.29
548,2011-03-01T22:45:00,0:05:00,NA,NA,NA,63.25,28,1.71
550,2011-03-01T22:50:00,0:05:00,NA,NA,NA,64.6,17,1.05
552,2011-03-01T22:55:00,0:05:00,NA,NA,NA,61.26,7,0.47
554,2011-03-01T23:00:00,0:05:00,NA,NA,NA,63.05,16,1.28
556,2011-03-01T23:05:00,0:05:00,NA,NA,NA,58.64,16,0.99
558,2011-03-01T23:10:00,0:05:00,NA,NA,NA,59.99,21,1.36
560,2011-03-01T23:15:00,0:05:00,NA,NA,NA,65.39,10,0.42
562,2011-03-01T23:20:00,0:05:00,NA,NA,NA,68.55,13,0.71
564,2011-03-01T23:25:00,0:05:00,NA,NA,NA,62.86,15,1.34
566,2011-03-01T23:30:00,0:05:00,NA,NA,NA,58.07,8,0.66
568,2011-03-01T23:35:00,0:05:00,NA,NA,NA,61.88,15,1
570,2011-03-01T23:40:00,0:05:00,NA,NA,NA,58.11,5,0.18
572,2011-03-01T23:45:00,0:05:00,NA,NA,NA,56.48,10,0.55
574,2011-03-01T23:50:00,0:05:00,NA,NA,NA,61.29,7,0.51
576,2011-03-01T23:55:00,0:05:00,NA,NA,NA,65.97,8,0.49
578,2011-03-02T00:00:00,0:05:00,61.91,11,0.46,61.91,11,0.46
580,2011-03-02T00:05:00,0:05:00,61,6,1,61,6,1
581,2011-03-02T00:10:00,0:05:00,61.33,6,0.92,61.33,6,0.92
584,2011-03-02T00:15:00,0:05:00,65,4,0.2,65,4,0.2
586,2011-03-02T00:20:00,0:05:00,66.75,8,0.25,66.75,8,0.25
588,2011-03-02T00:25:00,0:05:00,67,2,0,67,2,0
589,2011-03-02T00:30:00,0:05:00,59.67,6,0.46,59.67,6,0.46
591,2011-03-02T00:35:00,0:05:00,NA,0,0,54.05,0,0
594,2011-03-02T00:40:00,0:05:00,58.33,3,0.38,58.33,3,0.38
595,2011-03-02T00:45:00,0:05:00,60.8,5,0.5,60.8,5,0.5
597,2011-03-02T00:50:00,0:05:00,63,2,0.08,63,2,0.08
600,2011-03-02T00:55:00,0:05:00,67.5,4,0.2,67.5,4,0.2
601,2011-03-02T01:00:00,0:05:00,64,5,0.56,64,5,0.56
604,2011-03-02T01:05:00,0:05:00,69,2,0,69,2,0
606,2011-03-02T01:10:00,0:05:00,NA,0,0,63.75,0,0
607,2011-03-02T01:15:00,0:05:00,NA,0,0,60.83,0,0
609,2011-03-02T01:20:00,0:05:00,NA,0,0,56.78,0,0
611,2011-03-02T01:25:00,0:05:00,NA,0,0,62.04,0,0
614,2011-03-02T01:30:00,0:05:00,62,1,0.07,62,1,0.07
615,2011-03-02T01:35:00,0:05:00,70,3,0.07,70,3,0.07
618,2011-03-02T01:40:00,0:05:00,60,3,0,60,3,0
620,2011-03-02T01:45:00,0:05:00,NA,0,0,62.94,0,0
622,2011-03-02T01:50:00,0:05:00,NA,0,0,67.83,0,0
624,2011-03-02T01:55:00,0:05:00,70,2,0.13,70,2,0.13
626,2011-03-02T02:00:00,0:05:00,NA,0,0,64.67,0,0
627,2011-03-02T02:05:00,0:05:00,NA,0,0,61.22,0,0
630,2011-03-02T02:10:00,0:05:00,67,1,0,67,1,0
632,2011-03-02T02:15:00,0:05:00,59,3,0.53,59,3,0.53
634,2011-03-02T02:20:00,0:05:00,NA,0,0,60.63,0,0
635,2011-03-02T02:25:00,0:05:00,0,2,0,0,2,0
638,2011-03-02T02:30:00,0:05:00,62,2,0.13,62,2,0.13
640,2011-03-02T02:35:00,0:05:00,61.83,6,0.13,61.83,6,0.13
642,2011-03-02T02:40:00,0:05:00,61,3,0.27,61,3,0.27
644,2011-03-02T02:45:00,0:05:00,NA,0,0,59.01,0,0
646,2011-03-02T02:50:00,0:05:00,29.5,4,0.29,29.5,4,0.29
648,2011-03-02T02:55:00,0:05:00,NA,0,0,61.38,0,0
650,2011-03-02T03:00:00,0:05:00,NA,0,0,60.63,0,0
652,2011-03-02T03:05:00,0:05:00,62.2,5,0.27,62.2,5,0.27
653,2011-03-02T03:10:00,0:05:00,63.67,6,0.27,63.67,6,0.27
656,2011-03-02T03:15:00,0:05:00,NA,0,0,63.91,0,0
658,2011-03-02T03:20:00,0:05:00,NA,0,0,61.5,0,0
660,2011-03-02T03:25:00,0:05:00,61,4,0.27,61,4,0.27
662,2011-03-02T03:30:00,0:05:00,63.6,15,0.8,63.6,15,0.8
664,2011-03-02T03:35:00,0:05:00,61.43,7,0.2,61.43,7,0.2
666,2011-03-02T03:40:00,0:05:00,65.75,8,0.4,65.75,8,0.4
667,2011-03-02T03:45:00,0:05:00,66.82,11,0.4,66.82,11,0.4
670,2011-03-02T03:50:00,0:05:00,65.33,9,0.07,65.33,9,0.07
672,2011-03-02T03:55:00,0:05:00,62.67,6,0,62.67,6,0
674,2011-03-02T04:00:00,0:05:00,61.43,14,1,61.43,14,1
675,2011-03-02T04:05:00,0:05:00,65.8,5,0.36,65.8,5,0.36
678,2011-03-02T04:10:00,0:05:00,67.44,9,0.53,67.44,9,0.53
680,2011-03-02T04:15:00,0:05:00,61.4,5,0.5,61.4,5,0.5
682,2011-03-02T04:20:00,0:05:00,64.33,3,0.25,64.33,3,0.25
684,2011-03-02T04:25:00,0:05:00,62.67,24,1.07,62.67,24,1.07
686,2011-03-02T04:30:00,0:05:00,63.54,26,1.67,63.54,26,1.67
688,2011-03-02T04:35:00,0:05:00,64.32,38,2.87,64.32,38,2.87
690,2011-03-02T04:40:00,0:05:00,65.77,35,1.93,65.77,35,1.93
692,2011-03-02T04:45:00,0:05:00,65.92,49,2.8,65.92,49,2.8
694,2011-03-02T04:50:00,0:05:00,63.25,44,3.07,63.25,44,3.07
696,2011-03-02T04:55:00,0:05:00,63.52,29,3.67,63.52,29,3.67
698,2011-03-02T05:00:00,0:05:00,66.13,46,2.87,66.13,46,2.87
700,2011-03-02T05:05:00,0:05:00,65.76,55,3.67,65.76,55,3.67
702,2011-03-02T05:10:00,0:05:00,64.62,52,3.93,64.62,52,3.93
