Index_Num,starttime,startDay,startdate,resolution,speed,volume,occupancy,startdate,starthour,startmin,startsec
6426,2011-03-12T05:45:00,2011/3/12,5:45:00,0:05:00,56,1,0.07,5:45:00,5,45,0
6428,2011-03-12T05:50:00,2011/3/12,5:50:00,0:05:00,64.5,4,0.07,5:50:00,5,50,0
6430,2011-03-12T05:55:00,2011/3/12,5:55:00,0:05:00,64,4,0.27,5:55:00,5,55,0
6432,2011-03-12T06:00:00,2011/3/12,6:00:00,0:05:00,73.33,3,0.07,6:00:00,6,0,0
6434,2011-03-12T06:05:00,2011/3/12,6:05:00,0:05:00,NA,0,0,6:05:00,6,5,0
6436,2011-03-12T06:10:00,2011/3/12,6:10:00,0:05:00,61.43,7,0.6,6:10:00,6,10,0
6438,2011-03-12T06:15:00,2011/3/12,6:15:00,0:05:00,61,6,0.4,6:15:00,6,15,0
6441,2011-03-12T06:20:00,2011/3/12,6:20:00,0:05:00,61.5,8,1.07,6:20:00,6,20,0
6443,2011-03-12T06:25:00,2011/3/12,6:25:00,0:05:00,61,6,0.4,6:25:00,6,25,0
6445,2011-03-12T06:30:00,2011/3/12,6:30:00,0:05:00,64.13,8,0.27,6:30:00,6,30,0
6446,2011-03-12T06:35:00,2011/3/12,6:35:00,0:05:00,65.08,13,0.33,6:35:00,6,35,0
6449,2011-03-12T06:40:00,2011/3/12,6:40:00,0:05:00,69.57,7,0.18,6:40:00,6,40,0
6450,2011-03-12T06:45:00,2011/3/12,6:45:00,0:05:00,63.73,11,0.62,6:45:00,6,45,0
6452,2011-03-12T06:50:00,2011/3/12,6:50:00,0:05:00,63.5,14,0.87,6:50:00,6,50,0
6454,2011-03-12T06:55:00,2011/3/12,6:55:00,0:05:00,63.86,7,0.47,6:55:00,6,55,0
6456,2011-03-12T07:00:00,2011/3/12,7:00:00,0:05:00,65.11,9,0.4,7:00:00,7,0,0
6458,2011-03-12T07:05:00,2011/3/12,7:05:00,0:05:00,63.67,12,0.8,7:05:00,7,5,0
6460,2011-03-12T07:10:00,2011/3/12,7:10:00,0:05:00,66.88,17,0.67,7:10:00,7,10,0
6462,2011-03-12T07:15:00,2011/3/12,7:15:00,0:05:00,65.55,11,0.93,7:15:00,7,15,0
6464,2011-03-12T07:20:00,2011/3/12,7:20:00,0:05:00,66.09,22,1.27,7:20:00,7,20,0
6466,2011-03-12T07:25:00,2011/3/12,7:25:00,0:05:00,62.64,25,1.33,7:25:00,7,25,0
6468,2011-03-12T07:30:00,2011/3/12,7:30:00,0:05:00,65.33,12,1.47,7:30:00,7,30,0
6470,2011-03-12T07:35:00,2011/3/12,7:35:00,0:05:00,65.83,23,1.13,7:35:00,7,35,0
6472,2011-03-12T07:40:00,2011/3/12,7:40:00,0:05:00,65.78,9,0.53,7:40:00,7,40,0
6474,2011-03-12T07:45:00,2011/3/12,7:45:00,0:05:00,65,28,3,7:45:00,7,45,0
6477,2011-03-12T07:50:00,2011/3/12,7:50:00,0:05:00,64.85,13,0.64,7:50:00,7,50,0
6479,2011-03-12T07:55:00,2011/3/12,7:55:00,0:05:00,60.8,5,0.31,7:55:00,7,55,0
6480,2011-03-12T08:00:00,2011/3/12,8:00:00,0:05:00,63,6,0.33,8:00:00,8,0,0
6482,2011-03-12T08:05:00,2011/3/12,8:05:00,0:05:00,64.13,15,0.8,8:05:00,8,5,0
6484,2011-03-12T08:10:00,2011/3/12,8:10:00,0:05:00,66.76,17,0.6,8:10:00,8,10,0
6486,2011-03-12T08:15:00,2011/3/12,8:15:00,0:05:00,64.82,11,0.47,8:15:00,8,15,0
6488,2011-03-12T08:20:00,2011/3/12,8:20:00,0:05:00,63.9,20,1.07,8:20:00,8,20,0
6490,2011-03-12T08:25:00,2011/3/12,8:25:00,0:05:00,64.4,30,2,8:25:00,8,25,0
6492,2011-03-12T08:30:00,2011/3/12,8:30:00,0:05:00,63.9,20,0.93,8:30:00,8,30,0
6494,2011-03-12T08:35:00,2011/3/12,8:35:00,0:05:00,66.07,28,2.07,8:35:00,8,35,0
6496,2011-03-12T08:40:00,2011/3/12,8:40:00,0:05:00,71,16,0.7,8:40:00,8,40,0
6498,2011-03-12T08:45:00,2011/3/12,8:45:00,0:05:00,65.75,36,2.47,8:45:00,8,45,0
6500,2011-03-12T08:50:00,2011/3/12,8:50:00,0:05:00,68.08,25,2.27,8:50:00,8,50,0
6502,2011-03-12T08:55:00,2011/3/12,8:55:00,0:05:00,67.44,9,0.46,8:55:00,8,55,0
6504,2011-03-12T09:00:00,2011/3/12,9:00:00,0:05:00,63.96,26,1.73,9:00:00,9,0,0
6506,2011-03-12T09:05:00,2011/3/12,9:05:00,0:05:00,64.96,27,1.4,9:05:00,9,5,0
6508,2011-03-12T09:10:00,2011/3/12,9:10:00,0:05:00,65.4,30,2.64,9:10:00,9,10,0
6511,2011-03-12T09:15:00,2011/3/12,9:15:00,0:05:00,65.76,25,1.92,9:15:00,9,15,0
6513,2011-03-12T09:20:00,2011/3/12,9:20:00,0:05:00,63.15,34,2.4,9:20:00,9,20,0
6515,2011-03-12T09:25:00,2011/3/12,9:25:00,0:05:00,63.39,33,2.33,9:25:00,9,25,0
6517,2011-03-12T09:30:00,2011/3/12,9:30:00,0:05:00,64.79,39,2.6,9:30:00,9,30,0
6519,2011-03-12T09:35:00,2011/3/12,9:35:00,0:05:00,62.66,29,3.67,9:35:00,9,35,0
6520,2011-03-12T09:40:00,2011/3/12,9:40:00,0:05:00,63.84,70,4.8,9:40:00,9,40,0
6522,2011-03-12T09:45:00,2011/3/12,9:45:00,0:05:00,65.22,54,3.87,9:45:00,9,45,0
6524,2011-03-12T09:50:00,2011/3/12,9:50:00,0:05:00,64.83,42,2.4,9:50:00,9,50,0
6526,2011-03-12T09:55:00,2011/3/12,9:55:00,0:05:00,65.37,59,4.8,9:55:00,9,55,0
6528,2011-03-12T10:00:00,2011/3/12,10:00:00,0:05:00,66.37,43,2.67,10:00:00,10,0,0
6530,2011-03-12T10:05:00,2011/3/12,10:05:00,0:05:00,65.26,62,4.27,10:05:00,10,5,0
6532,2011-03-12T10:10:00,2011/3/12,10:10:00,0:05:00,66.23,62,4.47,10:10:00,10,10,0
6534,2011-03-12T10:15:00,2011/3/12,10:15:00,0:05:00,66.18,50,3.2,10:15:00,10,15,0
6536,2011-03-12T10:20:00,2011/3/12,10:20:00,0:05:00,65.08,75,5.47,10:20:00,10,20,0
6538,2011-03-12T10:25:00,2011/3/12,10:25:00,0:05:00,64.48,42,5.67,10:25:00,10,25,0
6540,2011-03-12T10:30:00,2011/3/12,10:30:00,0:05:00,64.62,99,7.73,10:30:00,10,30,0
6542,2011-03-12T10:35:00,2011/3/12,10:35:00,0:05:00,66.46,74,5.8,10:35:00,10,35,0
6545,2011-03-12T10:40:00,2011/3/12,10:40:00,0:05:00,65.38,74,5.47,10:40:00,10,40,0
6547,2011-03-12T10:45:00,2011/3/12,10:45:00,0:05:00,63.08,65,5.4,10:45:00,10,45,0
6548,2011-03-12T10:50:00,2011/3/12,10:50:00,0:05:00,66.41,97,6.73,10:50:00,10,50,0
6550,2011-03-12T10:55:00,2011/3/12,10:55:00,0:05:00,66.5,48,3.13,10:55:00,10,55,0
6552,2011-03-12T11:00:00,2011/3/12,11:00:00,0:05:00,63.14,56,4.07,11:00:00,11,0,0
6554,2011-03-12T11:05:00,2011/3/12,11:05:00,0:05:00,63.46,70,5.07,11:05:00,11,5,0
6556,2011-03-12T11:10:00,2011/3/12,11:10:00,0:05:00,62.69,62,4.27,11:10:00,11,10,0
6558,2011-03-12T11:15:00,2011/3/12,11:15:00,0:05:00,64.9,82,6.13,11:15:00,11,15,0
6560,2011-03-12T11:20:00,2011/3/12,11:20:00,0:05:00,63.41,68,5.07,11:20:00,11,20,0
6562,2011-03-12T11:25:00,2011/3/12,11:25:00,0:05:00,64.77,95,8.2,11:25:00,11,25,0
6564,2011-03-12T11:30:00,2011/3/12,11:30:00,0:05:00,66.17,65,5,11:30:00,11,30,0
6566,2011-03-12T11:35:00,2011/3/12,11:35:00,0:05:00,64.72,114,8.87,11:35:00,11,35,0
6568,2011-03-12T11:40:00,2011/3/12,11:40:00,0:05:00,63.52,116,8.4,11:40:00,11,40,0
6570,2011-03-12T11:45:00,2011/3/12,11:45:00,0:05:00,64.51,105,8.07,11:45:00,11,45,0
6572,2011-03-12T11:50:00,2011/3/12,11:50:00,0:05:00,63.52,132,9.87,11:50:00,11,50,0
6574,2011-03-12T11:55:00,2011/3/12,11:55:00,0:05:00,62.92,121,9.67,11:55:00,11,55,0
6577,2011-03-12T12:00:00,2011/3/12,12:00:00,0:05:00,64.9,58,6,12:00:00,12,0,0
6579,2011-03-12T12:05:00,2011/3/12,12:05:00,0:05:00,64.43,97,8.46,12:05:00,12,5,0
6580,2011-03-12T12:10:00,2011/3/12,12:10:00,0:05:00,64.9,98,7.13,12:10:00,12,10,0
6583,2011-03-12T12:15:00,2011/3/12,12:15:00,0:05:00,65.32,85,6.53,12:15:00,12,15,0
6584,2011-03-12T12:20:00,2011/3/12,12:20:00,0:05:00,64.47,97,8.2,12:20:00,12,20,0
6586,2011-03-12T12:25:00,2011/3/12,12:25:00,0:05:00,64.5,133,10.87,12:25:00,12,25,0
6588,2011-03-12T12:30:00,2011/3/12,12:30:00,0:05:00,63.71,112,11.64,12:30:00,12,30,0
6590,2011-03-12T12:35:00,2011/3/12,12:35:00,0:05:00,64.63,102,8.46,12:35:00,12,35,0
6592,2011-03-12T12:40:00,2011/3/12,12:40:00,0:05:00,63.21,73,9.56,12:40:00,12,40,0
6594,2011-03-12T12:45:00,2011/3/12,12:45:00,0:05:00,65.33,84,6.47,12:45:00,12,45,0
6596,2011-03-12T12:50:00,2011/3/12,12:50:00,0:05:00,64.74,87,6.33,12:50:00,12,50,0
6598,2011-03-12T12:55:00,2011/3/12,12:55:00,0:05:00,63.29,97,7.73,12:55:00,12,55,0
6600,2011-03-12T13:00:00,2011/3/12,13:00:00,0:05:00,64.24,98,7.8,13:00:00,13,0,0
6602,2011-03-12T13:05:00,2011/3/12,13:05:00,0:05:00,65.33,85,6.07,13:05:00,13,5,0
6604,2011-03-12T13:10:00,2011/3/12,13:10:00,0:05:00,63.65,105,8.27,13:10:00,13,10,0
6606,2011-03-12T13:15:00,2011/3/12,13:15:00,0:05:00,62.72,118,9.6,13:15:00,13,15,0
6608,2011-03-12T13:20:00,2011/3/12,13:20:00,0:05:00,62.96,106,8.07,13:20:00,13,20,0
6610,2011-03-12T13:25:00,2011/3/12,13:25:00,0:05:00,64.35,128,10.47,13:25:00,13,25,0
6613,2011-03-12T13:30:00,2011/3/12,13:30:00,0:05:00,63.39,114,8.73,13:30:00,13,30,0
6615,2011-03-12T13:35:00,2011/3/12,13:35:00,0:05:00,63.19,108,7.93,13:35:00,13,35,0
6617,2011-03-12T13:40:00,2011/3/12,13:40:00,0:05:00,63.56,123,9.33,13:40:00,13,40,0
6618,2011-03-12T13:45:00,2011/3/12,13:45:00,0:05:00,63.7,74,9.44,13:45:00,13,45,0
6620,2011-03-12T13:50:00,2011/3/12,13:50:00,0:05:00,62.77,134,10.6,13:50:00,13,50,0
6622,2011-03-12T13:55:00,2011/3/12,13:55:00,0:05:00,65.03,121,9.13,13:55:00,13,55,0
6624,2011-03-12T14:00:00,2011/3/12,14:00:00,0:05:00,62.99,140,10.73,14:00:00,14,0,0
6626,2011-03-12T14:05:00,2011/3/12,14:05:00,0:05:00,64.58,100,7.4,14:05:00,14,5,0
6628,2011-03-12T14:10:00,2011/3/12,14:10:00,0:05:00,64.29,138,10.93,14:10:00,14,10,0
6630,2011-03-12T14:15:00,2011/3/12,14:15:00,0:05:00,62.51,113,8.73,14:15:00,14,15,0
6632,2011-03-12T14:20:00,2011/3/12,14:20:00,0:05:00,61.02,90,12.33,14:20:00,14,20,0
6634,2011-03-12T14:25:00,2011/3/12,14:25:00,0:05:00,63.11,159,12.6,14:25:00,14,25,0
6636,2011-03-12T14:30:00,2011/3/12,14:30:00,0:05:00,63.49,142,11,14:30:00,14,30,0
6638,2011-03-12T14:35:00,2011/3/12,14:35:00,0:05:00,63.93,136,11,14:35:00,14,35,0
6640,2011-03-12T14:40:00,2011/3/12,14:40:00,0:05:00,62.74,152,12.2,14:40:00,14,40,0
6642,2011-03-12T14:45:00,2011/3/12,14:45:00,0:05:00,62.91,109,8.13,14:45:00,14,45,0
6645,2011-03-12T14:50:00,2011/3/12,14:50:00,0:05:00,61.21,116,9.67,14:50:00,14,50,0
6647,2011-03-12T14:55:00,2011/3/12,14:55:00,0:05:00,64.5,103,7.47,14:55:00,14,55,0
6648,2011-03-12T15:00:00,2011/3/12,15:00:00,0:05:00,63.18,112,8.8,15:00:00,15,0,0
6651,2011-03-12T15:05:00,2011/3/12,15:05:00,0:05:00,64.17,131,11.13,15:05:00,15,5,0
6653,2011-03-12T15:10:00,2011/3/12,15:10:00,0:05:00,63.47,70,7.09,15:10:00,15,10,0
6654,2011-03-12T15:15:00,2011/3/12,15:15:00,0:05:00,62.51,90,8,15:15:00,15,15,0
6656,2011-03-12T15:20:00,2011/3/12,15:20:00,0:05:00,63.9,112,8.73,15:20:00,15,20,0
6658,2011-03-12T15:25:00,2011/3/12,15:25:00,0:05:00,63.72,100,7.8,15:25:00,15,25,0
6660,2011-03-12T15:30:00,2011/3/12,15:30:00,0:05:00,62.03,144,11.93,15:30:00,15,30,0
6662,2011-03-12T15:35:00,2011/3/12,15:35:00,0:05:00,62.79,117,8.8,15:35:00,15,35,0
6664,2011-03-12T15:40:00,2011/3/12,15:40:00,0:05:00,63.56,121,9.2,15:40:00,15,40,0
6666,2011-03-12T15:45:00,2011/3/12,15:45:00,0:05:00,63.46,112,9.27,15:45:00,15,45,0
6668,2011-03-12T15:50:00,2011/3/12,15:50:00,0:05:00,64.69,138,10.33,15:50:00,15,50,0
6670,2011-03-12T15:55:00,2011/3/12,15:55:00,0:05:00,62.76,119,9.67,15:55:00,15,55,0
6672,2011-03-12T16:00:00,2011/3/12,16:00:00,0:05:00,63.81,114,8.8,16:00:00,16,0,0
6674,2011-03-12T16:05:00,2011/3/12,16:05:00,0:05:00,63.49,98,8.07,16:05:00,16,5,0
6676,2011-03-12T16:10:00,2011/3/12,16:10:00,0:05:00,61.34,161,13.2,16:10:00,16,10,0
6679,2011-03-12T16:15:00,2011/3/12,16:15:00,0:05:00,63.99,106,8.53,16:15:00,16,15,0
6681,2011-03-12T16:20:00,2011/3/12,16:20:00,0:05:00,63.93,131,10.6,16:20:00,16,20,0
6682,2011-03-12T16:25:00,2011/3/12,16:25:00,0:05:00,63.07,120,9.33,16:25:00,16,25,0
6684,2011-03-12T16:30:00,2011/3/12,16:30:00,0:05:00,63.43,110,8.4,16:30:00,16,30,0
6686,2011-03-12T16:35:00,2011/3/12,16:35:00,0:05:00,61.28,153,12.33,16:35:00,16,35,0
6688,2011-03-12T16:40:00,2011/3/12,16:40:00,0:05:00,63.81,129,10.2,16:40:00,16,40,0
6690,2011-03-12T16:45:00,2011/3/12,16:45:00,0:05:00,63.09,151,12.53,16:45:00,16,45,0
6692,2011-03-12T16:50:00,2011/3/12,16:50:00,0:05:00,64.72,114,8.73,16:50:00,16,50,0
6694,2011-03-12T16:55:00,2011/3/12,16:55:00,0:05:00,63.62,133,11.13,16:55:00,16,55,0
6696,2011-03-12T17:00:00,2011/3/12,17:00:00,0:05:00,64.78,111,8,17:00:00,17,0,0
6698,2011-03-12T17:05:00,2011/3/12,17:05:00,0:05:00,63.14,132,10.93,17:05:00,17,5,0
6700,2011-03-12T17:10:00,2011/3/12,17:10:00,0:05:00,61.13,82,9.09,17:10:00,17,10,0
6702,2011-03-12T17:15:00,2011/3/12,17:15:00,0:05:00,63.89,114,10.46,17:15:00,17,15,0
6704,2011-03-12T17:20:00,2011/3/12,17:20:00,0:05:00,62.15,109,8.8,17:20:00,17,20,0
6706,2011-03-12T17:25:00,2011/3/12,17:25:00,0:05:00,61.88,138,11.4,17:25:00,17,25,0
6708,2011-03-12T17:30:00,2011/3/12,17:30:00,0:05:00,61.77,145,11.73,17:30:00,17,30,0
6711,2011-03-12T17:35:00,2011/3/12,17:35:00,0:05:00,62.32,155,12.8,17:35:00,17,35,0
6713,2011-03-12T17:40:00,2011/3/12,17:40:00,0:05:00,61.49,114,9.07,17:40:00,17,40,0
6714,2011-03-12T17:45:00,2011/3/12,17:45:00,0:05:00,63.14,130,10.47,17:45:00,17,45,0
6717,2011-03-12T17:50:00,2011/3/12,17:50:00,0:05:00,63.44,120,9.47,17:50:00,17,50,0
6718,2011-03-12T17:55:00,2011/3/12,17:55:00,0:05:00,64.96,116,8.93,17:55:00,17,55,0
6720,2011-03-12T18:00:00,2011/3/12,18:00:00,0:05:00,63.6,101,7.87,18:00:00,18,0,0
6722,2011-03-12T18:05:00,2011/3/12,18:05:00,0:05:00,62.25,110,8.8,18:05:00,18,5,0
6724,2011-03-12T18:10:00,2011/3/12,18:10:00,0:05:00,60.89,149,12.73,18:10:00,18,10,0
6726,2011-03-12T18:15:00,2011/3/12,18:15:00,0:05:00,63.25,101,8.27,18:15:00,18,15,0
6728,2011-03-12T18:20:00,2011/3/12,18:20:00,0:05:00,63.38,97,8.13,18:20:00,18,20,0
6730,2011-03-12T18:25:00,2011/3/12,18:25:00,0:05:00,62.83,113,9,18:25:00,18,25,0
6732,2011-03-12T18:30:00,2011/3/12,18:30:00,0:05:00,64.48,67,4.8,18:30:00,18,30,0
6734,2011-03-12T18:35:00,2011/3/12,18:35:00,0:05:00,62.96,51,6.44,18:35:00,18,35,0
6736,2011-03-12T18:40:00,2011/3/12,18:40:00,0:05:00,63.5,112,8.53,18:40:00,18,40,0
6738,2011-03-12T18:45:00,2011/3/12,18:45:00,0:05:00,64.89,92,6.93,18:45:00,18,45,0
6740,2011-03-12T18:50:00,2011/3/12,18:50:00,0:05:00,65.04,108,8.47,18:50:00,18,50,0
6742,2011-03-12T18:55:00,2011/3/12,18:55:00,0:05:00,66.29,84,5.8,18:55:00,18,55,0
6744,2011-03-12T19:00:00,2011/3/12,19:00:00,0:05:00,66.89,70,5,19:00:00,19,0,0
6747,2011-03-12T19:05:00,2011/3/12,19:05:00,0:05:00,63.84,67,4.8,19:05:00,19,5,0
6749,2011-03-12T19:10:00,2011/3/12,19:10:00,0:05:00,63.6,84,6.67,19:10:00,19,10,0
6750,2011-03-12T19:15:00,2011/3/12,19:15:00,0:05:00,62.95,94,7.2,19:15:00,19,15,0
6752,2011-03-12T19:20:00,2011/3/12,19:20:00,0:05:00,64.44,79,5.73,19:20:00,19,20,0
6754,2011-03-12T19:25:00,2011/3/12,19:25:00,0:05:00,64.93,81,5.4,19:25:00,19,25,0
6756,2011-03-12T19:30:00,2011/3/12,19:30:00,0:05:00,66.29,69,4.73,19:30:00,19,30,0
6758,2011-03-12T19:35:00,2011/3/12,19:35:00,0:05:00,64.27,89,7.2,19:35:00,19,35,0
6760,2011-03-12T19:40:00,2011/3/12,19:40:00,0:05:00,64.8,66,4.8,19:40:00,19,40,0
6762,2011-03-12T19:45:00,2011/3/12,19:45:00,0:05:00,64.8,85,6.53,19:45:00,19,45,0
6764,2011-03-12T19:50:00,2011/3/12,19:50:00,0:05:00,67.08,79,5.67,19:50:00,19,50,0
6766,2011-03-12T19:55:00,2011/3/12,19:55:00,0:05:00,67.59,58,4.07,19:55:00,19,55,0
6768,2011-03-12T20:00:00,2011/3/12,20:00:00,0:05:00,66.83,71,4.93,20:00:00,20,0,0
6770,2011-03-12T20:05:00,2011/3/12,20:05:00,0:05:00,64.65,95,7.07,20:05:00,20,5,0
6772,2011-03-12T20:10:00,2011/3/12,20:10:00,0:05:00,65.14,72,7.09,20:10:00,20,10,0
6774,2011-03-12T20:15:00,2011/3/12,20:15:00,0:05:00,65.69,36,5,20:15:00,20,15,0
6776,2011-03-12T20:20:00,2011/3/12,20:20:00,0:05:00,64.49,80,6.2,20:20:00,20,20,0
6778,2011-03-12T20:25:00,2011/3/12,20:25:00,0:05:00,64.7,84,6.27,20:25:00,20,25,0
6781,2011-03-12T20:30:00,2011/3/12,20:30:00,0:05:00,64.15,93,7.67,20:30:00,20,30,0
6783,2011-03-12T20:35:00,2011/3/12,20:35:00,0:05:00,65.4,65,4.6,20:35:00,20,35,0
6785,2011-03-12T20:40:00,2011/3/12,20:40:00,0:05:00,65.39,62,4.33,20:40:00,20,40,0
6787,2011-03-12T20:45:00,2011/3/12,20:45:00,0:05:00,63.97,91,7.13,20:45:00,20,45,0
6789,2011-03-12T20:50:00,2011/3/12,20:50:00,0:05:00,62.48,66,5,20:50:00,20,50,0
6790,2011-03-12T20:55:00,2011/3/12,20:55:00,0:05:00,61.43,68,4.93,20:55:00,20,55,0
6792,2011-03-12T21:00:00,2011/3/12,21:00:00,0:05:00,63.37,52,3.73,21:00:00,21,0,0
6794,2011-03-12T21:05:00,2011/3/12,21:05:00,0:05:00,62.88,90,6.73,21:05:00,21,5,0
6796,2011-03-12T21:10:00,2011/3/12,21:10:00,0:05:00,64.08,59,4,21:10:00,21,10,0
6798,2011-03-12T21:15:00,2011/3/12,21:15:00,0:05:00,62.53,64,5,21:15:00,21,15,0
6800,2011-03-12T21:20:00,2011/3/12,21:20:00,0:05:00,64.16,38,2.4,21:20:00,21,20,0
6802,2011-03-12T21:25:00,2011/3/12,21:25:00,0:05:00,64.17,58,4.2,21:25:00,21,25,0
6804,2011-03-12T21:30:00,2011/3/12,21:30:00,0:05:00,63.9,68,5.2,21:30:00,21,30,0
6806,2011-03-12T21:35:00,2011/3/12,21:35:00,0:05:00,60.67,45,3.2,21:35:00,21,35,0
6808,2011-03-12T21:40:00,2011/3/12,21:40:00,0:05:00,62.17,41,3,21:40:00,21,40,0
6810,2011-03-12T21:45:00,2011/3/12,21:45:00,0:05:00,63.51,47,3.2,21:45:00,21,45,0
6812,2011-03-12T21:50:00,2011/3/12,21:50:00,0:05:00,62.85,55,4.07,21:50:00,21,50,0
6815,2011-03-12T21:55:00,2011/3/12,21:55:00,0:05:00,62.89,45,3.4,21:55:00,21,55,0
6817,2011-03-12T22:00:00,2011/3/12,22:00:00,0:05:00,62.36,39,2.67,22:00:00,22,0,0
6818,2011-03-12T22:05:00,2011/3/12,22:05:00,0:05:00,65.78,45,2.87,22:05:00,22,5,0
6820,2011-03-12T22:10:00,2011/3/12,22:10:00,0:05:00,65,28,2.27,22:10:00,22,10,0
6822,2011-03-12T22:15:00,2011/3/12,22:15:00,0:05:00,62.62,34,2.38,22:15:00,22,15,0
6824,2011-03-12T22:20:00,2011/3/12,22:20:00,0:05:00,64.25,32,2.33,22:20:00,22,20,0
6826,2011-03-12T22:25:00,2011/3/12,22:25:00,0:05:00,64.18,39,2.6,22:25:00,22,25,0
